"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717699160992083E9,"2024-06-06 20:39:20.992 UTC+02:00"
"PAUSE",1.272433736124978E3,1.717700433541710E9,"2024-06-06 21:00:33.542 UTC+02:00"
