"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.801118374E1,5.237260293E1,4.900640900E0,3.105760474E0,9.362726896E-1,5.156978689E1,7.157376025E0,1.526634458E0
4.901118302E1,5.237261616E1,4.900634933E0,3.420798802E0,7.908256689E-1,4.092337429E1,7.126690530E0,1.414030989E0
5.001118243E1,5.237263625E1,4.900679112E0,3.249649125E0,1.056240579E0,4.375436770E1,7.025826127E0,1.389004383E0
5.101118135E1,5.237265031E1,4.900675363E0,3.299653883E0,1.118696601E0,3.460192402E1,6.356311002E0,1.896080177E0
5.201118100E1,5.237266726E1,4.900686775E0,3.383749634E0,1.125821352E0,2.988407487E1,6.269142946E0,2.224581055E0
5.301117992E1,5.237268077E1,4.900701673E0,3.314148895E0,1.161460770E0,2.918117040E1,6.485811876E0,1.997488157E0
5.401118016E1,5.237268740E1,4.900697246E0,3.542540251E0,1.140756579E0,2.559371428E1,6.895790897E0,1.765547636E0
5.501117897E1,5.237269272E1,4.900696598E0,3.544650005E0,1.044850842E0,2.365858725E1,7.188128009E0,1.583859169E0
5.601117814E1,5.237270654E1,4.900701151E0,3.354387404E0,1.121321594E0,2.107174048E1,7.634040636E0,1.519251567E0
5.701117754E1,5.237271524E1,4.900713261E0,3.138575067E0,1.176876920E0,2.328903255E1,7.932115094E0,1.551384536E0
5.801117754E1,5.237272344E1,4.900723089E0,3.274453409E0,1.070159417E0,2.464745668E1,8.151191283E0,1.515579697E0
5.901117575E1,5.237273871E1,4.900738468E0,2.866576303E0,1.084871352E0,2.477527884E1,8.689080347E0,1.539344900E0
6.001117539E1,5.237273902E1,4.900746521E0,3.083489143E0,9.512888664E-1,2.664820745E1,8.756859583E0,1.571752821E0
6.101117432E1,5.237275492E1,4.900714927E0,2.852096128E0,8.679491529E-1,1.310514501E1,8.604207068E0,1.559887957E0
6.201117408E1,5.237276461E1,4.900720980E0,3.419946403E0,8.688419598E-1,1.407349124E1,8.808604765E0,1.521817936E0
6.301117277E1,5.237277767E1,4.900736224E0,3.282920004E0,8.669642751E-1,1.604094978E1,9.157686947E0,1.486021206E0
6.401117206E1,5.237277261E1,4.900729471E0,2.673173039E0,6.943584929E-1,1.291655713E1,9.395171156E0,1.505535079E0
6.501117218E1,5.237278289E1,4.900730019E0,2.787232692E0,7.729722664E-1,1.112762092E1,8.838878261E0,1.545275598E0
6.601117003E1,5.237280344E1,4.900728012E0,3.177333627E0,9.157986233E-1,7.611641878E0,8.334795464E0,1.570972227E0
6.701116967E1,5.237283337E1,4.900725666E0,3.138658185E0,1.001305238E0,4.441258001E0,8.098016089E0,1.534595488E0
6.801116908E1,5.237284419E1,4.900719686E0,3.204759659E0,9.032579185E-1,3.586559386E2,8.029598790E0,1.440252899E0
6.901116765E1,5.237285070E1,4.900705565E0,3.136523956E0,8.553737401E-1,3.520846412E2,7.842657863E0,1.412605103E0
7.001116729E1,5.237286838E1,4.900704954E0,3.285488689E0,7.757589709E-1,3.523109742E2,7.564816855E0,1.414875786E0
7.101116586E1,5.237289337E1,4.900687889E0,3.222573572E0,7.262390642E-1,3.487557072E2,6.414034036E0,1.671478992E0
7.201116490E1,5.237291046E1,4.900654827E0,2.710207284E0,8.596040925E-1,3.377768213E2,5.941473826E0,1.870936341E0
