"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.232283333E-2,-1.279698181E1,3.078607178E1,-3.721742249E1
2.232983333E-2,-1.280522919E1,3.088021851E1,-3.729092407E1
3.233783333E-2,-1.294300079E1,3.094226074E1,-3.718382263E1
4.234583333E-2,-1.316580963E1,3.123947144E1,-3.732794189E1
5.235283333E-2,-1.308670807E1,3.087966156E1,-3.732984924E1
6.236083333E-2,-1.310982513E1,3.103756714E1,-3.763305664E1
7.236883333E-2,-1.385205078E1,3.092199707E1,-3.714712524E1
8.237583334E-2,-1.404792023E1,3.091660309E1,-3.700523376E1
9.238383333E-2,-1.458184052E1,3.093422699E1,-3.692735291E1
1.023918333E-1,-1.471073151E1,3.084387207E1,-3.695933533E1
1.123988333E-1,-1.513432312E1,3.085523224E1,-3.659660339E1
1.224068333E-1,-1.534770966E1,3.075418854E1,-3.580268860E1
1.324148333E-1,-1.549277496E1,3.090592957E1,-3.564041138E1
1.424218333E-1,-1.572424316E1,3.096817017E1,-3.549584961E1
1.524298333E-1,-1.589807129E1,3.088761902E1,-3.597895813E1
1.624378333E-1,-1.637568665E1,3.117669678E1,-3.585569763E1
1.724448333E-1,-1.647747040E1,3.129891968E1,-3.559466553E1
1.824528333E-1,-1.678136444E1,3.168061829E1,-3.514155579E1
1.924598333E-1,-1.678363037E1,3.167222595E1,-3.554536438E1
2.024678333E-1,-1.698149109E1,3.163774109E1,-3.544512939E1
2.124758333E-1,-1.696562195E1,3.189589691E1,-3.572241211E1
2.224828333E-1,-1.679406738E1,3.195309448E1,-3.532264709E1
2.324908333E-1,-1.694303894E1,3.208818817E1,-3.542811584E1
2.424988333E-1,-1.727735138E1,3.215895844E1,-3.506520081E1
2.525058333E-1,-1.742344666E1,3.245980835E1,-3.513333130E1
2.625138333E-1,-1.807362366E1,3.251730347E1,-3.466484070E1
2.725218333E-1,-1.799379730E1,3.260895538E1,-3.461567688E1
2.825288333E-1,-1.845026398E1,3.244649506E1,-3.425646973E1
2.925368333E-1,-1.844067383E1,3.246588898E1,-3.421096802E1
3.025448333E-1,-1.864739990E1,3.255438232E1,-3.381785583E1
3.125518333E-1,-1.828240204E1,3.288410950E1,-3.393600464E1
3.225598333E-1,-1.808953094E1,3.317329407E1,-3.356256104E1
3.325678333E-1,-1.738004303E1,3.316464996E1,-3.354719543E1
3.425748333E-1,-1.724253845E1,3.356136322E1,-3.369496155E1
3.525828333E-1,-1.656772614E1,3.392300415E1,-3.375120544E1
3.625908333E-1,-1.608787537E1,3.440975952E1,-3.337614441E1
3.725978333E-1,-1.490748596E1,3.483937073E1,-3.327531433E1
3.826058333E-1,-1.390046692E1,3.506000519E1,-3.360527039E1
3.926138333E-1,-1.268602753E1,3.528382111E1,-3.345408630E1
4.026208333E-1,-1.143740845E1,3.587760925E1,-3.353015137E1
4.126288333E-1,-1.014564514E1,3.640021515E1,-3.318272400E1
4.226368333E-1,-9.202713013E0,3.706477356E1,-3.248158264E1
4.326438333E-1,-7.728355408E0,3.793130493E1,-3.191670227E1
4.426518333E-1,-6.422424316E0,3.855126953E1,-3.156336975E1
4.526598333E-1,-5.110603333E0,3.928977203E1,-3.053300476E1
4.626668333E-1,-3.793235779E0,3.974913025E1,-2.991006470E1
4.726748333E-1,-2.405532837E0,4.067315674E1,-2.903277588E1
4.826828333E-1,-1.580833435E0,4.124692535E1,-2.869451904E1
4.926898333E-1,-2.248764038E-1,4.167052460E1,-2.752619934E1
5.026978333E-1,7.021179199E-1,4.213358307E1,-2.659376526E1
5.127058333E-1,2.093292236E0,4.255027008E1,-2.603738403E1
5.227128333E-1,3.452232361E0,4.272975922E1,-2.488079834E1
5.327208333E-1,4.888740540E0,4.339046478E1,-2.446133423E1
5.427288333E-1,6.201492310E0,4.393539429E1,-2.314691162E1
5.527358333E-1,7.666778564E0,4.434883881E1,-2.178944397E1
5.627438333E-1,8.991588593E0,4.453092194E1,-2.028851318E1
5.727508333E-1,1.015738678E1,4.503941345E1,-1.911177063E1
5.827588333E-1,1.156415939E1,4.510469055E1,-1.775160217E1
5.927668333E-1,1.267001724E1,4.538978577E1,-1.659434509E1
6.027738333E-1,1.390751648E1,4.550457764E1,-1.540455627E1
6.127818333E-1,1.462755585E1,4.588227081E1,-1.447655487E1
6.227898333E-1,1.465042877E1,4.589439392E1,-1.313256073E1
6.327968333E-1,1.512918854E1,4.618817902E1,-1.222922516E1
6.428048333E-1,1.530908966E1,4.597369385E1,-1.191405487E1
6.528128333E-1,1.556886292E1,4.571244049E1,-1.142284393E1
6.628198333E-1,1.564262390E1,4.584130096E1,-1.168135834E1
6.728278333E-1,1.580518341E1,4.580350494E1,-1.202176666E1
6.828358333E-1,1.573186493E1,4.575582886E1,-1.188582611E1
6.928428333E-1,1.587620163E1,4.558771515E1,-1.243108368E1
7.028508333E-1,1.597620392E1,4.539863586E1,-1.310207367E1
7.128588333E-1,1.611837006E1,4.508176422E1,-1.375542450E1
7.228658333E-1,1.602033997E1,4.512469482E1,-1.370348358E1
7.328738333E-1,1.643212509E1,4.507285309E1,-1.385525513E1
7.428818333E-1,1.693367386E1,4.477705383E1,-1.382228088E1
7.528888333E-1,1.760302734E1,4.477890015E1,-1.404355621E1
7.628968333E-1,1.773193359E1,4.420517731E1,-1.394038391E1
7.729048333E-1,1.809864426E1,4.401970673E1,-1.425074005E1
7.829118333E-1,1.811210632E1,4.391947937E1,-1.509535980E1
7.929198333E-1,1.846329498E1,4.381806183E1,-1.539031219E1
8.029278333E-1,1.856587982E1,4.363750458E1,-1.546813965E1
8.129348333E-1,1.894820786E1,4.329043579E1,-1.581830597E1
8.229428333E-1,1.926065826E1,4.315706635E1,-1.612951660E1
8.329508333E-1,1.952529907E1,4.325922394E1,-1.655458832E1
8.429578333E-1,1.940756989E1,4.321093750E1,-1.671060181E1
8.529658333E-1,1.936625671E1,4.321213531E1,-1.674140930E1
8.629738333E-1,1.915428925E1,4.294354248E1,-1.730177307E1
8.729808333E-1,1.864788055E1,4.281659698E1,-1.778607941E1
8.829888333E-1,1.869795609E1,4.275956726E1,-1.848864746E1
8.929968333E-1,1.871093369E1,4.263395691E1,-1.864983368E1
9.030038333E-1,1.887685013E1,4.250305176E1,-1.858584595E1
9.130116250E-1,1.884914398E1,4.249456787E1,-1.823296356E1
9.230186250E-1,1.900992203E1,4.260504913E1,-1.819515228E1
9.330266250E-1,1.914113998E1,4.288555145E1,-1.819586945E1
9.430346250E-1,1.890847015E1,4.281719971E1,-1.783602905E1
9.530416250E-1,1.839635086E1,4.308018494E1,-1.840309143E1
9.630496250E-1,1.769418716E1,4.318395996E1,-1.868347168E1
9.730576250E-1,1.720896912E1,4.343690491E1,-1.880910492E1
9.830646250E-1,1.663920975E1,4.360903931E1,-1.883879089E1
9.930726250E-1,1.607699966E1,4.379566956E1,-1.892414093E1
1.003080625E0,1.561605835E1,4.408046722E1,-1.837741852E1
