"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.461907387E-2,5.236043228E1,4.926573438E0,1.816970444E1,NaN,NaN,5.992632997E2,3.766964722E1
4.783440828E-1,5.236042336E1,4.926975395E0,1.077615929E1,NaN,NaN,3.500000000E1,2.355311394E1
6.102660894E-1,5.236042314E1,4.926975100E0,8.025626183E0,NaN,NaN,3.500000000E1,1.861224937E1
1.946245074E0,5.236041934E1,4.926938704E0,6.564947367E0,NaN,NaN,3.500000000E1,1.708375549E1
3.554878950E0,5.236046622E1,4.927175967E0,2.205050278E1,8.399999738E-1,4.675781250E1,1.585221121E1,2.400000000E1
4.554879189E0,5.236048470E1,4.927162891E0,2.663210678E1,8.399999738E-1,3.726562500E1,7.352791985E0,1.200000000E1
5.554878354E0,5.236051044E1,4.927119557E0,2.658419418E1,0.000000000E0,3.726562500E1,7.103096712E0,1.200000000E1
6.554887414E0,5.236052225E1,4.927096590E0,2.660555649E1,0.000000000E0,3.726562500E1,6.315618936E0,1.200000000E1
7.554886460E0,5.236052820E1,4.927085191E0,2.661605453E1,0.000000000E0,3.726562500E1,5.889101472E0,1.200000000E1
8.554884911E0,5.236053126E1,4.927079575E0,2.666109848E1,0.000000000E0,3.726562500E1,5.796860343E0,1.200000000E1
9.554883599E0,5.236053545E1,4.927090723E0,2.439889145E1,1.080000043E0,4.640625000E1,4.938750229E0,8.000000000E0
1.055487597E1,5.236054635E1,4.927113019E0,2.915072250E1,1.139999986E0,8.121093750E1,4.535068485E0,8.000000000E0
1.155486882E1,5.236055322E1,4.927139422E0,3.117690659E1,1.090000033E0,8.648437500E1,4.321996998E0,6.000000000E0
1.255486667E1,5.236056203E1,4.927169681E0,3.154580307E1,1.139999986E0,8.121093750E1,4.184212914E0,6.000000000E0
1.355486274E1,5.236056359E1,4.927186218E0,3.154580324E1,1.139999986E0,8.121095060E1,4.466203687E0,6.000560778E0
1.455486155E1,5.236057082E1,4.927218196E0,3.143313238E1,1.330000043E0,8.824220295E1,4.453297722E0,6.000586958E0
1.555486393E1,5.236057753E1,4.927241330E0,2.963717286E1,1.120000005E0,8.332032543E1,4.333970099E0,6.000825370E0
1.655486131E1,5.236058663E1,4.927245034E0,2.965029533E1,0.000000000E0,NaN,4.369955644E0,6.000754157E0
1.755485821E1,5.236059145E1,4.927250985E0,2.963790519E1,0.000000000E0,NaN,4.362268478E0,6.000769421E0
1.855485642E1,5.236059388E1,4.927254086E0,2.964272697E1,0.000000000E0,NaN,4.341762698E0,6.000810002E0
1.955485344E1,5.236059463E1,4.927255176E0,2.963875968E1,0.000000000E0,NaN,4.343399168E0,6.000806771E0
2.055485260E1,5.236059955E1,4.927279754E0,2.804830566E1,1.009999990E0,6.820313590E1,4.323895506E0,6.000845213E0
2.155485082E1,5.236059528E1,4.927308551E0,2.471676278E1,1.480000019E0,9.316407968E1,4.302659608E0,6.000886875E0
2.255484760E1,5.236059620E1,4.927333091E0,2.292306161E1,1.460000038E0,9.175782946E1,4.264042042E0,6.000962101E0
2.355484664E1,5.236059545E1,4.927363101E0,2.220559335E1,1.480000019E0,9.386720466E1,4.264893302E0,6.000960462E0
2.455484498E1,5.236060127E1,4.927406429E0,2.274636499E1,2.059999943E0,8.121096116E1,4.289501311E0,6.000912615E0
2.555484271E1,5.236061037E1,4.927439207E0,2.186190453E1,2.000000000E0,7.171877207E1,4.289914482E0,6.000911820E0
2.655484188E1,5.236062358E1,4.927467980E0,2.303847923E1,2.000000000E0,6.328127077E1,4.336137011E0,4.046303453E0
2.755483961E1,5.236063614E1,4.927491269E0,2.310299330E1,1.690000057E0,5.976564197E1,4.303958401E0,4.059592861E0
2.855483890E1,5.236064711E1,4.927516389E0,2.454629160E1,1.539999962E0,6.257814089E1,4.286695552E0,4.066663737E0
2.955483723E1,5.236065401E1,4.927536725E0,2.376485849E1,1.519999981E0,6.539064106E1,4.286695645E0,4.066663793E0
3.055483675E1,5.236065761E1,4.927536111E0,2.332650385E1,5.799999833E-1,6.082031839E1,4.286695732E0,4.066663838E0
3.155483437E1,5.236066080E1,4.927544592E0,2.132772455E1,5.799999833E-1,6.222656847E1,4.286695773E0,4.066663861E0
3.255483353E1,5.236066863E1,4.927548416E0,2.112160883E1,5.799999833E-1,3.515625388E1,4.286695864E0,4.066663887E0
3.355483210E1,5.236065775E1,4.927501484E0,3.742650012E0,7.652951704E-1,3.560831055E2,5.238913763E0,2.525533532E0
3.455483246E1,5.236065461E1,4.927468044E0,3.800771148E0,9.197911409E-1,3.050440806E2,5.054352766E0,2.877160953E0
3.555482996E1,5.236065257E1,4.927465287E0,4.030919547E0,9.802880453E-1,2.931722293E2,5.006836801E0,2.959074566E0
3.655483007E1,5.236064363E1,4.927458315E0,4.122335982E0,1.023066368E0,2.099330036E2,4.995915848E0,2.977475755E0
3.755482864E1,5.236064725E1,4.927430131E0,4.287082780E0,1.115755091E0,2.415985441E2,4.979637137E0,3.004621610E0
3.855482781E1,5.236065653E1,4.927404344E0,4.233531226E0,1.179102153E0,2.694264705E2,4.999971334E0,2.970660481E0
3.955482781E1,5.236066080E1,4.927389414E0,4.185829501E0,7.816064491E-1,2.355403925E2,4.970038184E0,3.020473056E0
4.055482662E1,5.236066476E1,4.927392131E0,3.951994886E0,5.102429911E-1,NaN,4.953095092E0,3.048177495E0
4.155482602E1,5.236065486E1,4.927376755E0,3.884637793E0,8.354160414E-1,2.058523993E2,4.927879927E0,3.088775883E0
4.255482471E1,5.236064052E1,4.927384094E0,1.721108410E1,8.487467540E-1,2.266442815E2,4.509169064E0,3.673136450E0
4.355482364E1,5.236063992E1,4.927375263E0,1.587333548E1,4.517585317E-1,2.387181079E2,4.460228249E0,3.732412222E0
4.455482364E1,5.236063472E1,4.927376606E0,1.688044546E1,3.991254668E-1,2.198040805E2,4.501828444E0,3.682129505E0
4.555482304E1,5.236062397E1,4.927364459E0,1.703600489E1,8.535078938E-1,2.197080236E2,4.564008598E0,3.604769417E0
4.655482221E1,5.236063693E1,4.927346250E0,8.167405788E0,7.475632758E-1,2.266223826E2,4.784539338E0,3.306466446E0
4.755482209E1,5.236065150E1,4.927338302E0,5.774511239E0,3.671535781E-1,2.926910950E2,4.839755357E0,3.225105443E0
4.855482078E1,5.236064716E1,4.927318550E0,4.305255778E0,6.297300439E-1,2.748090637E2,4.867816685E0,3.182592929E0
4.955481982E1,5.236064014E1,4.927297289E0,3.570031688E0,9.095080131E-1,2.523627603E2,4.886619221E0,3.153647036E0
