"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.232283333E-2,-1.527849585E-2,4.117569327E-2,3.264168277E-2
2.232983333E-2,-1.026728898E-1,-1.930789091E-3,3.626396507E-2
3.233783333E-2,-1.220785454E-1,-4.544098303E-2,-1.370412484E-2
4.234583333E-2,-7.293102890E-2,-2.172659338E-2,-7.727141678E-2
5.235283333E-2,5.948873237E-3,4.922268167E-2,-1.617820412E-1
6.236083333E-2,7.357723266E-2,1.192096695E-1,-2.355883121E-1
7.236883333E-2,9.632807970E-2,1.050429866E-1,-2.667217255E-1
8.237583334E-2,7.844223082E-2,8.368968964E-2,-2.483076006E-1
9.238383333E-2,3.996834159E-2,6.603612751E-2,-2.142841220E-1
1.023918333E-1,-5.514170509E-3,-2.933464712E-3,-1.652308404E-1
1.123988333E-1,-4.238377512E-2,-2.346244082E-2,-1.276352555E-1
1.224068333E-1,-6.784949452E-2,-3.174612299E-2,-7.001861930E-2
1.324148333E-1,-6.959227473E-2,-7.384510338E-2,1.180114504E-2
1.424218333E-1,-9.711544961E-2,-1.197582781E-1,7.013240457E-2
1.524298333E-1,-1.451311857E-1,-1.528347284E-1,1.123331189E-1
1.624378333E-1,-1.787460148E-1,-1.378380358E-1,1.655414402E-1
1.724448333E-1,-1.846063137E-1,-9.811725467E-2,2.311210036E-1
1.824528333E-1,-1.878651530E-1,-1.101959497E-3,2.341687381E-1
1.924598333E-1,-2.041935176E-1,5.085498095E-2,1.780191809E-1
2.024678333E-1,-2.164278775E-1,1.229781881E-1,9.307204187E-2
2.124758333E-1,-1.951058060E-1,3.209671676E-1,1.335696783E-2
2.224828333E-1,-1.888437718E-1,2.894411981E-1,-3.459187970E-2
2.324908333E-1,-1.872432083E-1,6.725847721E-2,-3.959888592E-2
2.424988333E-1,-2.102752328E-1,-3.050298691E-1,-6.384436972E-3
2.525058333E-1,-2.105524689E-1,-8.693694472E-1,9.125024825E-2
2.625138333E-1,-1.653801799E-1,-1.203867316E0,2.063840032E-1
