"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.496375000E-3,-9.472063184E-1,-1.399984956E0,4.464361668E-1
1.346237500E-2,-1.171994209E0,-1.407822013E0,4.758222401E-1
2.342837500E-2,-1.268892527E0,-1.284983754E0,5.657774210E-1
3.339437500E-2,-1.279330492E0,-1.047727227E0,7.017082572E-1
4.335937500E-2,-1.223090649E0,-7.647659779E-1,8.691465259E-1
5.332537500E-2,-1.114038229E0,-4.945506454E-1,1.034433484E0
6.329212500E-2,-9.683854580E-1,-2.687718570E-1,1.159889340E0
7.325812500E-2,-8.014990687E-1,-1.585633755E-1,1.204669237E0
8.322312500E-2,-6.039548516E-1,-2.007763535E-1,1.134704590E0
9.318912500E-2,-3.770889640E-1,-4.318092763E-1,9.670587182E-1
1.031551250E-1,-1.171953306E-1,-7.486389279E-1,7.869116068E-1
1.131211250E-1,8.413191140E-2,-1.034930944E0,6.676562428E-1
1.230861250E-1,1.296589226E-1,-1.289781332E0,6.320785284E-1
1.330521250E-1,3.579320759E-2,-1.379036903E0,6.550120711E-1
1.430181250E-1,-1.164988577E-1,-1.342809916E0,7.232441306E-1
1.529841250E-1,-2.185524106E-1,-1.221234441E0,8.218028545E-1
1.629491250E-1,-2.437717468E-1,-1.086842537E0,9.276672006E-1
1.729151250E-1,-2.298749834E-1,-9.352667332E-1,1.025352240E0
1.828811250E-1,-2.467841953E-1,-7.142522931E-1,1.101239085E0
1.928471250E-1,-3.428506255E-1,-3.278769255E-1,1.150102377E0
2.028131250E-1,-5.127277970E-1,2.780851722E-1,1.149270177E0
2.127781250E-1,-7.220245600E-1,1.077825665E0,1.194739819E0
2.227441250E-1,-9.634454250E-1,2.016261101E0,1.321582675E0
2.327101250E-1,-1.256966114E0,2.648396015E0,1.493181109E0
2.426761250E-1,-1.606671691E0,2.729743958E0,1.608358860E0
2.526411250E-1,-1.987389684E0,2.056477308E0,1.606486082E0
2.626071250E-1,-2.242120743E0,6.289858222E-1,1.443288088E0
2.725731250E-1,-2.803590059E0,1.515902638E0,8.587914705E-1
2.825391250E-1,-3.172219992E0,3.345832109E0,7.370141745E-1
2.925041250E-1,-2.850427866E0,4.783959866E0,1.161395431E0
3.024701250E-1,-2.265725613E0,5.322152615E0,1.603310347E0
3.124361250E-1,-1.462204099E0,5.473230362E0,1.536967516E0
3.224021250E-1,-1.059532523E0,5.000293732E0,1.153340220E0
3.323671250E-1,-1.261291265E0,4.202021122E0,4.253624380E-1
3.423331250E-1,-1.653752565E0,3.568777800E0,-2.008812279E-1
3.522991250E-1,-1.963017106E0,3.215333939E0,-6.599428058E-1
3.622651250E-1,-1.978111863E0,2.822850704E0,-1.034043670E0
3.722301250E-1,-1.686048150E0,2.211401939E0,-1.294465899E0
3.821961250E-1,-1.420431137E0,1.585592508E0,-1.321895957E0
3.921621250E-1,-1.433149338E0,1.158310890E0,-1.094277740E0
4.021281250E-1,-1.593844175E0,8.327988982E-1,-7.694245577E-1
4.120931250E-1,-1.674840212E0,3.372259140E-1,-5.004427433E-1
4.220591250E-1,-1.645714283E0,-2.420638204E-1,-3.682753742E-1
4.320251250E-1,-1.522270322E0,-7.484115362E-1,-3.973345757E-1
4.419911250E-1,-1.307921529E0,-1.043491602E0,-5.034881830E-1
4.519571250E-1,-1.237737775E0,-9.891420603E-1,-5.373472571E-1
4.619221250E-1,-1.399892092E0,-7.541484237E-1,-3.913035393E-1
4.718881250E-1,-1.524169922E0,-6.417938471E-1,-1.371869892E-1
4.818541250E-1,-1.539471865E0,-6.826688051E-1,1.755781025E-1
4.918201250E-1,-1.579965711E0,-7.952578068E-1,3.804789484E-1
5.017851250E-1,-1.808700323E0,-9.187980890E-1,4.067411721E-1
5.117511250E-1,-1.776632071E0,-1.600307226E0,2.463584989E-1
5.217171250E-1,-1.703400970E0,-2.244922161E0,4.567626864E-2
5.316831250E-1,-1.759249926E0,-2.313822746E0,3.570270166E-2
