"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.251375001E-3,-4.878654785E0,6.091881866E0,7.223678284E0
1.221737500E-2,-4.988825684E0,5.568121033E0,8.577762451E0
2.218337500E-2,-4.853806458E0,4.897515564E0,9.736502838E0
3.214937500E-2,-4.357288971E0,4.257296906E0,1.030801437E1
4.211437500E-2,-3.693718872E0,3.661236420E0,1.045455963E1
5.208037500E-2,-3.026556244E0,3.168161774E0,1.031864227E1
6.204712500E-2,-2.385289764E0,2.878065033E0,9.875863037E0
7.201312500E-2,-1.770518188E0,2.788251801E0,9.214238892E0
8.197812500E-2,-1.216071167E0,2.911595306E0,8.530610504E0
9.194412500E-2,-8.481362915E-1,3.143463135E0,7.959997101E0
1.019101250E-1,-8.086184692E-1,3.231180725E0,7.601492615E0
1.118761250E-1,-1.074765015E0,3.065475311E0,6.926396484E0
1.218411250E-1,-1.218915253E0,2.721191254E0,5.796546021E0
1.318071250E-1,-1.201701050E0,2.317031708E0,4.555626526E0
1.417731250E-1,-1.275497589E0,2.044149170E0,3.746858368E0
1.517391250E-1,-9.003776550E-1,1.892364807E0,3.454516296E0
1.617041250E-1,-4.828958130E-1,1.732946320E0,3.419339447E0
1.716701250E-1,-2.800675964E-1,1.681752777E0,3.329975281E0
1.816361250E-1,-1.113684082E-1,1.817819824E0,3.009641418E0
1.916021250E-1,7.873626709E-2,1.975442047E0,2.683469696E0
2.015681250E-1,4.183799744E-1,1.868264923E0,2.760709076E0
2.115331250E-1,9.321116638E-1,1.624272308E0,3.146456909E0
2.214991250E-1,1.003213806E0,1.401834869E0,3.484154663E0
2.314651250E-1,8.186476135E-1,1.390907593E0,3.468137970E0
2.414311250E-1,2.574645996E-1,1.627266083E0,3.022215271E0
2.513961250E-1,-9.729766846E-2,1.776805115E0,2.182910614E0
2.613621250E-1,-2.409988403E-1,2.371668091E0,1.728156281E0
2.713281250E-1,7.271878052E-1,2.713706818E0,2.852468262E0
2.812941250E-1,3.007096710E0,1.413360901E0,6.827003174E0
2.912591250E-1,5.348377991E-1,5.451663208E-1,1.232372269E1
3.012251250E-1,-1.737436981E0,1.546284485E-1,1.433838318E1
3.111911250E-1,-4.945116577E0,1.165476379E0,1.382794464E1
3.211571250E-1,-5.415588226E0,3.624562683E0,1.147124542E1
3.311221250E-1,-3.365451508E0,2.942431183E0,8.476872253E0
3.410881250E-1,-1.482517090E0,1.680555267E0,6.168372803E0
3.510541250E-1,-2.844085693E-1,9.207353210E-1,5.786516876E0
3.610201250E-1,-5.376818848E-1,7.280859375E-1,6.873706055E0
3.709851250E-1,-2.044149170E0,1.138532410E0,8.683592377E0
3.809511250E-1,-4.458628235E0,1.554517365E0,9.525292053E0
3.909171250E-1,-6.789730682E0,1.036893768E0,9.176667023E0
4.008831250E-1,-7.314090271E0,-3.879931641E-1,8.550519104E0
4.108481250E-1,-7.313042450E0,-1.662742310E0,8.699309692E0
4.208141250E-1,-7.242988129E0,-2.091001740E0,9.909093933E0
4.307801250E-1,-7.391479340E0,-1.131646729E0,1.106918152E1
4.407461250E-1,-7.505991211E0,2.701881409E-1,1.225127335E1
4.507121250E-1,-7.872429199E0,8.961863708E-1,1.317410431E1
4.606771250E-1,-8.366551666E0,2.643502808E-1,1.275677216E1
4.706431250E-1,-8.788973236E0,-3.826043701E-1,1.208556793E1
4.806091250E-1,-8.565637665E0,-6.367758179E-1,1.212403793E1
