"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.047447109E1,5.237781867E1,4.897555764E0,3.320258141E0,1.233222565E0,1.343037262E2,4.895254291E0,3.140226498E0
4.147447693E1,5.237781899E1,4.897587732E0,3.315292067E0,1.076679769E0,1.343037262E2,4.861310741E0,3.192521717E0
4.247448301E1,5.237781010E1,4.897605040E0,3.179443475E0,1.079864123E0,1.343037262E2,4.823878609E0,3.248804734E0
4.347448766E1,5.237780133E1,4.897619514E0,3.214029054E0,1.193846575E0,1.343037262E2,4.804955086E0,3.276727583E0
4.447449362E1,5.237778455E1,4.897623972E0,2.644691550E0,1.409225918E0,1.343037262E2,4.819478304E0,3.255328848E0
4.547449791E1,5.237776706E1,4.897633234E0,3.203229250E0,1.585452450E0,1.343037262E2,4.826358740E0,3.245119157E0
4.647450399E1,5.237774987E1,4.897644550E0,2.922724210E0,1.661052901E0,1.343037262E2,4.828878711E0,3.241368141E0
4.747450864E1,5.237774017E1,4.897648294E0,2.870573868E0,1.218774956E0,1.345661469E2,4.793966419E0,3.292783474E0
4.847451401E1,5.237772704E1,4.897669628E0,2.931446497E0,1.234834704E0,1.345661469E2,4.800667118E0,3.283006588E0
4.947451806E1,5.237772140E1,4.897679508E0,3.108355331E0,8.706164094E-1,1.345661469E2,4.797655258E0,3.287406433E0
5.047452331E1,5.237771446E1,4.897700517E0,2.891173328E0,9.391863337E-1,1.345661469E2,4.800750760E0,3.282884277E0
5.147452843E1,5.237770285E1,4.897710506E0,3.341933459E0,7.432790766E-1,1.345661469E2,4.801603582E0,3.281636799E0
5.247453332E1,5.237770307E1,4.897710564E0,3.479439896E0,3.285689645E-1,1.345661469E2,4.811364288E0,3.267309401E0
5.347453797E1,5.237769734E1,4.897709544E0,3.943093713E0,4.239362746E-1,1.345661469E2,4.833082649E0,3.235096465E0
5.447454262E1,5.237767844E1,4.897730758E0,3.601970654E0,1.202750801E0,1.345661469E2,4.819626789E0,3.255109007E0
5.547454739E1,5.237767104E1,4.897738976E0,1.607476303E0,1.055395570E0,1.345661469E2,4.825172406E0,3.246882857E0
5.647455215E1,5.237766616E1,4.897753513E0,1.694066348E0,1.131069367E0,1.345661469E2,4.825901036E0,3.245799781E0
5.747455692E1,5.237765811E1,4.897768753E0,2.450364891E0,1.134138533E0,1.345661469E2,4.831826617E0,3.236972131E0
5.847456074E1,5.237765112E1,4.897783239E0,2.856350235E0,1.129351147E0,1.345661469E2,4.836440167E0,3.230074851E0
5.947456610E1,5.237764232E1,4.897800207E0,2.892354598E0,1.119108262E0,1.345661469E2,4.822885212E0,3.250279259E0
6.047457004E1,5.237762667E1,4.897816015E0,2.769888761E0,1.361040941E0,1.345661469E2,4.835325385E0,3.231743408E0
6.147457516E1,5.237761154E1,4.897818677E0,3.403681138E0,1.289105685E0,1.345661469E2,4.854558816E0,3.202779377E0
6.247457933E1,5.237759759E1,4.897845798E0,3.848318219E0,1.571703233E0,1.345661469E2,4.882965896E0,3.159300728E0
6.347458398E1,5.237759000E1,4.897855629E0,3.647047363E0,1.482457960E0,1.345684204E2,4.877293189E0,3.168051165E0
6.447458851E1,5.237759078E1,4.897852055E0,3.231926994E0,1.090381724E0,1.345684204E2,4.862452101E0,3.190783070E0
6.547459328E1,5.237758411E1,4.897864690E0,3.171214483E0,1.070792068E0,1.345684204E2,4.840585853E0,3.223858811E0
6.647459686E1,5.237757182E1,4.897885593E0,3.389307659E0,1.296288297E0,1.345684204E2,4.840074870E0,3.224625914E0
6.747460198E1,5.237756845E1,4.897906698E0,3.218760338E0,1.309712838E0,1.345684204E2,4.842378352E0,3.221165771E0
6.847460616E1,5.237756475E1,4.897920445E0,3.257945642E0,1.178531527E0,1.345684204E2,4.849975589E0,3.209715535E0
6.947460985E1,5.237755512E1,4.897942648E0,3.496082335E0,1.164233126E0,1.345684204E2,4.841909770E0,3.221870080E0
7.047461414E1,5.237755167E1,4.897957931E0,3.220464525E0,1.232205413E0,1.345684204E2,4.841312804E0,3.222767036E0
7.147461820E1,5.237754745E1,4.897983470E0,3.436915564E0,1.295250669E0,1.345684204E2,4.841881539E0,3.221912505E0
7.247462320E1,5.237753611E1,4.898020302E0,3.915925782E0,1.436447252E0,1.345684204E2,4.821529770E0,3.252289611E0
7.347462761E1,5.237753043E1,4.898036860E0,3.809554921E0,1.267898669E0,1.345684204E2,4.817812850E0,3.257793175E0
7.447463131E1,5.237752495E1,4.898054074E0,3.785160854E0,1.068909878E0,1.345684204E2,4.803339427E0,3.279095512E0
7.547463572E1,5.237751677E1,4.898068570E0,3.713423078E0,1.110051320E0,1.345684204E2,4.812810694E0,3.265178442E0
7.647463953E1,5.237751256E1,4.898075119E0,3.972667181E0,9.057256084E-1,1.345684204E2,4.819796005E0,3.254858446E0
7.747464383E1,5.237750985E1,4.898095892E0,2.177438944E0,9.891015611E-1,1.323262787E2,4.815895473E0,3.260626906E0
7.847464812E1,5.237751162E1,4.898110423E0,1.941141397E0,8.992103896E-1,1.323262787E2,4.820864273E0,3.253275994E0
7.947465181E1,5.237751255E1,4.898121213E0,3.428325587E0,8.415345492E-1,1.011225223E2,4.823117071E0,3.249935192E0
8.047465646E1,5.237750500E1,4.898137387E0,3.267259914E0,8.990404322E-1,1.041959697E2,4.834708632E0,3.232666001E0
8.147466111E1,5.237750113E1,4.898151033E0,3.676004980E0,1.000754902E0,1.049053723E2,4.824112577E0,3.248457307E0
8.247466505E1,5.237749940E1,4.898179330E0,4.349750085E0,9.277905816E-1,1.076780858E2,4.817952299E0,3.257586941E0
8.347466886E1,5.237749233E1,4.898195935E0,3.583242857E0,7.596667352E-1,1.159326143E2,4.823140934E0,3.249899778E0
8.447467339E1,5.237747565E1,4.898226733E0,3.451783063E0,1.095267751E0,1.234225292E2,4.831296171E0,3.237763787E0
8.547467768E1,5.237746725E1,4.898249502E0,3.975635688E0,1.323082337E0,1.287224208E2,4.842315798E0,3.221259807E0
8.647468078E1,5.237745472E1,4.898267708E0,3.355431661E0,1.476641185E0,1.310415325E2,4.868770937E0,3.181132910E0
8.747468603E1,5.237744368E1,4.898285861E0,3.617646854E0,1.547826850E0,1.323147400E2,4.862746395E0,3.190334548E0
8.847468948E1,5.237744029E1,4.898304231E0,3.967143340E0,1.403344443E0,1.235881388E2,4.865551379E0,3.186055054E0
8.947469485E1,5.237744028E1,4.898317005E0,4.029031182E0,1.317254505E0,1.237409118E2,4.867777904E0,3.182652245E0
