"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.406610215E1,5.212084640E1,4.291660510E0,1.267874169E1,1.412800489E0,NaN,6.746107419E1,1.353995818E1
5.506610191E1,5.212089028E1,4.291563243E0,1.342178122E1,1.861526589E0,NaN,6.915316552E1,1.354003822E1
5.606610215E1,5.212092553E1,4.291690153E0,1.267710559E1,1.391167029E0,NaN,6.633579771E1,1.353354403E1
5.706610239E1,5.212084628E1,4.291732886E0,1.273254024E1,8.877303073E-1,NaN,5.656183315E1,1.352377763E1
5.806610215E1,5.212085105E1,4.291722513E0,1.267394138E1,8.878321777E-1,NaN,6.009743440E1,1.353115947E1
5.906610227E1,5.212085570E1,4.291711859E0,1.282286587E1,8.879499104E-1,NaN,6.410512336E1,1.353895486E1
6.008943236E1,5.212086046E1,4.291701468E0,1.280279247E1,8.877514819E-1,NaN,6.856266622E1,1.354682562E1
6.108878767E1,5.212086514E1,4.291690909E0,1.297470456E1,8.898602349E-1,NaN,7.346934132E1,1.355480043E1
6.209102654E1,5.212086703E1,4.291686735E0,1.299660196E1,8.898602349E-1,NaN,7.555411184E1,1.356145059E1
6.308830428E1,5.212085058E1,4.291673261E0,1.322924280E1,8.377132268E-1,NaN,8.125527166E1,1.357678291E1
6.608868766E1,5.212062944E1,4.291933253E0,1.070895806E1,1.056660306E0,NaN,8.373975077E1,1.350532739E1
6.708810747E1,5.212061954E1,4.291938994E0,1.118255803E1,1.045937817E0,NaN,8.933596449E1,1.351292164E1
6.808817697E1,5.212061050E1,4.291943894E0,1.123945146E1,1.046327356E0,NaN,9.534265775E1,1.352071790E1
6.908864617E1,5.212060559E1,4.291946723E0,1.169598191E1,1.058622285E0,NaN,9.846676022E1,1.351999431E1
7.006610441E1,5.212063234E1,4.291850545E0,1.138472545E1,8.355550250E-1,NaN,9.872958766E1,1.353551635E1
7.106610417E1,5.212073934E1,4.291744951E0,1.119215713E1,4.637185706E-1,NaN,8.214278473E1,1.353391431E1
7.206610453E1,5.212074436E1,4.291731280E0,1.126702477E1,4.793255168E-1,NaN,8.576365861E1,1.354114239E1
7.306610501E1,5.212074459E1,4.291724295E0,1.128512396E1,4.792780862E-1,NaN,9.169757623E1,1.354892198E1
7.406610453E1,5.212074481E1,4.291717313E0,1.130578670E1,4.792664034E-1,NaN,9.801801525E1,1.355668565E1
7.506610548E1,5.212073681E1,4.291775259E0,1.144889881E1,2.237047625E-1,NaN,9.887691085E1,1.356035892E1
7.606610489E1,5.212062011E1,4.291952266E0,1.165455846E1,8.361215141E-1,NaN,9.882525775E1,1.356026404E1
7.706610501E1,5.212048439E1,4.292083231E0,5.097652582E0,1.009999990E0,1.455468816E2,2.820953543E1,1.200000000E1
7.806610501E1,5.212048770E1,4.292084218E0,5.523677972E0,1.009999990E0,1.564453172E2,2.869515617E1,1.200000000E1
7.906610572E1,5.212049497E1,4.292081930E0,5.520935127E0,8.199999928E-1,NaN,3.007085210E1,1.200000000E1
