"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718909217437561E9,"2024-06-20 20:46:57.438 UTC+02:00"
"PAUSE",5.704930553749982E2,1.718909787927745E9,"2024-06-20 20:56:27.928 UTC+02:00"
