"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.970089400E-2,-1.751749963E-1,-1.761374921E-1,-1.003750041E-2
4.011154000E-2,-6.242499873E-2,-2.857249975E-1,-4.413750023E-2
4.459379500E-2,-5.279999971E-2,-2.836624980E-1,-4.633750021E-2
4.708687800E-2,-3.891250119E-2,-2.814624906E-1,-4.413750023E-2
4.957288100E-2,-3.038750030E-2,-2.771999836E-1,-4.523750022E-2
5.206312700E-2,-2.612499893E-2,-2.718375027E-1,-4.303750023E-2
5.455195800E-2,-2.186249942E-2,-2.655124962E-1,-3.987500072E-2
5.704161900E-2,-1.979999989E-2,-2.591874897E-1,-3.781250119E-2
5.953103500E-2,-1.759999990E-2,-2.495625019E-1,-4.097500071E-2
6.202062800E-2,-1.869999990E-2,-2.388374954E-1,-4.207500070E-2
6.451014500E-2,-2.516249940E-2,-2.271499932E-1,-3.987500072E-2
6.699968700E-2,-3.148749843E-2,-2.176624984E-1,-4.097500071E-2
6.948922200E-2,-3.368749842E-2,-2.037750036E-1,-4.303750023E-2
7.197876100E-2,-4.001250118E-2,-1.867250055E-1,-4.413750023E-2
7.446829900E-2,-5.169999972E-2,-1.729750037E-1,-4.523750022E-2
7.695784800E-2,-6.022499874E-2,-1.622499973E-1,-5.156249925E-2
7.944738600E-2,-6.448750198E-2,-1.473999918E-1,-5.582499877E-2
8.193697000E-2,-7.507500052E-2,-1.314499974E-1,-6.324999779E-2
8.442654000E-2,-8.579999954E-2,-1.175625026E-1,-7.397499681E-2
8.691607400E-2,-9.528750181E-2,-1.027124971E-1,-8.676250279E-2
8.940561900E-2,-1.060125008E-1,-8.992499858E-2,-9.844999760E-2
9.189517000E-2,-1.156374961E-1,-8.139999956E-2,-1.112374961E-1
9.438471000E-2,-1.251250058E-1,-7.507500052E-2,-1.229249984E-1
9.687424800E-2,-1.336500049E-1,-7.177499682E-2,-1.357125044E-1
9.936378600E-2,-1.401125044E-1,-7.287500054E-2,-1.505624950E-1
1.018533240E-1,-1.464374959E-1,-7.823749632E-2,-1.633500010E-1
1.043428620E-1,-1.475374997E-1,-8.882500231E-2,-1.696749926E-1
1.068324340E-1,-1.442375034E-1,-9.955000132E-2,-1.824624985E-1
1.093219720E-1,-1.401125044E-1,-1.132999957E-1,-1.952500045E-1
1.118115110E-1,-1.358499974E-1,-1.260875016E-1,-2.058375031E-1
1.143010490E-1,-1.282874942E-1,-1.409374923E-1,-2.154625058E-1
1.167907230E-1,-1.134374961E-1,-1.516624987E-1,-2.239875048E-1
1.192803570E-1,-9.955000132E-2,-1.633500010E-1,-2.304500043E-1
1.217697740E-1,-8.786249906E-2,-1.750375032E-1,-2.421374917E-1
1.242592340E-1,-7.837499678E-2,-1.867250055E-1,-2.463999987E-1
1.267489200E-1,-6.668750197E-2,-1.974499971E-1,-2.527250051E-1
1.292385400E-1,-5.169999972E-2,-2.059749961E-1,-2.580874860E-1
1.317280660E-1,-4.001250118E-2,-2.219250053E-1,-2.612499893E-1
1.342176190E-1,-3.258749843E-2,-2.378749996E-1,-2.612499893E-1
1.367071740E-1,-1.979999989E-2,-2.527250051E-1,-2.558875084E-1
1.391967150E-1,-8.112499490E-3,-2.697750032E-1,-2.527250051E-1
1.416862530E-1,4.674999975E-3,-2.868250012E-1,-2.463999987E-1
1.441757920E-1,1.319999993E-2,-3.038749993E-1,-2.431000024E-1
1.466653300E-1,2.062499896E-2,-3.176249862E-1,-2.463999987E-1
1.491548690E-1,2.708750032E-2,-3.304125071E-1,-2.495625019E-1
1.516444350E-1,3.341250122E-2,-3.474625051E-1,-2.612499893E-1
1.541339740E-1,3.973750025E-2,-3.613499999E-1,-2.729375064E-1
1.566235120E-1,4.303750023E-2,-3.719374835E-1,-2.888875008E-1
1.591130500E-1,4.399999976E-2,-3.858250082E-1,-3.091000021E-1
1.616025880E-1,3.877500072E-2,-4.027374983E-1,-3.283500075E-1
1.640921260E-1,3.341250122E-2,-4.186874926E-1,-3.474625051E-1
1.665816640E-1,2.708750032E-2,-4.314749837E-1,-3.708375096E-1
1.690712020E-1,2.062499896E-2,-4.507249892E-1,-3.932499886E-1
1.715607860E-1,7.837500423E-3,-4.677749872E-1,-4.208875000E-1
1.740503560E-1,-8.112499490E-3,-4.868874848E-1,-4.496249855E-1
1.765398900E-1,-2.186249942E-2,-4.974749982E-1,-4.772624969E-1
1.790294350E-1,-3.684999794E-2,-5.134249926E-1,-5.134249926E-1
1.815189620E-1,-5.486249924E-2,-5.656750202E-1,-5.592125058E-1
1.840085020E-1,-7.301250100E-2,-6.124249697E-1,-5.975750089E-1
1.864980400E-1,-9.322500229E-2,-6.263124943E-1,-6.272749901E-1
1.889875790E-1,-1.080750003E-1,-6.177874804E-1,-6.687999964E-1
1.914771170E-1,-1.240250021E-1,-5.996375084E-1,-7.082625031E-1
1.939666560E-1,-1.401125044E-1,-5.740625262E-1,-7.422249913E-1
1.964562180E-1,-1.538625062E-1,-5.475249887E-1,-7.794874907E-1
1.989457570E-1,-1.740749925E-1,-5.167250037E-1,-8.189499974E-1
2.014352950E-1,-1.911250055E-1,-4.868874848E-1,-8.603374958E-1
2.039248340E-1,-2.059749961E-1,-4.644750059E-1,-8.944374919E-1
2.064143720E-1,-2.230249941E-1,-4.431625009E-1,-9.231749773E-1
2.089039110E-1,-2.358125001E-1,-4.197874963E-1,-9.487500191E-1
2.113934590E-1,-2.400749922E-1,-4.006749988E-1,-9.721249938E-1
2.138829980E-1,-2.422749996E-1,-3.793624938E-1,-9.849125147E-1
2.163726700E-1,-2.380124927E-1,-3.634124994E-1,-9.976999760E-1
2.188623030E-1,-2.261874974E-1,-3.452624977E-1,-1.003062487E0
2.213518260E-1,-2.081750035E-1,-3.326124847E-1,-1.003062487E0
2.238413820E-1,-1.857624948E-1,-3.240875006E-1,-9.976999760E-1
2.263309260E-1,-1.623875052E-1,-3.176249862E-1,-9.912375212E-1
2.288204680E-1,-1.325500011E-1,-3.207874894E-1,-9.795500040E-1
2.313100060E-1,-1.049124971E-1,-3.218874931E-1,-9.635999799E-1
2.337995450E-1,-7.727500051E-2,-3.207874894E-1,-9.455875158E-1
2.362890830E-1,-4.743750021E-2,-3.155624866E-1,-9.316999912E-1
2.387786220E-1,-2.089999989E-2,-3.048374951E-1,-9.178124666E-1
2.412681890E-1,-6.874999963E-4,-2.942500114E-1,-9.072250128E-1
2.437577280E-1,1.746249944E-2,-2.825624943E-1,-9.018625021E-1
2.462473100E-1,3.024999984E-2,-2.729375064E-1,-8.975999951E-1
2.487368800E-1,3.451250121E-2,-2.623499930E-1,-8.933374882E-1
2.512264140E-1,3.135000169E-2,-2.441999912E-1,-8.966374993E-1
2.537159590E-1,1.952499896E-2,-2.314125001E-1,-9.050250053E-1
2.562055250E-1,-1.649999991E-3,-2.186249942E-1,-9.157499671E-1
2.586950650E-1,-3.368749842E-2,-2.059749961E-1,-9.285374880E-1
2.611846030E-1,-7.301250100E-2,-1.931875050E-1,-9.413250089E-1
2.636741420E-1,-1.187999994E-1,-1.835625023E-1,-9.582374692E-1
2.661636750E-1,-1.772374958E-1,-1.739374995E-1,-9.710249901E-1
2.686532140E-1,-2.380124927E-1,-1.676124930E-1,-9.827125072E-1
2.711427520E-1,-2.986499965E-1,-1.687124968E-1,-9.934374690E-1
2.736322910E-1,-3.603875041E-1,-1.644500047E-1,-1.007187486E0
2.761218290E-1,-4.221250117E-1,-1.644500047E-1,-1.014750004E0
2.786113680E-1,-4.827624857E-1,-1.707749963E-1,-1.017912507E0
2.811009150E-1,-5.369374752E-1,-1.718750000E-1,-1.021075010E0
2.835904530E-1,-5.849249959E-1,-1.750375032E-1,-1.024237514E0
2.860801260E-1,-6.264500022E-1,-1.835625023E-1,-1.026437521E0
2.885697590E-1,-6.635749936E-1,-1.931875050E-1,-1.027537465E0
2.910592820E-1,-6.934124827E-1,-2.080374956E-1,-1.026437521E0
2.935488380E-1,-7.115625143E-1,-2.165624946E-1,-1.027537465E0
2.960383640E-1,-7.253124714E-1,-2.261874974E-1,-1.030699968E0
2.985279060E-1,-7.295749784E-1,-2.336124927E-1,-1.030699968E0
3.010174440E-1,-7.328749895E-1,-2.347124964E-1,-1.035925031E0
3.035069830E-1,-7.412624955E-1,-2.314125001E-1,-1.044450045E0
3.059965210E-1,-7.434625030E-1,-2.239875048E-1,-1.054075003E0
3.084860600E-1,-7.466250062E-1,-2.134000063E-1,-1.065762520E0
3.109755980E-1,-7.497875094E-1,-2.017125040E-1,-1.080749989E0
3.134651370E-1,-7.508875132E-1,-1.909874976E-1,-1.100962520E0
3.159546750E-1,-7.519875169E-1,-1.761374921E-1,-1.120074987E0
3.184442140E-1,-7.488250136E-1,-1.644500047E-1,-1.140287519E0
3.209337520E-1,-7.455250025E-1,-1.527625024E-1,-1.161599994E0
3.234232910E-1,-7.380999923E-1,-1.409374923E-1,-1.182912469E0
3.259128780E-1,-7.275124788E-1,-1.292500049E-1,-1.203125000E0
3.284024480E-1,-7.232499719E-1,-1.186624989E-1,-1.220037460E0
3.308919820E-1,-7.158250213E-1,-1.101374999E-1,-1.232825041E0
3.333815270E-1,-7.093625069E-1,-1.016125008E-1,-1.243549943E0
3.358710640E-1,-7.019374967E-1,-9.624999762E-2,-1.253037453E0
3.383606030E-1,-6.965749860E-1,-8.992499858E-2,-1.252074957E0
3.408501360E-1,-6.902499795E-1,-8.139999956E-2,-1.248775005E0
3.433396750E-1,-6.806250215E-1,-7.287500054E-2,-1.241349936E0
3.458292130E-1,-6.732000113E-1,-5.898749828E-2,-1.227599978E0
3.483187520E-1,-6.594499946E-1,-4.303750023E-2,-1.211512446E0
3.508082900E-1,-6.455624700E-1,-1.856249943E-2,-1.194599986E0
3.532978290E-1,-6.316750050E-1,1.113750041E-2,-1.171087503E0
3.557874870E-1,-6.103624701E-1,3.987500072E-2,-1.151975036E0
3.582771200E-1,-5.869874954E-1,6.544999778E-2,-1.126399994E0
3.607665080E-1,-5.625125170E-1,9.528750181E-2,-1.103024960E0
3.632559680E-1,-5.348749757E-1,1.249874979E-1,-1.081712484E0
3.657456640E-1,-5.050374866E-1,1.548250020E-1,-1.063699961E0
