"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.337995450E-1,-1.150050044E0,3.630000114E0,9.750000000E0
2.362890830E-1,-1.047000051E0,3.553050280E0,9.609000206E0
2.387786220E-1,-9.649500251E-1,3.493050098E0,9.487050056E0
2.412681890E-1,-9.199500680E-1,3.433950186E0,9.310050011E0
2.437577280E-1,-8.020500541E-1,3.376050234E0,9.136950493E0
2.462473100E-1,-6.949500442E-1,3.343050241E0,8.946000099E0
2.487368800E-1,-5.800500512E-1,3.321000099E0,8.716050148E0
2.512264140E-1,-4.909500182E-1,3.300000191E0,8.460000038E0
2.537159590E-1,-4.669500291E-1,3.256050110E0,8.175000191E0
2.562055250E-1,-4.579500258E-1,3.252000093E0,7.882950306E0
2.586950650E-1,-3.910500109E-1,3.304050207E0,7.593000412E0
2.611846030E-1,-4.189500213E-1,3.337950230E0,7.393950462E0
2.636741420E-1,-4.309500158E-1,3.369000196E0,7.321950436E0
2.661636750E-1,-4.620000124E-1,3.438000202E0,7.267050266E0
2.686532140E-1,-4.740000367E-1,3.513000250E0,7.216950417E0
2.711427520E-1,-5.460000038E-1,3.510000229E0,7.143000126E0
2.736322910E-1,-6.850500107E-1,3.541050196E0,7.152000427E0
2.761218290E-1,-7.500000596E-1,3.526950121E0,7.227000237E0
2.786113680E-1,-7.950000167E-1,3.502950191E0,7.303050518E0
2.811009150E-1,-8.569500446E-1,3.498000145E0,7.423050404E0
2.835904530E-1,-9.100500345E-1,3.460050106E0,7.573950291E0
2.860801260E-1,-9.390000701E-1,3.421950102E0,7.825050354E0
2.885697590E-1,-9.679500461E-1,3.394950151E0,8.119950294E0
2.910592820E-1,-9.940500259E-1,3.381000042E0,8.491050720E0
2.935488380E-1,-9.889500737E-1,3.358950138E0,8.737050056E0
2.960383640E-1,-9.270000458E-1,3.301950216E0,8.814000130E0
2.985279060E-1,-8.530500531E-1,3.220050097E0,8.778000832E0
3.010174440E-1,-7.710000277E-1,3.108000040E0,8.730000496E0
3.035069830E-1,-6.970500350E-1,2.986050129E0,8.730000496E0
3.059965210E-1,-6.109500527E-1,2.871000051E0,8.685000420E0
3.084860600E-1,-4.980000257E-1,2.824950218E0,8.650950432E0
3.109755980E-1,-4.600500166E-1,2.751000166E0,8.685000420E0
3.134651370E-1,-4.069500268E-1,2.650950193E0,8.740050316E0
3.159546750E-1,-3.550500274E-1,2.608050108E0,8.746950150E0
3.184442140E-1,-3.930000067E-1,2.623950243E0,8.824049950E0
3.209337520E-1,-4.530000091E-1,2.659950018E0,8.881050110E0
3.234232910E-1,-5.460000038E-1,2.643000126E0,8.922000885E0
3.259128780E-1,-6.439500451E-1,2.650950193E0,8.998050690E0
3.284024480E-1,-7.900500298E-1,2.670000076E0,9.064949989E0
3.308919820E-1,-9.150000215E-1,2.667000055E0,9.136950493E0
3.333815270E-1,-1.060950041E0,2.698950052E0,9.178050041E0
3.358710640E-1,-1.212000012E0,2.731950045E0,9.211050034E0
3.383606030E-1,-1.354950070E0,2.761050224E0,9.295050621E0
3.408501360E-1,-1.509000063E0,2.773050070E0,9.352950096E0
3.433396750E-1,-1.678950071E0,2.839950085E0,9.397950172E0
3.458292130E-1,-1.765050054E0,2.787000179E0,9.440999985E0
3.483187520E-1,-1.795950055E0,2.809050083E0,9.505950928E0
3.508082900E-1,-1.867950082E0,2.824950218E0,9.610950470E0
3.532978290E-1,-1.831950068E0,2.833050251E0,9.676050186E0
3.557874870E-1,-1.815000057E0,2.787000179E0,9.760050774E0
3.582771200E-1,-1.779000044E0,2.775000095E0,9.883950233E0
3.607665080E-1,-1.734000087E0,2.725050211E0,9.970050812E0
3.632559680E-1,-1.695000052E0,2.706000090E0,1.007595062E1
3.657456640E-1,-1.636050105E0,2.641050100E0,1.017195034E1
3.682352840E-1,-1.582950115E0,2.602950096E0,1.021200085E1
3.707248100E-1,-1.497000098E0,2.545050144E0,1.025295067E1
3.732143630E-1,-1.405950069E0,2.416050196E0,1.029105091E1
3.757038990E-1,-1.345950007E0,2.353950024E0,1.032495022E1
3.781934400E-1,-1.257000089E0,2.293950081E0,1.030995083E1
3.806829780E-1,-1.173000097E0,2.217000008E0,1.030305004E1
3.831725170E-1,-1.128000021E0,2.184000015E0,1.027005005E1
3.856620550E-1,-1.078050017E0,2.124000072E0,1.020000076E1
3.881515940E-1,-1.036949992E0,2.080950022E0,1.016400051E1
3.906411320E-1,-1.003050089E0,1.996950150E0,1.007100010E1
3.931306710E-1,-9.889500737E-1,2.028000116E0,1.006095028E1
3.956202320E-1,-1.008000016E0,2.040000200E0,1.002300072E1
3.981097700E-1,-1.047000051E0,2.052000046E0,9.951000214E0
4.005993530E-1,-1.114050031E0,2.062050104E0,9.934950829E0
4.030889220E-1,-1.175999999E0,2.080950022E0,9.891000748E0
4.055783970E-1,-1.260000110E0,2.100000143E0,9.853050232E0
4.080679100E-1,-1.384050012E0,2.164950132E0,9.820050240E0
4.105574520E-1,-1.473000050E0,2.245950222E0,9.810000420E0
4.130469850E-1,-1.600050092E0,2.313000202E0,9.822000504E0
4.155365700E-1,-1.747950077E0,2.386950016E0,9.822000504E0
4.180261390E-1,-1.885050058E0,2.404050112E0,9.846000671E0
4.205156680E-1,-1.954050064E0,2.482950211E0,9.798000336E0
4.230052130E-1,-1.870050073E0,2.481000185E0,9.798000336E0
4.254947500E-1,-1.827000141E0,2.470950127E0,9.846000671E0
4.279842900E-1,-1.956000090E0,2.500050068E0,9.811950684E0
4.304738280E-1,-2.148000002E0,2.650950193E0,9.750000000E0
4.329633670E-1,-2.325000048E0,2.742000103E0,9.666000366E0
4.354529050E-1,-2.440050125E0,2.791950226E0,9.633000374E0
4.379424440E-1,-2.509050131E0,2.758050203E0,9.585000038E0
4.404319820E-1,-2.490000010E0,2.749050140E0,9.595050812E0
4.429215210E-1,-2.442000151E0,2.782050133E0,9.616050720E0
4.454111930E-1,-2.287050009E0,2.743950129E0,9.666000366E0
4.479008260E-1,-2.173950195E0,2.694000244E0,9.654000282E0
4.503903450E-1,-2.116950035E0,2.686950207E0,9.682950020E0
4.528799010E-1,-2.028000116E0,2.643000126E0,9.714000702E0
4.553694360E-1,-1.990050077E0,2.632050037E0,9.714000702E0
4.578589780E-1,-1.959000111E0,2.658000231E0,9.681000710E0
4.603485160E-1,-1.947000146E0,2.647950172E0,9.634950638E0
4.628380550E-1,-1.960950136E0,2.665050030E0,9.613950729E0
4.653275780E-1,-2.038050175E0,2.682000160E0,9.561000824E0
4.678171170E-1,-2.067000151E0,2.701050043E0,9.559050560E0
4.703066550E-1,-2.152950048E0,2.707950115E0,9.613950729E0
4.727961940E-1,-2.173950195E0,2.731950045E0,9.625950813E0
4.752857320E-1,-2.155050039E0,2.734050035E0,9.609000206E0
4.777752710E-1,-2.137950182E0,2.713050127E0,9.646950722E0
4.802647750E-1,-2.212949991E0,2.761050224E0,9.645000458E0
4.827543140E-1,-2.409000158E0,2.878050089E0,9.604050636E0
4.852438520E-1,-2.524050236E0,2.952000141E0,9.658950806E0
4.877333910E-1,-2.584050179E0,2.952000141E0,9.657000542E0
4.902229730E-1,-2.587950230E0,2.923950195E0,9.634950638E0
4.927125430E-1,-2.554950237E0,2.872950077E0,9.613950729E0
4.952020720E-1,-2.433000088E0,2.785050154E0,9.619050026E0
4.976916170E-1,-2.325000048E0,2.731950045E0,9.595050812E0
5.001811540E-1,-2.239050150E0,2.706000090E0,9.541950226E0
5.026706940E-1,-2.128950119E0,2.623950243E0,9.505950928E0
5.051602320E-1,-2.031000137E0,2.514000177E0,9.493950844E0
5.076497710E-1,-1.900950074E0,2.473050117E0,9.499050140E0
5.101393090E-1,-1.819950104E0,2.398950100E0,9.516000748E0
5.126288480E-1,-1.729050040E0,2.335050106E0,9.468000412E0
5.151185200E-1,-1.674000025E0,2.263050079E0,9.417000771E0
5.176081530E-1,-1.602000117E0,2.203050137E0,9.367050171E0
5.200976760E-1,-1.554000020E0,2.160000086E0,9.343050003E0
5.225872320E-1,-1.492050052E0,2.116950035E0,9.334050179E0
5.250766420E-1,-1.494000077E0,2.047049999E0,9.322050095E0
5.275660880E-1,-1.465950012E0,1.972950101E0,9.226050377E0
5.300557770E-1,-1.474950075E0,1.944000125E0,9.142050743E0
5.325453940E-1,-1.432050109E0,1.930050135E0,9.131999969E0
5.350349200E-1,-1.422000051E0,1.876950145E0,9.144000053E0
5.375244730E-1,-1.387050033E0,1.846050143E0,9.097050667E0
5.400140090E-1,-1.378950119E0,1.876950145E0,9.178050041E0
5.425035500E-1,-1.348050117E0,1.884000063E0,9.231000900E0
5.449930880E-1,-1.312050104E0,1.936950088E0,9.298050880E0
5.474826270E-1,-1.303050041E0,1.924950123E0,9.328950882E0
5.499721650E-1,-1.333950043E0,1.954050064E0,9.360000610E0
5.524617040E-1,-1.377000093E0,1.924950123E0,9.412950516E0
5.549512810E-1,-1.426950097E0,1.978050113E0,9.379050255E0
5.574408510E-1,-1.489050031E0,2.020950079E0,9.472050667E0
5.599303850E-1,-1.588050127E0,2.038050175E0,9.472050667E0
5.624199300E-1,-1.663950086E0,2.059050083E0,9.472050667E0
5.649094670E-1,-1.747950077E0,2.026050091E0,9.529950142E0
5.673990070E-1,-1.818000078E0,2.088000059E0,9.525000572E0
5.698885450E-1,-1.885050058E0,2.116950035E0,9.523050308E0
5.723780830E-1,-1.960950136E0,2.089950085E0,9.559050560E0
