"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.523450624E1,5.237555667E1,4.839235000E0,9.214205921E0,3.875858188E-1,8.133999634E1,1.899999976E0,1.169999981E1
1.573450624E1,5.237554667E1,4.839231667E0,9.114189974E0,4.056011140E-1,1.195699997E2,1.799999952E0,1.169999981E1
1.623450624E1,5.237553667E1,4.839246667E0,8.514184671E0,7.108314037E-1,1.436399994E2,1.700000048E0,1.189999962E1
1.673450624E1,5.237552500E1,4.839266667E0,7.814179935E0,1.583285570E0,1.513999939E2,1.700000048E0,1.210000038E1
1.723450624E1,5.237551667E1,4.839280000E0,7.414176000E0,1.724834204E0,1.379700012E2,1.600000024E0,1.219999981E1
1.843350624E1,5.237549667E1,4.839308333E0,7.614164426E0,2.388311148E0,1.458099976E2,1.700000048E0,1.260000038E1
1.943350624E1,5.237548000E1,4.839348333E0,7.514164296E0,2.565375566E0,1.296799927E2,1.799999952E0,1.269999981E1
2.043350624E1,5.237546500E1,4.839381667E0,7.614162631E0,2.580817223E0,1.253300018E2,1.799999952E0,1.319999981E1
2.143350624E1,5.237545500E1,4.839420000E0,7.414170875E0,1.494753361E0,1.253600006E2,1.799999952E0,1.369999981E1
2.243350624E1,5.237544333E1,4.839446667E0,7.214170010E0,1.674906135E0,1.261100006E2,1.799999952E0,1.450000000E1
2.343350624E1,5.237542333E1,4.839483333E0,7.214163273E0,1.875133038E0,1.289400024E2,1.799999952E0,1.519999981E1
2.443350624E1,5.237541167E1,4.839505000E0,7.314159504E0,2.054771185E0,1.311100006E2,1.799999952E0,1.539999962E1
2.543350624E1,5.237539667E1,4.839531667E0,7.214153967E0,2.174701452E0,1.196900024E2,1.799999952E0,1.589999962E1
2.643350624E1,5.237537667E1,4.839563333E0,7.314144327E0,2.271983862E0,1.247900009E2,1.799999952E0,1.610000038E1
2.743350624E1,5.237536333E1,4.839601667E0,7.414147899E0,2.326544523E0,1.050000000E2,1.799999952E0,1.620000076E1
2.843350624E1,5.237536000E1,4.839621667E0,7.414154839E0,2.294116974E0,1.050000000E2,1.799999952E0,1.670000076E1
2.943350624E1,5.237535667E1,4.839640000E0,7.514160812E0,2.226173639E0,1.050000000E2,1.799999952E0,1.689999962E1
3.043350624E1,5.237535000E1,4.839680000E0,7.314174693E0,2.170068979E0,1.050000000E2,1.799999952E0,1.729999924E1
3.143350624E1,5.237534667E1,4.839701667E0,8.114182601E0,2.120140791E0,1.050000000E2,1.799999952E0,1.750000000E1
3.243750624E1,5.237534000E1,4.839741667E0,8.314196482E0,2.122199774E0,1.050000000E2,1.799999952E0,1.760000038E1
3.343750624E1,5.237533333E1,4.839780000E0,8.914209395E0,2.133008957E0,1.040000000E2,1.700000048E0,1.450000000E1
3.443750624E1,5.237532667E1,4.839825000E0,9.614226178E0,2.148450613E0,1.040000000E2,1.700000048E0,1.330000019E1
3.543750624E1,5.237532000E1,4.839868333E0,1.001424199E1,2.172642469E0,1.040000000E2,1.700000048E0,1.310000038E1
3.643750624E1,5.237531667E1,4.839895000E0,1.091425280E1,2.142273903E0,1.040000000E2,1.700000048E0,1.260000038E1
3.743750624E1,5.237531000E1,4.839935000E0,1.131426668E1,2.159774542E0,1.040000000E2,1.700000048E0,1.210000038E1
3.843750624E1,5.237530500E1,4.839970000E0,1.181428000E1,2.208673000E0,1.040000000E2,1.700000048E0,1.230000019E1
3.943750624E1,5.237529833E1,4.840018333E0,1.181429872E1,2.244703531E0,1.040000000E2,1.700000048E0,1.250000000E1
