"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.464659118E1,1.417212486E0,3.661625087E-1,3.668499887E-1
1.464908083E1,1.591699958E0,3.651999831E-1,3.529624939E-1
1.465157040E1,1.756700039E0,3.630000055E-1,3.167999983E-1
1.465405999E1,1.922662497E0,3.726249933E-1,2.593249977E-1
1.465654970E1,2.076937437E0,3.959999979E-1,1.634874940E-1
1.465903937E1,2.217462540E0,4.438500106E-1,2.419999987E-2
1.466152904E1,2.346162558E0,5.141124725E-1,-1.610125005E-1
1.466401870E1,2.465374947E0,6.142125130E-1,-3.866499960E-1
1.466650826E1,2.574962378E0,7.621625066E-1,-6.441875100E-1
1.466899785E1,2.684687376E0,9.674500227E-1,-9.219374657E-1
1.467148751E1,2.803762436E0,1.221825004E0,-1.207112551E0
1.467397716E1,2.927237511E0,1.527212501E0,-1.475374937E0
1.467646687E1,3.065562487E0,1.882650018E0,-1.721225023E0
1.467895655E1,3.209249973E0,2.253074884E0,-1.952087522E0
1.468144611E1,3.362562418E0,2.625562429E0,-2.150087595E0
1.468393571E1,3.528524876E0,3.004374981E0,-2.316050053E0
1.468642539E1,3.709475040E0,3.362974882E0,-2.456574917E0
1.468891503E1,3.912699938E0,3.699300051E0,-2.562999964E0
1.469140473E1,4.129812241E0,4.024899960E0,-2.648112535E0
1.469389441E1,4.348024845E0,4.338950157E0,-2.711912394E0
1.469638393E1,4.586312294E0,4.641174793E0,-2.768287420E0
1.469887349E1,4.823637486E0,4.899812698E0,-2.822599888E0
1.470136320E1,5.059999943E0,5.078562260E0,-2.853537560E0
1.470385287E1,5.280274868E0,5.179625034E0,-2.835387468E0
1.470634243E1,5.485562325E0,5.236000061E0,-2.753437519E0
1.470883203E1,5.679299831E0,5.223212242E0,-2.615112543E0
1.471132169E1,5.873037338E0,5.113625050E0,-2.428800106E0
1.471381133E1,6.067737579E0,4.926350117E0,-2.196837425E0
1.471630105E1,6.270962238E0,4.698649883E0,-1.937237501E0
1.471879074E1,6.472125053E0,4.434649944E0,-1.639274955E0
1.472128030E1,6.651975155E0,4.151674747E0,-1.278475046E0
1.472376989E1,6.782875061E0,3.882312536E0,-8.612999916E-1
