"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.464908083E1,-6.511697769E0,9.677783966E0,5.436582088E0
1.465405999E1,-4.129361153E0,9.337151527E0,3.896323919E0
1.465903937E1,-5.130109787E-1,9.143477440E0,1.792145967E0
1.466401870E1,2.418869019E0,9.850681305E0,-7.010310292E-1
1.466899785E1,4.226072788E0,1.099483395E1,-2.229402065E0
1.467397716E1,3.970251083E0,1.285770130E1,-3.169532061E0
1.467895655E1,3.358568907E0,1.519579887E1,-3.942739010E0
1.468393571E1,2.290755033E0,1.738290215E1,-4.474142075E0
1.468891503E1,1.279893994E0,1.931723404E1,-4.355648041E0
1.469389441E1,8.479279876E-1,2.149440956E1,-4.465020180E0
1.469887349E1,1.019111991E0,2.413305473E1,-3.945100069E0
1.470385287E1,-7.689099908E-1,2.825801659E1,-4.942930222E0
1.470883203E1,-2.242847919E0,3.323002625E1,-4.358795166E0
1.471381133E1,-2.869227886E0,3.743907166E1,-3.543311119E0
1.471879074E1,-3.635981083E0,4.105251312E1,-3.492068052E0
1.472376989E1,-2.876111031E0,4.373942184E1,-4.119159222E0
1.472874920E1,-9.861459732E-1,4.501721573E1,-3.297621012E0
1.473372837E1,3.096735954E0,4.409516907E1,-9.883069992E-1
1.473870775E1,8.964244843E0,4.332020950E1,5.217048168E0
1.474368706E1,1.429753304E1,4.038784027E1,6.049198151E0
1.474866623E1,2.279129601E1,3.587956238E1,-6.730700284E-2
1.475364562E1,2.740150833E1,3.325553513E1,-4.535585880E0
1.475862493E1,3.260071182E1,3.030739021E1,-8.882516861E0
1.476360407E1,3.669297028E1,2.744161797E1,-1.263119316E1
1.476858345E1,3.785427475E1,2.445655060E1,-1.651548386E1
1.477356253E1,3.636402893E1,2.169655991E1,-2.093086052E1
1.477854190E1,3.249245834E1,1.988872337E1,-2.438377762E1
1.478352121E1,2.698357964E1,1.863216400E1,-2.331855583E1
1.478850037E1,2.030093956E1,1.776341057E1,-2.035251617E1
1.479347976E1,1.352943993E1,1.713077354E1,-1.757296562E1
1.479845908E1,7.334778786E0,1.611772537E1,-1.515361023E1
1.480343823E1,1.608675957E0,1.531907558E1,-1.326565838E1
1.480841753E1,-3.381184101E0,1.422513199E1,-1.163237953E1
1.481339691E1,-7.203623772E0,1.283573341E1,-1.038040924E1
1.481837606E1,-9.178496361E0,1.097354412E1,-1.004098701E1
1.482335538E1,-1.120403290E1,9.240955353E0,-9.005125999E0
1.482833477E1,-1.162449265E1,6.697917938E0,-8.160286903E0
1.483331392E1,-1.153691483E1,4.175696850E0,-6.400601864E0
1.483829324E1,-1.143183231E1,2.253036022E0,-5.356421947E0
1.484327239E1,-1.213014507E1,8.581470251E-1,-2.806006908E0
1.484825177E1,-1.208705807E1,-1.644870043E-1,-1.213626981E0
1.485323084E1,-1.209521675E1,-1.235283017E0,1.068717003E0
1.485821023E1,-1.136360073E1,-2.283258915E0,3.099590063E0
1.486318955E1,-9.983833313E0,-3.432857037E0,4.605782032E0
1.486816893E1,-8.254917145E0,-4.253960133E0,6.520651817E0
1.487314808E1,-6.662230968E0,-4.949767113E0,8.798119545E0
1.487812740E1,-5.139772892E0,-5.588456154E0,1.066252327E1
1.488310656E1,-3.748102903E0,-6.239115238E0,1.172559166E1
1.488808594E1,-2.849347115E0,-6.936975956E0,1.283106136E1
1.489306525E1,-2.136246920E0,-7.327062130E0,1.336340046E1
1.489804440E1,-1.319447041E0,-7.960396767E0,1.343273640E1
1.490302378E1,-6.943550110E-1,-8.508693695E0,1.271111965E1
1.490800309E1,-4.103000090E-2,-8.716360092E0,1.099899864E1
1.491298225E1,6.532440186E-1,-8.647798538E0,9.250134468E0
1.491796155E1,1.313673019E0,-8.462532997E0,7.538531780E0
1.492294095E1,1.713886976E0,-7.879300117E0,6.104526997E0
1.492792010E1,2.085148096E0,-7.161701202E0,5.081851006E0
1.493289941E1,2.480391026E0,-6.052812099E0,3.746212006E0
1.493787856E1,3.183669090E0,-4.478305817E0,2.138288021E0
1.494285795E1,4.106421947E0,-3.122167110E0,6.279399991E-1
1.494783726E1,5.072612762E0,-1.833237052E0,-5.153970122E-1
1.495281642E1,6.121782780E0,-3.884449899E-1,-1.347154021E0
1.495779580E1,7.131643772E0,9.853479862E-1,-1.717625022E0
1.496277511E1,7.887438774E0,1.939887047E0,-1.837749958E0
1.496775424E1,8.835774422E0,2.677625895E0,-1.340363979E0
1.497273355E1,9.348745346E0,3.147799015E0,-9.602230191E-1
1.497771293E1,9.673215866E0,3.311503887E0,-3.263269961E-1
1.498269209E1,1.006215096E1,3.214004993E0,2.310899943E-1
1.498767140E1,1.039181900E1,2.877435923E0,8.925729990E-1
1.499265079E1,1.115937042E1,2.280508041E0,1.479892969E0
1.499762987E1,1.159123516E1,1.953004003E0,3.020804882E0
1.500260925E1,1.171086311E1,1.532704949E0,4.962582111E0
1.500758838E1,1.152539158E1,1.296123981E0,5.057716846E0
1.501256769E1,1.150793457E1,1.059203029E0,5.245140076E0
1.501754707E1,1.152894783E1,1.059481978E0,7.419647217E0
1.502252613E1,1.129645729E1,1.802525043E0,1.163631058E1
1.502750551E1,1.076834488E1,3.184652090E0,1.447462654E1
1.503248468E1,1.051405144E1,4.510379791E0,1.349667168E1
1.503746398E1,1.064543533E1,5.305850983E0,6.852850914E0
1.504244337E1,1.109425640E1,5.789659977E0,1.370852947E0
1.504742250E1,1.155809212E1,6.433780193E0,-1.826974988E0
1.505240181E1,1.272138405E1,7.174982071E0,-3.476496935E0
1.505738119E1,1.352522278E1,8.206314087E0,-4.575497150E0
1.506236034E1,1.343650341E1,8.978004456E0,-4.587858200E0
1.506733964E1,1.215097141E1,9.612577438E0,-4.717399120E0
1.507231903E1,9.751756668E0,1.007578754E1,-5.476193905E0
1.507729818E1,7.447688103E0,1.004486275E1,-6.556625843E0
1.508227749E1,5.071154118E0,9.821555138E0,-7.627183914E0
1.508725664E1,3.542984009E0,1.032952023E1,-1.334486961E1
1.509223594E1,9.466980100E-1,1.179531193E1,-1.949114227E1
1.509721533E1,-4.849315166E0,1.326296234E1,-1.758693123E1
1.510219448E1,-1.120986462E1,1.271917915E1,-1.392214584E1
1.510717378E1,-1.359138966E1,1.140784359E1,-9.843336105E0
1.511215317E1,-1.550306511E1,8.862358093E0,-6.336011887E0
1.511713232E1,-1.603815651E1,5.908414841E0,-3.557089090E0
1.512211162E1,-1.762839508E1,3.774566889E0,-3.534100056E-1
1.512709078E1,-1.889461327E1,2.848922968E0,4.154748917E0
1.513207016E1,-1.838046265E1,3.059573889E0,5.024899915E-2
1.513704947E1,-1.646978951E1,4.352565765E0,-6.818893909E0
1.514202862E1,-1.251097393E1,6.126478195E0,-1.425593853E1
1.514700798E1,-9.788776398E0,8.069991112E0,-2.239879608E1
1.515198729E1,-5.948863983E0,8.843946457E0,-2.861996269E1
1.515696645E1,-3.906028032E0,9.022738457E0,-2.949066162E1
1.516194573E1,-2.634073019E0,9.884507179E0,-2.598036194E1
1.516692512E1,-8.950480223E-1,1.052064705E1,-2.222583961E1
1.517190427E1,6.244019866E-1,9.703178406E0,-1.817687988E1
1.517688357E1,3.240607023E0,7.952477932E0,-1.505609226E1
1.518186273E1,3.218103886E0,7.106647015E0,-1.299794674E1
1.518684212E1,5.908525944E0,6.367838860E0,-1.087141895E1
1.519182143E1,8.435442924E0,5.163324833E0,-1.141176414E1
1.519680056E1,1.129483128E1,3.711525917E0,-1.271180439E1
1.520177995E1,1.510190582E1,1.686357021E0,-1.390770721E1
1.520675926E1,2.011090088E1,-1.051691055E0,-1.453457165E1
1.521173843E1,2.335239410E1,-3.186021090E0,-1.251015568E1
1.521671781E1,2.515637779E1,-5.140460968E0,-1.045305920E1
1.522169712E1,2.578317261E1,-6.957968235E0,-8.063256264E0
1.522667630E1,2.526244545E1,-8.534263611E0,-4.654041767E0
1.523165568E1,2.378907967E1,-1.006742287E1,-8.123779893E-1
1.523663499E1,1.987828636E1,-1.067423058E1,2.822447062E0
1.524161416E1,1.439130020E1,-9.930866241E0,6.006391048E0
1.524659347E1,9.976163864E0,-9.556270599E0,8.095825195E0
1.525157263E1,7.076674938E0,-9.534881592E0,8.568523407E0
1.525655201E1,4.203049183E0,-9.249146461E0,8.473158836E0
1.526153132E1,1.812674046E0,-8.988512039E0,7.601336002E0
1.526651049E1,-1.660750061E-1,-8.853740692E0,6.256937981E0
1.527148988E1,-1.484743953E0,-8.688067436E0,4.645268917E0
1.527646919E1,-6.828140020E-1,-7.598236084E0,4.131857872E0
1.528144833E1,-2.942888021E0,-8.483326912E0,1.302502990E0
1.528642771E1,-3.857472897E0,-8.391547203E0,-1.142780036E-1
1.529140702E1,-4.589580059E0,-7.985095024E0,-4.251250029E-1
1.529638617E1,-5.214395046E0,-7.127492905E0,-7.436220050E-1
1.530136555E1,-5.978341103E0,-6.181837082E0,-1.244616985E0
1.530634460E1,-6.546474934E0,-5.471557140E0,-1.873471022E0
1.531132399E1,-7.279986858E0,-4.910302162E0,-3.003504038E0
1.531630330E1,-8.223225594E0,-4.199070930E0,-4.354434013E0
1.532128243E1,-8.970630646E0,-3.242110968E0,-5.816394806E0
1.532626181E1,-9.621614456E0,-2.434881926E0,-6.977850914E0
1.533124112E1,-1.009867287E1,-1.690039992E0,-7.988284111E0
1.533622026E1,-1.085356140E1,-1.102525949E0,-8.476556778E0
1.534119964E1,-1.157981205E1,-5.841559768E-1,-8.754701614E0
1.534617895E1,-1.243498993E1,1.215509996E-1,-8.636503220E0
1.535115812E1,-1.324336720E1,8.430870175E-1,-7.981807232E0
1.535613750E1,-1.293920326E1,1.285487056E0,-7.022775173E0
1.536111681E1,-1.340626907E1,2.150679111E0,-6.829779148E0
1.536609598E1,-1.366886902E1,2.919156075E0,-6.141303062E0
1.537107537E1,-1.353979683E1,3.659327030E0,-6.138491154E0
1.537605468E1,-1.399275970E1,4.450778961E0,-5.588637829E0
1.538103384E1,-1.391446495E1,4.918136120E0,-4.656877041E0
1.538601323E1,-1.428261662E1,5.411163807E0,-4.852302074E0
1.539099231E1,-1.413399315E1,6.310253143E0,-3.047004938E0
1.539597168E1,-1.440007591E1,7.736206055E0,-1.533620059E-1
1.540095099E1,-1.456109142E1,9.681350708E0,1.058711052E0
1.540593015E1,-1.462297440E1,1.216560745E1,1.477373958E0
1.541090953E1,-1.427324677E1,1.479129219E1,1.354508042E0
1.541588884E1,-1.470012283E1,1.747890854E1,1.107306957E0
1.542086800E1,-1.505736923E1,1.990593529E1,2.846319973E-1
1.542584738E1,-1.590320778E1,2.290210533E1,-2.942720056E-1
1.543082668E1,-1.729037476E1,2.668292427E1,-1.662448049E0
1.543580583E1,-2.051965714E1,3.101074219E1,-4.182795048E0
1.544078522E1,-2.342186165E1,3.658011627E1,-6.269786835E0
1.544576450E1,-2.409931374E1,4.039515305E1,-6.811767101E0
1.545074365E1,-2.459126663E1,4.221918106E1,-9.851032257E0
1.545572296E1,-2.493340492E1,4.257718658E1,-1.255897713E1
1.546070211E1,-2.407289124E1,4.166873550E1,-1.580835438E1
1.546568150E1,-2.037215042E1,4.002346802E1,-1.343420029E1
1.547066081E1,-1.584383297E1,3.848067474E1,-8.971920013E0
1.547563996E1,-1.020949745E1,4.099128342E1,1.554680061E1
1.548061934E1,-5.024764061E0,3.846876144E1,1.566654301E1
1.548559842E1,4.167743206E0,3.199721909E1,-6.634540081E0
1.549057779E1,1.067758942E1,2.683846855E1,-1.596542835E1
1.549555710E1,1.600455475E1,2.215502167E1,-1.750302124E1
1.550053625E1,2.061808586E1,1.720879936E1,-1.929533577E1
1.550551564E1,2.362055969E1,1.234871292E1,-2.460171890E1
1.551049495E1,2.397069359E1,7.954000950E0,-2.691925812E1
1.551547410E1,2.328865051E1,4.247391224E0,-2.567045021E1
1.552045348E1,2.013536644E1,1.797471046E0,-2.369926453E1
1.552543279E1,1.484336853E1,8.884819746E-1,-2.115686798E1
1.553041194E1,8.331011772E0,1.249991059E0,-1.798216057E1
1.553539133E1,1.870316029E0,1.443094969E0,-1.439941597E1
1.554037064E1,-4.721239090E0,2.293160915E0,-1.128482723E1
1.554534980E1,-9.632413864E0,2.678342104E0,-9.930280685E0
1.555032918E1,-1.404489326E1,2.676165104E0,-7.999311924E0
1.555530827E1,-1.888539886E1,1.405730963E0,-5.138173103E0
1.556028766E1,-2.078429985E1,8.419999853E-3,-3.684340000E0
1.556526697E1,-2.083593559E1,-1.581614971E0,-1.617305040E0
1.557024609E1,-2.122532463E1,-3.392759085E0,5.103589892E-1
1.557522547E1,-2.127860832E1,-4.857532978E0,4.335965157E0
1.558020478E1,-2.078356934E1,-6.611773014E0,7.862431049E0
1.558518393E1,-2.023092079E1,-8.158303261E0,1.165995312E1
1.559016331E1,-1.971339989E1,-9.288513184E0,1.359278107E1
1.559514262E1,-1.964180565E1,-9.945228577E0,1.458362293E1
1.560012177E1,-1.921463776E1,-1.065553665E1,1.500651646E1
1.560510116E1,-1.798973465E1,-1.147263908E1,1.313899326E1
1.561008047E1,-1.579488564E1,-1.252840328E1,9.980903625E0
1.561505962E1,-1.289054775E1,-1.375264359E1,6.792644978E0
1.562003900E1,-1.006858444E1,-1.476139069E1,4.129335880E0
1.562501831E1,-7.280696869E0,-1.548339844E1,2.538376093E0
1.562999745E1,-4.995822906E0,-1.593207645E1,1.541651964E0
1.563497683E1,-2.978575945E0,-1.606373978E1,1.324797034E0
1.563995591E1,-1.156419039E0,-1.600068283E1,1.054018021E0
1.564493531E1,5.634689927E-1,-1.579627228E1,6.219990253E-1
1.564991462E1,2.374258995E0,-1.574763489E1,5.111000035E-3
1.565489377E1,4.376215935E0,-1.552083015E1,-2.020799965E-1
1.565987318E1,6.368721008E0,-1.510934258E1,-5.224429965E-1
1.566485249E1,7.688096046E0,-1.400177002E1,-6.535069942E-1
1.566983165E1,8.645058632E0,-1.260174942E1,-4.866429865E-1
1.567481103E1,1.056172276E1,-1.150408173E1,-8.692870140E-1
1.567979034E1,1.181690598E1,-9.817667961E0,-1.645874023E0
1.568476949E1,1.258691406E1,-7.574338913E0,-2.272366047E0
1.568974886E1,1.304734612E1,-5.388617992E0,-2.101075888E0
1.569472817E1,1.306055927E1,-3.314270020E0,-1.596830964E0
1.569970732E1,1.306210709E1,-1.429713011E0,-1.107468963E0
1.570468668E1,1.281956863E1,3.806599975E-2,-8.158869743E-1
1.570966576E1,1.241486073E1,8.163999915E-1,-8.950570226E-1
1.571464514E1,1.213260937E1,1.031298995E0,-1.073102951E0
1.571962446E1,1.215947247E1,8.147450089E-1,4.565660059E-1
1.572460361E1,1.243566132E1,6.105070114E-1,4.775117874E0
1.572958300E1,1.238248062E1,6.535210013E-1,8.900058746E0
1.573456232E1,1.264793396E1,7.656009793E-1,1.444748306E1
1.573954147E1,1.283668900E1,1.854171038E0,2.259963608E1
1.574452086E1,9.618689537E0,5.739239216E0,1.825385666E1
1.574950017E1,6.298373222E0,9.726011276E0,3.034107924E0
1.575447932E1,4.723050117E0,1.366776752E1,-7.107085228E0
1.575945872E1,4.838881016E0,1.827058601E1,-1.183459091E1
1.576443803E1,5.276554108E0,2.562309647E1,-1.975352859E1
1.576941719E1,6.667555809E0,3.033593559E1,-2.137524033E1
1.577439658E1,1.025325108E1,2.767941856E1,-2.090975380E1
1.577937589E1,1.222426033E1,2.337326050E1,-1.658681107E1
1.578435505E1,1.220471668E1,2.008604050E1,-1.482052803E1
1.578933434E1,1.098557663E1,1.712542534E1,-1.661531639E1
1.579431373E1,1.610285759E1,1.812919617E1,-4.628475952E1
1.579929288E1,8.741171837E0,2.260565948E1,-4.211910248E1
1.580427220E1,1.343088031E0,1.976813507E1,-3.318272781E1
1.580925159E1,-2.177421093E0,1.400381279E1,-2.659754181E1
1.581423074E1,-4.167893887E0,9.102572441E0,-1.993984222E1
1.581921004E1,-7.784779072E0,5.274775028E0,-1.552264786E1
1.582418943E1,-9.793375969E0,2.953982115E0,-1.351447582E1
1.582916858E1,-1.092730618E1,1.212422967E0,-1.246087456E1
1.583414790E1,-1.173979759E1,-1.825399995E-1,-7.504026890E0
1.583912728E1,-1.200458527E1,-5.497900024E-2,6.240899861E-2
1.584410644E1,-1.167370224E1,1.194012046E0,1.262774944E0
1.584908576E1,-1.110622597E1,3.130289078E0,-7.641929984E-1
