"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718891748445000E9,"2024-06-20 15:55:48.445 UTC+02:00"
"PAUSE",5.121009767083306E2,1.718892260545000E9,"2024-06-20 16:04:20.545 UTC+02:00"
