"event","experiment time","system time","system time text"
"START",0.000000000E0,1718728360.779,"2024-06-18 18:32:40.779 UTC+02:00"
"PAUSE",3.530954284E2,1718728713.874,"2024-06-18 18:38:33.874 UTC+02:00"
