"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.999449790E1,5.238483512E1,4.905141401E0,-1.691317533E0,3.410000086E0,2.351952799E2,5.761660647E0,3.000000000E0
2.099542332E1,5.238481079E1,4.905105871E0,-1.280306792E0,3.410000086E0,2.313280940E2,5.614307052E0,3.000000000E0
2.199626112E1,5.238479627E1,4.905063647E0,-1.397555318E0,3.430000067E0,2.397655905E2,5.536944322E0,3.000000000E0
2.299704278E1,5.238479310E1,4.905041086E0,-1.644992309E0,2.400000095E0,2.485546615E2,5.719137263E0,3.000000000E0
2.399779320E1,5.238479557E1,4.905000847E0,-1.892367700E0,2.650000095E0,2.626171569E2,5.932604997E0,3.000000000E0
2.499846625E1,5.238479651E1,4.904959774E0,-2.097689965E0,2.650000095E0,2.636718444E2,6.753413507E0,3.000000000E0
2.599909627E1,5.238478877E1,4.904913226E0,-2.550082543E0,2.650000095E0,2.583984073E2,6.404063805E0,3.000000000E0
2.699967062E1,5.238477426E1,4.904854064E0,-2.525790205E0,3.380000114E0,2.527733999E2,6.439598646E0,3.000000000E0
2.800020921E1,5.238475727E1,4.904819503E0,-2.488253583E0,3.380000114E0,2.432812149E2,6.632848635E0,3.000000000E0
2.900071073E1,5.238474310E1,4.904799362E0,-2.359164570E0,2.660000086E0,2.380077863E2,6.952555012E0,3.000000000E0
3.000118208E1,5.238472600E1,4.904787504E0,-2.488925516E0,2.119999886E0,2.281640441E2,6.763240921E0,3.000000000E0
3.100162303E1,5.238471615E1,4.904789165E0,-2.683933089E0,1.139999986E0,2.228906160E2,6.618986895E0,3.000000000E0
3.200203860E1,5.238468671E1,4.904791394E0,-2.362033525E0,1.789999962E0,1.961718692E2,6.548496524E0,3.000000000E0
3.300242233E1,5.238465020E1,4.904822443E0,-1.761935870E0,1.789999962E0,1.655859427E2,5.796436103E0,3.000000000E0
3.400278497E1,5.238460166E1,4.904875181E0,-1.864230313E0,3.049999952E0,1.501172052E2,5.033239743E0,3.107689520E0
3.500312316E1,5.238455115E1,4.904928927E0,-1.285128275E0,3.920000076E0,1.476562744E2,4.791955777E0,3.295708856E0
3.600343645E1,5.238450569E1,4.904980905E0,-7.068201145E-1,4.010000229E0,1.441406523E2,4.706467754E0,3.416679428E0
3.700372851E1,5.238446357E1,4.905027199E0,4.473546362E-1,3.920000076E0,1.427344026E2,4.672761960E0,3.462633780E0
3.800400627E1,5.238435864E1,4.905132504E0,2.078341096E0,3.375496702E0,1.354267876E2,5.275207710E0,2.448820256E0
3.900426364E1,5.238433608E1,4.905167359E0,1.866877005E0,3.445991605E0,1.353310940E2,5.319019002E0,2.352142403E0
4.000450718E1,5.238430573E1,4.905208640E0,2.012344189E0,3.704752137E0,1.350140238E2,5.339925132E0,2.304286574E0
4.100473082E1,5.238427513E1,4.905256928E0,1.691122845E0,4.062141945E0,1.367426806E2,5.336149585E0,2.313016352E0
4.200494158E1,5.238423025E1,4.905297291E0,2.076851353E0,4.445621268E0,1.412080229E2,5.417887360E0,2.114481873E0
4.300513852E1,5.238420308E1,4.905339593E0,1.543472642E0,4.631950088E0,1.405436000E2,5.437571721E0,2.063334876E0
4.400532079E1,5.238417296E1,4.905372982E0,1.673930284E0,4.511055980E0,1.432713025E2,5.861291059E0,1.912005021E0
4.500549126E1,5.238414009E1,4.905417414E0,2.091423083E0,4.451853094E0,1.447012511E2,6.452855038E0,1.639587775E0
4.600565255E1,5.238409141E1,4.905464176E0,2.078925838E0,4.846152708E0,1.454402039E2,6.435523192E0,1.926662037E0
4.700580144E1,5.238405141E1,4.905511067E0,2.138512202E0,4.922008162E0,1.456476304E2,7.079702327E0,1.898159074E0
4.800594115E1,5.238401555E1,4.905566990E0,1.803716243E0,5.173946419E0,1.418876771E2,7.342555379E0,1.867525843E0
4.900607038E1,5.238398512E1,4.905570834E0,2.156251487E0,5.136189968E0,1.488108777E2,7.396420668E0,1.956982890E0
5.000619006E1,5.238396047E1,4.905622292E0,2.234608418E0,4.917040917E0,1.469025948E2,6.858941325E0,2.281822515E0
5.100630367E1,5.238392786E1,4.905668937E0,2.029023366E0,4.743946282E0,1.458665578E2,6.269384566E0,2.199250204E0
5.200640643E1,5.238388835E1,4.905718114E0,2.002085400E0,4.650420832E0,1.452689284E2,5.677208188E0,2.338878792E0
5.300650549E1,5.238385632E1,4.905765303E0,2.749403254E0,4.678879262E0,1.455959352E2,5.598541260E0,2.311246648E0
5.400659597E1,5.238389825E1,4.905777458E0,2.261323521E0,1.377775206E0,1.234619258E2,5.172635576E0,2.658642178E0
5.500668025E1,5.238385910E1,4.905818315E0,9.104984971E-1,1.747151440E0,1.295835561E2,5.051299775E0,2.882517583E0
5.600675774E1,5.238383515E1,4.905838219E0,1.206091229E0,1.191024709E0,1.341595042E2,4.986938380E0,2.992487699E0
5.700682986E1,5.238378991E1,4.905877283E0,1.695813716E0,2.489013624E0,1.354511575E2,4.951161895E0,3.051316588E0
5.800689757E1,5.238377056E1,4.905894813E0,1.774223923E0,1.215983243E0,1.288578092E2,4.908190334E0,3.119968699E0
5.900695944E1,5.238372675E1,4.905927551E0,1.778735422E0,2.555010442E0,1.410357094E2,4.881205833E0,3.162019395E0
6.000701690E1,5.238369527E1,4.905961299E0,1.089784454E0,2.971289908E0,1.443040399E2,4.900192941E0,3.132514353E0
6.100707030E1,5.238365976E1,4.905989346E0,7.432920821E-1,3.355448776E0,1.477183483E2,4.895210954E0,3.140294054E0
6.200711834E1,5.238362982E1,4.906021808E0,1.072311403E0,3.471960177E0,1.464154532E2,4.892560237E0,3.144422262E0
6.300716412E1,5.238359995E1,4.906046919E0,8.425187562E-1,3.334312017E0,1.486347988E2,4.902604270E0,3.128739108E0
6.400720561E1,5.238361390E1,4.906038742E0,2.451907123E0,1.150837204E0,1.436102919E2,4.891309535E0,3.146367439E0
6.500724363E1,5.238360326E1,4.906045492E0,1.967095693E0,1.089716009E0,1.449533997E2,4.927592260E0,3.089234785E0
6.600727999E1,5.238358807E1,4.906065432E0,2.190556722E0,1.373598887E0,1.430127978E2,4.984506719E0,2.996536300E0
6.700731194E1,5.238356017E1,4.906112975E0,7.909276057E-1,2.289472549E0,1.383812068E2,4.971250904E0,3.018476682E0
6.800734043E1,5.238355310E1,4.906154789E0,8.341053706E-1,2.544166404E0,1.269425581E2,4.946878155E0,3.058256620E0
6.900736749E1,5.238353818E1,4.906172467E0,1.383607315E0,2.346332164E0,1.184572342E2,4.947279966E0,3.057606576E0
