"event","experiment time","system time","system time text"
"START",0.000000000E0,1717763519.649,"2024-06-07 14:31:59.649 UTC+02:00"
"PAUSE",1.398957775E2,1717763659.545,"2024-06-07 14:34:19.545 UTC+02:00"
