"event","experiment time","system time","system time text"
"START",0.000000000E0,1718732718.685,"2024-06-18 19:45:18.685 UTC+02:00"
"PAUSE",3.730154830E2,1718733091.701,"2024-06-18 19:51:31.701 UTC+02:00"
