"event","experiment time","system time","system time text"
"START",0.000000000E0,1717763242.092,"2024-06-07 14:27:22.092 UTC+02:00"
"PAUSE",1.142844207E2,1717763356.376,"2024-06-07 14:29:16.376 UTC+02:00"
