"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718908569525651E9,"2024-06-20 20:36:09.526 UTC+02:00"
"PAUSE",5.345876800833321E2,1.718909104112026E9,"2024-06-20 20:45:04.112 UTC+02:00"
