"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718893346703000E9,"2024-06-20 16:22:26.703 UTC+02:00"
"PAUSE",4.562590658333284E2,1.718893802962000E9,"2024-06-20 16:30:02.962 UTC+02:00"
