"event","experiment time","system time","system time text"
"START",0.000000000E0,1717763835.495,"2024-06-07 14:37:15.495 UTC+02:00"
"PAUSE",1.588315046E2,1717763994.326,"2024-06-07 14:39:54.326 UTC+02:00"
