"Time (s)","Distance (cm)"
8.224769443E1,0.000000000E0
8.284768823E1,5.000000000E0
8.324788308E1,0.000000000E0
8.384768957E1,5.000000000E0
8.444791422E1,0.000000000E0
8.514768005E1,5.000000000E0
8.554785079E1,0.000000000E0
8.614767913E1,5.000000000E0
8.674769514E1,0.000000000E0
8.734769143E1,5.000000000E0
8.774768162E1,0.000000000E0
8.834766460E1,5.000000000E0
8.914767811E1,0.000000000E0
8.934769261E1,5.000000000E0
9.004772829E1,0.000000000E0
9.064768178E1,5.000000000E0
9.124777917E1,0.000000000E0
9.184769259E1,5.000000000E0
9.244776808E1,0.000000000E0
9.304767511E1,5.000000000E0
9.344769719E1,0.000000000E0
9.424768256E1,5.000000000E0
9.464767780E1,0.000000000E0
9.574768642E1,5.000000000E0
9.614774868E1,0.000000000E0
9.714767447E1,5.000000000E0
9.754777322E1,0.000000000E0
9.774768772E1,5.000000000E0
9.814768067E1,0.000000000E0
9.874775230E1,5.000000000E0
9.914768031E1,0.000000000E0
9.994778708E1,5.000000000E0
1.006476788E2,0.000000000E0
1.012478678E2,5.000000000E0
1.018476981E2,0.000000000E0
1.022476807E2,5.000000000E0
1.030476712E2,0.000000000E0
1.034476680E2,5.000000000E0
1.040476831E2,0.000000000E0
1.046476745E2,5.000000000E0
1.052476914E2,0.000000000E0
1.059476628E2,5.000000000E0
1.065476843E2,0.000000000E0
1.069476652E2,5.000000000E0
1.077476858E2,0.000000000E0
1.081476793E2,5.000000000E0
1.087476956E2,0.000000000E0
1.093478151E2,5.000000000E0
1.099477043E2,0.000000000E0
1.105478062E2,5.000000000E0
1.112476841E2,0.000000000E0
1.116476791E2,5.000000000E0
1.122476957E2,0.000000000E0
1.128476911E2,5.000000000E0
1.134476693E2,0.000000000E0
1.138476919E2,5.000000000E0
1.146476804E2,0.000000000E0
1.150476714E2,5.000000000E0
1.156476832E2,0.000000000E0
1.162476849E2,5.000000000E0
1.169476686E2,0.000000000E0
1.175476742E2,5.000000000E0
1.181477459E2,0.000000000E0
1.187476844E2,5.000000000E0
1.193477573E2,0.000000000E0
1.197476855E2,5.000000000E0
1.203476951E2,0.000000000E0
1.209476680E2,5.000000000E0
1.215476812E2,0.000000000E0
1.222476859E2,5.000000000E0
1.228477007E2,0.000000000E0
1.232476862E2,5.000000000E0
1.238476994E2,0.000000000E0
1.244477099E2,5.000000000E0
1.250476803E2,0.000000000E0
1.256476793E2,5.000000000E0
1.262476890E2,0.000000000E0
1.266477924E2,5.000000000E0
1.273476927E2,0.000000000E0
1.279477587E2,5.000000000E0
1.283476926E2,0.000000000E0
1.289476976E2,5.000000000E0
1.295476761E2,0.000000000E0
1.301476781E2,5.000000000E0
1.307476889E2,0.000000000E0
1.311476806E2,5.000000000E0
1.317478153E2,0.000000000E0
1.323476887E2,5.000000000E0
1.330477130E2,0.000000000E0
1.336476784E2,5.000000000E0
1.342480845E2,0.000000000E0
1.348476908E2,5.000000000E0
1.356477209E2,0.000000000E0
1.362476837E2,5.000000000E0
1.370476735E2,0.000000000E0
1.376476785E2,5.000000000E0
1.383476864E2,0.000000000E0
1.387476856E2,5.000000000E0
1.393476744E2,0.000000000E0
1.397476853E2,5.000000000E0
1.403478822E2,0.000000000E0
1.407476865E2,5.000000000E0
1.413476948E2,0.000000000E0
1.419476662E2,5.000000000E0
1.423476908E2,0.000000000E0
1.429477981E2,5.000000000E0
1.436476797E2,0.000000000E0
1.442477009E2,5.000000000E0
1.446476778E2,0.000000000E0
1.452476864E2,5.000000000E0
1.458477010E2,0.000000000E0
1.462476859E2,5.000000000E0
1.468477114E2,0.000000000E0
1.474476679E2,5.000000000E0
1.478478016E2,0.000000000E0
1.485476738E2,5.000000000E0
1.491478926E2,0.000000000E0
1.495476741E2,5.000000000E0
1.501476877E2,0.000000000E0
1.507476839E2,5.000000000E0
1.513476933E2,0.000000000E0
1.517477437E2,5.000000000E0
1.523477010E2,0.000000000E0
1.527477978E2,5.000000000E0
1.535476735E2,0.000000000E0
1.540478588E2,5.000000000E0
1.546476864E2,0.000000000E0
1.552478646E2,5.000000000E0
1.558476932E2,0.000000000E0
1.562476852E2,5.000000000E0
1.570476733E2,0.000000000E0
1.574476979E2,5.000000000E0
1.580477252E2,0.000000000E0
1.584476975E2,5.000000000E0
1.593476902E2,0.000000000E0
1.597476846E2,5.000000000E0
1.603478718E2,0.000000000E0
1.609476948E2,5.000000000E0
1.615477632E2,0.000000000E0
1.619476677E2,5.000000000E0
1.625476822E2,0.000000000E0
1.631476770E2,5.000000000E0
1.637476957E2,0.000000000E0
1.641477452E2,5.000000000E0
1.648476899E2,0.000000000E0
1.654477089E2,5.000000000E0
1.660476826E2,0.000000000E0
1.666477200E2,5.000000000E0
1.672476923E2,0.000000000E0
1.676476784E2,5.000000000E0
1.682476951E2,0.000000000E0
1.688476914E2,5.000000000E0
1.694476767E2,0.000000000E0
1.701478561E2,5.000000000E0
