"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.294492718E0,5.232834833E1,4.955365000E0,3.211436568E1,1.207023621E0,1.822700043E2,8.399999619E0,1.129000015E2
1.794492718E0,5.232836667E1,4.955415000E0,1.371442035E1,1.134962559E0,1.889299927E2,3.900000095E0,3.100000000E1
2.294492718E0,5.232836833E1,4.955435000E0,1.771443415E1,1.015546918E0,1.931799927E2,3.299999952E0,2.639999962E1
2.794492718E0,5.232840667E1,4.955486667E0,1.451451827E1,7.700244188E-1,1.765700073E2,3.000000000E0,2.460000038E1
3.294492718E0,5.232840333E1,4.955490000E0,1.681451542E1,3.891299963E-1,2.689100037E2,2.900000095E0,2.460000038E1
4.294492718E0,5.232840333E1,4.955490000E0,1.911451542E1,1.626522243E-1,2.689100037E2,2.700000048E0,2.379999924E1
5.294492718E0,5.232840167E1,4.955500000E0,1.831451876E1,2.784647346E-1,2.689100037E2,2.599999905E0,2.350000000E1
6.294492718E0,5.232840000E1,4.955488333E0,1.711450972E1,2.707438767E-1,2.689100037E2,2.500000000E0,2.329999924E1
7.294492718E0,5.232840667E1,4.955480000E0,1.611451446E1,9.661335945E-1,1.818699951E2,2.400000095E0,2.089999962E1
8.294492718E0,5.232840667E1,4.955466667E0,1.611450685E1,8.559830785E-1,2.397599945E2,2.400000095E0,2.089999962E1
9.294492718E0,5.232840333E1,4.955450000E0,1.661449258E1,6.428880692E-1,2.425700073E2,2.500000000E0,2.070000076E1
1.029449272E1,5.232840333E1,4.955433333E0,1.701448307E1,5.703122020E-1,2.613099976E2,2.500000000E0,2.039999962E1
1.129449272E1,5.232841000E1,4.955423333E0,1.691448686E1,6.784039140E-1,2.583200073E2,2.500000000E0,2.060000038E1
1.229449272E1,5.232840667E1,4.955413333E0,1.711447640E1,8.899547458E-1,2.224299927E2,2.400000095E0,2.039999962E1
1.329449272E1,5.232840500E1,4.955390000E0,1.721446070E1,1.048489213E0,2.354499969E2,2.400000095E0,1.960000038E1
1.429449272E1,5.232840833E1,4.955358333E0,1.631444737E1,1.022753000E0,2.469299927E2,2.400000095E0,1.639999962E1
1.603449272E1,5.232839667E1,4.955318333E0,1.661440790E1,1.075769424E0,2.426799927E2,2.400000095E0,1.660000038E1
1.653449272E1,5.232839667E1,4.955320000E0,1.341440886E1,1.023782492E0,2.410000000E2,2.299999952E0,1.660000038E1
1.703449272E1,5.232839667E1,4.955320000E0,1.131440886E1,1.191581964E0,2.410000000E2,2.200000048E0,1.650000000E1
1.753449272E1,5.232839333E1,4.955310000E0,1.081439840E1,1.024811983E0,2.410000000E2,2.200000048E0,1.689999962E1
1.903049272E1,5.232838667E1,4.955286667E0,9.714375574E0,1.189523101E0,2.410000000E2,2.200000048E0,1.739999962E1
2.003049272E1,5.232838000E1,4.955268333E0,8.714355607E0,1.163272262E0,2.410000000E2,2.099999905E0,1.800000000E1
2.103049272E1,5.232837333E1,4.955250000E0,8.514335640E0,1.133933067E0,2.410000000E2,2.099999905E0,1.870000076E1
2.203049272E1,5.232836500E1,4.955225000E0,7.914309491E0,1.086578608E0,2.410000000E2,2.000000000E0,2.020000076E1
2.302749272E1,5.232835667E1,4.955201667E0,7.614284294E0,1.116947174E0,2.410000000E2,2.000000000E0,2.029999924E1
2.402749272E1,5.232834667E1,4.955173333E0,7.114253868E0,1.136506677E0,2.410000000E2,1.899999976E0,1.960000038E1
