Interval,LA_X,LA_Y,LA_Z,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Lat,Long,Height,V,Dir,Hor_Acc,Vert_Acc
60.25,0.43875115912803997,-0.7139478845412001,-4.47443534032,4.665701623464,-9.09329639276,-2.1496258300016002,-1.912085556936,-0.1383303370092,-0.083029374404,52.36266008,4.927278887,1.149426912,1.386885045,70.58413328,4.781988775,3.310154133
60.5,-0.30748374055199995,-0.10271710175080001,2.63232313277692,3.23643180552,-8.935787933519999,0.674012383972,-1.314190976596,-0.23270255118959998,0.24679628602136,52.36266008,4.927278887,1.149426912,1.386885045,70.58413328,4.781988775,3.310154133
60.75,1.311129819588,-4.39735991644,1.157687405676,4.7298881469600005,-13.2220046988,-0.27394233396799994,1.8990325525604002,1.4490396741071998,0.14646015776847998,52.36266008,4.927278887,1.149426912,1.386885045,70.58413328,4.781988775,3.310154133
61.0,-0.189227054964,3.297172260642,-5.4577869327199995,2.946538641432,-5.29100529776,-1.5602953491920002,0.9805904367280001,-0.5502248650996,0.2371079644656,52.36266008,4.927278887,1.149426912,1.386885045,70.58413328,4.781988775,3.310154133
61.25,1.7755183063228,-1.854186932972,1.703855451552,5.717169085840001,-10.10685668272,5.311961718336001,-0.18541158972000005,-0.05120778928600002,-0.2309708163262,52.36266469,4.927299782,1.621142422,1.378081021,69.24779887,4.793374618,3.293644912
61.5,-1.3184507442148001,-0.243123882188,-1.575553946028,2.7254005004648003,-8.97738343508,-0.9158315185168,-1.7991373204319998,-0.8624727469904001,0.2502188772076,52.36266469,4.927299782,1.621142422,1.378081021,69.24779887,4.793374618,3.293644912
61.75,-0.2234545387672,-2.1128241564744,3.69845059692,3.068570874,-10.695402796200002,0.5061933654924,-0.7628176242892001,0.208385077868,0.030961899762799994,52.36266469,4.927299782,1.621142422,1.378081021,69.24779887,4.793374618,3.293644912
62.0,1.2596759708056,-2.542166724632,-1.5616047335319998,4.517958856272,-11.710280346760001,-0.3830654113,2.462648398912,1.3687741550676,0.33445197939880006,52.36266469,4.927299782,1.621142422,1.378081021,69.24779887,4.793374618,3.293644912
62.25,0.8147120164439999,1.5627182479967998,-0.08988227612000006,3.97483428948,-6.649891479200001,3.529031341648,0.320296017816,-1.153355467276,-0.08846460565424,52.36266606,4.927325285,1.674402493,1.407018388,70.73362234,4.793299114,3.293754793
62.5,1.1832291108166666,-0.66215107703625,-4.5785749104125,5.09421851792,-9.231776421880001,-1.3215478270260002,-1.1394432869625,0.5593693467883333,-0.28111254059,52.36266606,4.927325285,1.674402493,1.407018388,70.73362234,4.793299114,3.293754793
