"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.696070833E-1,-4.387267530E-1,1.659601569E0,6.939262748E-1
7.796130833E-1,-2.844903171E-1,1.436975956E0,8.245202303E-1
7.896200833E-1,-7.905361056E-2,1.198614717E0,9.027310610E-1
7.996260833E-1,1.748503000E-1,1.108063698E0,9.602439404E-1
8.096330833E-1,3.922330141E-1,1.205698609E0,9.604536891E-1
8.196400833E-1,5.061079264E-1,1.464977384E0,8.544723988E-1
8.296460833E-1,5.148926377E-1,1.682393789E0,8.627468944E-1
8.396530833E-1,4.584194720E-1,1.685564041E0,1.037058830E0
8.496590833E-1,3.760029078E-1,1.632117271E0,1.130702853E0
8.596660833E-1,8.520647138E-2,1.829650879E0,1.180350900E0
8.696720833E-1,-3.131926060E-1,1.889961720E0,1.200448751E0
8.796790833E-1,-5.400326848E-1,1.961485982E0,1.245008707E0
8.896860833E-1,-3.375834823E-1,1.916137934E0,1.217055678E0
8.996920833E-1,2.628829181E-1,1.648112655E0,1.003759623E0
9.096990833E-1,7.317906022E-1,1.385365248E0,9.087509513E-1
9.197050833E-1,9.826713204E-1,1.149108768E0,9.742652774E-1
9.297120833E-1,9.419643283E-1,8.830807209E-1,9.743055105E-1
9.397190833E-1,7.583433986E-1,7.599569559E-1,8.558374643E-1
9.497250833E-1,5.275770426E-1,7.974251509E-1,5.458855033E-1
9.597320833E-1,2.796788514E-1,8.421867490E-1,2.103775442E-1
9.697380833E-1,1.706470549E-2,8.535271883E-1,-9.728428721E-2
9.797450833E-1,-2.317419201E-1,7.884126902E-1,-2.286122143E-1
9.897510833E-1,-3.970758319E-1,4.299519658E-1,-3.086392879E-1
9.997580833E-1,-3.363128901E-1,-2.126767859E-2,-4.400484264E-1
1.009765083E0,-1.860393733E-1,-3.909606338E-1,-6.157986522E-1
1.019771083E0,-1.029785872E-1,-7.959880233E-1,-5.779567361E-1
1.029778083E0,-2.053646147E-1,-8.341165185E-1,-4.376776218E-1
1.039784083E0,-4.615045190E-1,-7.811592817E-1,-4.338149726E-1
1.049791083E0,-6.444230676E-1,-6.875211000E-1,-5.160380006E-1
1.059798083E0,-6.939834356E-1,-5.036708713E-1,-6.044836640E-1
1.069804083E0,-6.546221972E-1,-4.227905571E-1,-7.088350654E-1
1.079811083E0,-5.036920309E-1,-3.912531435E-1,-9.464361668E-1
1.089817083E0,-3.574890494E-1,-2.398783714E-1,-1.060175419E0
1.099824083E0,-2.496810853E-1,-2.847664654E-1,-9.927582145E-1
1.109831083E0,-3.114403486E-1,-5.630468726E-1,-8.411637545E-1
1.119837083E0,-4.374710023E-1,-7.614340186E-1,-7.678127885E-1
1.129844083E0,-6.352592707E-1,-8.446413279E-1,-6.283120513E-1
1.139850083E0,-8.650008440E-1,-8.300905824E-1,-4.624279737E-1
1.149857083E0,-1.106480241E0,-8.142233491E-1,-3.270483613E-1
1.159864083E0,-1.328442693E0,-6.611357927E-1,-3.511821926E-1
1.169870083E0,-1.549062133E0,-5.319103599E-1,-5.513054729E-1
1.179877083E0,-1.730087042E0,-6.053779125E-1,-8.413612247E-1
1.189883083E0,-1.783599615E0,-6.078655720E-1,-1.102165341E0
1.199890083E0,-1.693260431E0,-4.892981648E-1,-1.252194762E0
1.209896083E0,-1.478109717E0,-1.219386384E-1,-1.297425747E0
1.219903083E0,-1.170800209E0,1.225635186E-1,-1.357614756E0
1.229910083E0,-8.404738307E-1,3.233832493E-2,-1.459425211E0
1.239916083E0,-5.880362391E-1,-1.584966034E-1,-1.539064407E0
1.249923083E0,-4.718581736E-1,-3.601686656E-1,-1.552310348E0
1.259929083E0,-4.927546680E-1,-5.184877515E-1,-1.522678137E0
1.269936083E0,-6.375604272E-1,-5.067552328E-1,-1.477944732E0
1.279943083E0,-8.671696186E-1,-4.330972433E-1,-1.363576412E0
1.289949083E0,-1.137830257E0,-1.531555653E-1,-1.188305020E0
1.299956083E0,-1.354087949E0,3.397886157E-1,-1.043289185E0
1.309962083E0,-1.445331812E0,1.058495045E0,-9.004601240E-1
1.319969083E0,-1.456808448E0,1.746006012E0,-7.952623367E-1
1.329975083E0,-1.411016822E0,2.150150537E0,-7.416182756E-1
1.339982083E0,-1.224253058E0,2.144511700E0,-6.839142442E-1
1.349989083E0,-8.918793201E-1,1.960788965E0,-6.572218537E-1
1.359995083E0,-4.839136899E-1,1.767984390E0,-6.461505890E-1
1.370002083E0,-1.032565832E-1,1.615063429E0,-7.483567595E-1
