"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.021960833E-1,-6.367907867E0,-7.633675690E0,6.421496429E0
9.122020833E-1,-6.217770081E0,-7.019353180E0,6.624025269E0
9.222090833E-1,-6.751560059E0,-5.858666840E0,5.525908813E0
9.322150833E-1,-7.045249329E0,-5.903124390E0,4.549040222E0
9.422220833E-1,-6.472989349E0,-7.086264038E0,3.885320435E0
9.522280833E-1,-5.863307190E0,-8.373587036E0,3.812422028E0
9.622350833E-1,-5.847739563E0,-8.573271790E0,3.449875946E0
9.722420833E-1,-6.472091217E0,-7.448660431E0,2.698887634E0
9.822480833E-1,-7.177274780E0,-5.916446686E0,1.714384918E0
9.922550833E-1,-7.008725281E0,-5.530399475E0,1.029559021E0
1.002261083E0,-6.217021637E0,-5.961652679E0,1.621128845E0
1.012268083E0,-5.901627502E0,-6.518794098E0,2.337539063E0
1.022275083E0,-7.503147125E0,-7.005731506E0,2.640359344E0
1.032281083E0,-9.587562561E0,-6.209537201E0,1.678609314E0
1.042288083E0,-9.625284119E0,-5.814957733E0,-1.700463867E-1
1.052294083E0,-9.657317505E0,-5.451962585E0,-4.543052673E-1
1.062301083E0,-9.805509338E0,-5.876779175E0,6.017486572E-1
1.072308083E0,-9.212292938E0,-6.206244049E0,8.461903381E-1
1.082314083E0,-7.957003326E0,-5.544769592E0,9.927355957E-1
1.092321083E0,-7.192093964E0,-5.707331543E0,4.927752686E-1
1.102327083E0,-7.786507874E0,-6.721622314E0,-8.382568359E-2
1.112334083E0,-7.827372894E0,-6.751110992E0,-1.000369720E0
1.122340083E0,-6.981631622E0,-6.445895691E0,-1.545685730E0
1.132347083E0,-7.007827148E0,-6.897656250E0,-1.829645233E0
1.142354083E0,-7.379653931E0,-7.340734863E0,-2.213746490E0
1.152360083E0,-6.987319794E0,-7.453450470E0,-1.912273407E0
1.162367083E0,-6.033054199E0,-6.830446014E0,-1.282682648E0
1.172373083E0,-4.844675446E0,-6.150410156E0,-1.080902252E0
1.182380083E0,-4.219275970E0,-5.949827271E0,-9.348060608E-1
1.192387083E0,-4.173920288E0,-6.116730194E0,-2.174977112E-1
1.202393083E0,-4.413871307E0,-6.206992493E0,4.486170959E-1
