"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.911245834E-2,-1.007560730E1,2.863021851E0,-4.806901550E1
2.911845833E-2,-9.962257385E0,3.157379150E0,-4.835272217E1
3.912545834E-2,-9.962387085E0,3.181137085E0,-4.853605652E1
4.913245833E-2,-9.924980164E0,3.419464111E0,-4.848541260E1
5.913845833E-2,-9.939163208E0,3.282707214E0,-4.863644409E1
6.914545834E-2,-9.956817627E0,3.519077301E0,-4.860804749E1
7.915145833E-2,-9.975646973E0,3.459911346E0,-4.882545471E1
8.915845834E-2,-9.985755920E0,3.813789368E0,-4.855050659E1
9.916545833E-2,-1.022234344E1,4.103351593E0,-4.837394714E1
1.091714583E-1,-1.024281311E1,4.491348267E0,-4.826593018E1
1.191784583E-1,-1.068981934E1,4.629806519E0,-4.811766052E1
1.291844583E-1,-1.111534882E1,4.834449768E0,-4.837963867E1
1.391914583E-1,-1.132907104E1,5.106414795E0,-4.813722229E1
1.491974583E-1,-1.164900970E1,5.177661896E0,-4.810633850E1
1.592044583E-1,-1.195349121E1,5.388710022E0,-4.815740967E1
1.692114583E-1,-1.231661987E1,5.700401306E0,-4.794284058E1
1.792174583E-1,-1.271189880E1,6.013347626E0,-4.788812256E1
1.892244583E-1,-1.310041809E1,5.913578033E0,-4.761383057E1
1.992304583E-1,-1.333724213E1,6.234657288E0,-4.761384583E1
2.092374583E-1,-1.356549072E1,6.613567352E0,-4.745111084E1
2.192434583E-1,-1.379582977E1,6.542800903E0,-4.740020752E1
2.292504583E-1,-1.393991852E1,6.684631348E0,-4.727575684E1
2.392574583E-1,-1.412519836E1,6.663551331E0,-4.708946228E1
2.492634583E-1,-1.448870850E1,6.888633728E0,-4.679254150E1
2.592704583E-1,-1.489756775E1,6.858520508E0,-4.685507202E1
2.692764583E-1,-1.473949432E1,6.931907654E0,-4.691514587E1
2.792834583E-1,-1.491600800E1,7.208438873E0,-4.706604004E1
2.892904583E-1,-1.499485779E1,7.182575226E0,-4.689738464E1
2.992964583E-1,-1.521423340E1,7.210430145E0,-4.682069397E1
3.093034583E-1,-1.497585297E1,7.684898376E0,-4.698422241E1
3.193094583E-1,-1.491461945E1,7.812839508E0,-4.701683044E1
3.293164583E-1,-1.429335022E1,8.137466431E0,-4.682057190E1
3.393234583E-1,-1.372081757E1,8.783538818E0,-4.714561462E1
3.493294583E-1,-1.322521210E1,9.433609009E0,-4.722033691E1
3.593364583E-1,-1.241153717E1,1.032537842E1,-4.734446716E1
3.693424583E-1,-1.127182770E1,1.108271027E1,-4.734291077E1
3.793494583E-1,-9.932968140E0,1.204582214E1,-4.689611816E1
3.893554583E-1,-9.160629272E0,1.355482483E1,-4.686116028E1
3.993630833E-1,-8.142700195E0,1.474131775E1,-4.692152405E1
4.093700833E-1,-6.907379150E0,1.581622314E1,-4.665957642E1
4.193760833E-1,-5.994865417E0,1.691807556E1,-4.646279907E1
4.293830833E-1,-4.877250671E0,1.784554291E1,-4.634629822E1
4.393890833E-1,-3.769859314E0,1.904496765E1,-4.550384521E1
4.493960833E-1,-2.737724304E0,2.006057739E1,-4.553518677E1
4.594030833E-1,-1.752182007E0,2.145195007E1,-4.500439453E1
4.694090833E-1,-5.036315918E-1,2.324523926E1,-4.432942200E1
4.794160833E-1,3.641815186E-1,2.490286255E1,-4.304722595E1
4.894220833E-1,1.933029175E0,2.817793274E1,-4.061019897E1
4.994290833E-1,2.655960083E0,2.988151550E1,-3.984010315E1
5.094350833E-1,3.223770142E0,3.123339844E1,-3.863549805E1
5.194420833E-1,3.462471008E0,3.252127075E1,-3.739706421E1
5.294490833E-1,3.962341309E0,3.364157867E1,-3.645130920E1
5.394550833E-1,4.718124390E0,3.479560089E1,-3.534782410E1
5.494620833E-1,5.363586426E0,3.597186279E1,-3.418086243E1
5.594680833E-1,5.648910522E0,3.726742554E1,-3.291569519E1
5.694750833E-1,6.076370239E0,3.827765656E1,-3.118362427E1
5.794820833E-1,6.392608643E0,3.962747955E1,-2.966645813E1
5.894880833E-1,6.567153931E0,4.029017639E1,-2.846965027E1
5.994950833E-1,6.554183960E0,4.128675079E1,-2.731184387E1
6.095010833E-1,6.582687378E0,4.193252563E1,-2.630876160E1
6.195080833E-1,6.794948578E0,4.238331604E1,-2.498074341E1
6.295140833E-1,6.719478607E0,4.295655823E1,-2.392025757E1
6.395210833E-1,6.797561646E0,4.354272461E1,-2.348179626E1
6.495280833E-1,7.053138733E0,4.409114075E1,-2.252807617E1
6.595340833E-1,7.299659729E0,4.459735107E1,-2.129855347E1
6.695410833E-1,7.805610657E0,4.481268311E1,-1.989876556E1
6.795470833E-1,7.918605804E0,4.529787445E1,-1.909397888E1
6.895540833E-1,8.281990051E0,4.552455902E1,-1.843154144E1
6.995610833E-1,8.888336182E0,4.590276337E1,-1.759791565E1
7.095670833E-1,9.295055389E0,4.607088470E1,-1.714598083E1
7.195740833E-1,9.367988586E0,4.596713257E1,-1.628071594E1
7.295800833E-1,9.923572540E0,4.594079590E1,-1.571302795E1
7.395870833E-1,1.050439835E1,4.599877930E1,-1.535128021E1
7.495930833E-1,1.120638275E1,4.603739929E1,-1.514883423E1
7.596000833E-1,1.162437057E1,4.595103455E1,-1.477364349E1
7.696070833E-1,1.221366119E1,4.607983398E1,-1.431861877E1
7.796130833E-1,1.267545700E1,4.627940369E1,-1.438962555E1
7.896200833E-1,1.315829468E1,4.602503204E1,-1.349337006E1
7.996260833E-1,1.398615265E1,4.594585419E1,-1.315623474E1
8.096330833E-1,1.480990219E1,4.552834320E1,-1.320562744E1
8.196400833E-1,1.520114517E1,4.556441498E1,-1.355390930E1
8.296460833E-1,1.570803833E1,4.524470520E1,-1.328656769E1
8.396530833E-1,1.666510773E1,4.498740387E1,-1.309995270E1
8.496590833E-1,1.713190460E1,4.472195435E1,-1.309136963E1
8.596660833E-1,1.791296005E1,4.447261047E1,-1.308990479E1
8.696720833E-1,1.852180099E1,4.427915955E1,-1.248048401E1
8.796790833E-1,1.934582901E1,4.421152496E1,-1.190039825E1
8.896860833E-1,1.990700531E1,4.368976593E1,-1.134751892E1
8.996920833E-1,2.044221115E1,4.354863739E1,-1.058012390E1
9.096990833E-1,2.133418274E1,4.344693756E1,-1.060989380E1
9.197050833E-1,2.184934235E1,4.333424377E1,-1.062395477E1
9.297120833E-1,2.247644806E1,4.288152313E1,-1.100821686E1
9.397190833E-1,2.330779266E1,4.256670380E1,-1.131933594E1
9.497250833E-1,2.335634232E1,4.238527679E1,-1.117588806E1
9.597320833E-1,2.367322159E1,4.220026398E1,-1.123391724E1
9.697380833E-1,2.381134033E1,4.188642120E1,-1.090630341E1
9.797450833E-1,2.377073288E1,4.194010925E1,-1.086024475E1
9.897510833E-1,2.385954666E1,4.194824982E1,-1.057827759E1
9.997580833E-1,2.369010544E1,4.215872955E1,-1.049473572E1
1.009765083E0,2.363347626E1,4.233928680E1,-1.044041443E1
1.019771083E0,2.352217102E1,4.249040222E1,-1.029579163E1
1.029778083E0,2.304543686E1,4.259493256E1,-1.058193970E1
1.039784083E0,2.276695251E1,4.269161224E1,-1.065875244E1
1.049791083E0,2.249764252E1,4.305784607E1,-1.027573395E1
1.059798083E0,2.245995331E1,4.316442871E1,-1.020837402E1
1.069804083E0,2.221691513E1,4.332533264E1,-1.000212860E1
