"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.999251831E1,5.236255161E1,4.926901704E0,5.792524265E-1,1.158717164E0,7.272135983E1,4.958903709E0,3.038718651E0
4.099251866E1,5.236256115E1,4.926914044E0,7.754971255E-1,1.167085838E0,6.905253527E1,4.980075428E0,3.003895098E0
4.199251866E1,5.236255867E1,4.926918417E0,8.386735916E-1,8.544477071E-1,6.911404688E1,4.934902842E0,3.077543009E0
4.299251914E1,5.236256389E1,4.926922475E0,2.785965903E-1,4.037103064E-1,6.230032019E1,4.927136249E0,3.089962042E0
4.399251986E1,5.236257649E1,4.926927419E0,3.224536628E-1,4.944381977E-1,5.330560275E1,4.965935122E0,3.027214131E0
4.499252260E1,5.236258167E1,4.926954990E0,5.196916843E-1,7.898217933E-1,6.170685819E1,4.980764783E0,3.002751940E0
4.599252260E1,5.236258674E1,4.926985186E0,1.087545874E0,1.185410827E0,6.910370164E1,4.936319081E0,3.075270877E0
4.699252081E1,5.236259953E1,4.927001274E0,1.231279590E0,1.312278853E0,6.773435350E1,4.905317885E0,3.124482914E0
4.799252105E1,5.236260302E1,4.927009358E0,7.881359020E-1,1.031889358E0,7.303510977E1,4.891235112E0,3.146483134E0
4.899252188E1,5.236260765E1,4.927026581E0,5.003827447E-1,8.848220926E-1,7.222329109E1,4.871144904E0,3.177496555E0
4.999252164E1,5.236261278E1,4.927055216E0,8.101274604E-1,1.154614267E0,7.114919635E1,4.862415985E0,3.190838107E0
5.099252164E1,5.236262481E1,4.927070928E0,8.742843000E-1,1.244990249E0,6.926363589E1,4.853792960E0,3.203939908E0
5.199252284E1,5.236263172E1,4.927090276E0,9.327470735E-1,1.235719342E0,7.336311711E1,4.839496291E0,3.225494177E0
5.299252224E1,5.236263448E1,4.927113436E0,1.232253573E0,1.298438597E0,7.534944678E1,4.833634823E0,3.234271390E0
5.399252260E1,5.236264144E1,4.927125809E0,5.556690181E-1,1.051318173E0,6.981975599E1,4.825534712E0,3.246344371E0
5.499252379E1,5.236264750E1,4.927134857E0,2.118555922E-2,9.333654829E-1,6.975125099E1,4.816927583E0,3.259101977E0
5.599252319E1,5.236264932E1,4.927161766E0,6.604820099E-1,1.154121972E0,7.773941574E1,4.809991450E0,3.269330098E0
5.699252415E1,5.236265278E1,4.927183819E0,3.634513076E-1,1.103724729E0,7.103657753E1,4.801218854E0,3.282199651E0
5.799252319E1,5.236265792E1,4.927202380E0,1.295729448E0,1.226524316E0,6.727402379E1,4.792194218E0,3.295362136E0
5.899252343E1,5.236266047E1,4.927223199E0,1.229150009E0,1.240583255E0,6.922314484E1,4.787481392E0,3.302205166E0
5.999252427E1,5.236266418E1,4.927250696E0,1.005982297E0,1.419086001E0,6.950866710E1,4.785861005E0,3.304553143E0
6.099252367E1,5.236266008E1,4.927278887E0,1.149426912E0,1.386885045E0,7.058413328E1,4.781988775E0,3.310154133E0
6.199252498E1,5.236266469E1,4.927299782E0,1.621142422E0,1.378081021E0,6.924779887E1,4.793374618E0,3.293644912E0
6.299252427E1,5.236266606E1,4.927325285E0,1.674402493E0,1.407018388E0,7.073362234E1,4.793299114E0,3.293754793E0
6.399252486E1,5.236267358E1,4.927334192E0,1.268722452E0,1.229508169E0,6.589867218E1,4.785376311E0,3.305254996E0
6.499252462E1,5.236267752E1,4.927351021E0,1.384163496E0,1.192441188E0,6.881394458E1,4.779804894E0,3.313306839E0
6.599252510E1,5.236268114E1,4.927364783E0,1.187192831E0,1.071044322E0,6.886647122E1,4.774970061E0,3.320270765E0
6.699252498E1,5.236268261E1,4.927390439E0,1.551586918E0,1.104356053E0,7.081954961E1,4.770768191E0,3.326305442E0
6.799252534E1,5.236268637E1,4.927407512E0,1.464455744E0,9.488458927E-1,6.819746344E1,4.769456689E0,3.328185681E0
6.899252558E1,5.236269159E1,4.927430673E0,2.332045187E0,1.083452392E0,6.708383770E1,4.767738144E0,3.330647088E0
6.999252510E1,5.236269458E1,4.927449498E0,2.304930679E0,1.063645962E0,7.196236348E1,4.764256330E0,3.335625677E0
7.099252510E1,5.236270016E1,4.927455506E0,1.513318164E0,1.002963131E0,7.264240110E1,4.769283704E0,3.328433563E0
7.199252582E1,5.236270464E1,4.927471869E0,2.118121772E0,1.018678508E0,6.946061319E1,4.770238625E0,3.327064846E0
7.299252594E1,5.236271664E1,4.927480522E0,2.584047073E0,1.083342522E0,6.125938088E1,4.769537449E0,3.328069944E0
7.399252534E1,5.236272806E1,4.927505376E0,2.190155733E0,1.387397141E0,5.878073392E1,4.768697534E0,3.329273324E0
7.499252450E1,5.236273497E1,4.927527916E0,2.334327647E0,1.308845007E0,6.026390091E1,4.771417871E0,3.325373443E0
7.599252629E1,5.236274104E1,4.927533358E0,2.493490699E0,1.057401634E0,5.930581980E1,4.779135554E0,3.314272226E0
7.699252582E1,5.236274668E1,4.927551321E0,2.652398482E0,1.027555413E0,6.365381411E1,4.766256984E0,3.332766328E0
7.799252498E1,5.236275012E1,4.927552248E0,1.742790655E0,6.760147919E-1,6.971154125E1,4.763280985E0,3.337018323E0
7.899252534E1,5.236275928E1,4.927558987E0,1.980247208E0,7.588652742E-1,6.167041851E1,4.763507061E0,3.336695597E0
7.999252534E1,5.236276608E1,4.927560225E0,2.103270511E0,6.709767436E-1,5.514215575E1,4.760095021E0,3.341561376E0
8.099252582E1,5.236277705E1,4.927582124E0,2.245743408E0,9.653332887E-1,5.322917377E1,4.755348939E0,3.348312038E0
8.199252474E1,5.236278320E1,4.927605532E0,1.911856452E0,1.138070159E0,5.625064916E1,4.759289679E0,3.342708301E0
8.299252594E1,5.236279722E1,4.927629149E0,1.901280077E0,1.529468272E0,5.137247997E1,4.776436309E0,3.318161121E0
8.399252415E1,5.236279082E1,4.927640689E0,1.731277560E0,1.089045210E0,6.781723263E1,4.762837739E0,3.337650926E0
8.499252546E1,5.236279457E1,4.927651180E0,2.696025823E0,9.202152047E-1,6.581800443E1,4.770351799E0,3.326902576E0
8.599252558E1,5.236280052E1,4.927668649E0,2.031446063E0,1.010937385E0,6.088415962E1,4.778431478E0,3.315287264E0
8.699252641E1,5.236280796E1,4.927694579E0,1.758859664E0,1.148262518E0,5.905334531E1,4.785352847E0,3.305288968E0
8.799252534E1,5.236281259E1,4.927719272E0,1.735606806E0,1.299694167E0,6.185236519E1,4.790147996E0,3.298335824E0
8.899252570E1,5.236281240E1,4.927733060E0,1.373796214E0,1.090570126E0,6.916051315E1,4.786219320E0,3.304034149E0
8.999252534E1,5.236281357E1,4.927750734E0,2.373244140E0,1.081508821E0,7.209896061E1,4.789739775E0,3.298928601E0
9.099252534E1,5.236281008E1,4.927781747E0,2.603821720E0,1.178737834E0,8.030997552E1,4.792958461E0,3.294250480E0
9.199252605E1,5.236281669E1,4.927796199E0,1.713098688E0,1.105181454E0,7.483927174E1,4.793958893E0,3.292794431E0
9.299252570E1,5.236282237E1,4.927816468E0,2.378683623E0,1.105851673E0,7.365324293E1,4.795641870E0,3.290342852E0
9.399252629E1,5.236283158E1,4.927841371E0,2.407173352E0,1.282758040E0,6.981312277E1,4.796550329E0,3.289018390E0
9.499252510E1,5.236283696E1,4.927857144E0,2.250600523E0,1.198058155E0,7.054414267E1,4.799715741E0,3.284397333E0
9.599252522E1,5.236284231E1,4.927877710E0,2.498235825E0,1.453227851E0,6.776021427E1,4.795193474E0,3.290996290E0
9.699252498E1,5.236284798E1,4.927894604E0,2.195602614E0,1.182982448E0,6.663102952E1,4.796440727E0,3.289178224E0
9.799252629E1,5.236285337E1,4.927905361E0,1.806049785E0,1.053849420E0,6.082335614E1,4.803823027E0,3.278387005E0
9.899252498E1,5.236285721E1,4.927926438E0,2.246687229E0,1.193026644E0,6.468557568E1,4.813535929E0,3.264109204E0
