"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718892841007000E9,"2024-06-20 16:14:01.007 UTC+02:00"
"PAUSE",4.704746354583331E2,1.718893311482000E9,"2024-06-20 16:21:51.482 UTC+02:00"
