"Time (s)","Distance (cm)"
9.818128500E-2,5.000000000E0
1.148592039E0,0.000000000E0
6.048652496E0,5.000000000E0
6.648497847E0,0.000000000E0
1.034850054E1,5.000000000E0
1.054858175E1,0.000000000E0
1.254848360E1,5.000000000E0
1.274849348E1,0.000000000E0
1.414848892E1,5.000000000E0
1.434849832E1,0.000000000E0
1.544850675E1,5.000000000E0
1.564848756E1,0.000000000E0
1.764848831E1,5.000000000E0
1.784849662E1,0.000000000E0
1.884841979E1,5.000000000E0
1.904848255E1,0.000000000E0
2.114864244E1,5.000000000E0
2.134853035E1,0.000000000E0
2.234859774E1,5.000000000E0
2.254855593E1,0.000000000E0
2.374849406E1,5.000000000E0
2.394850732E1,0.000000000E0
2.454848112E1,5.000000000E0
2.474849466E1,0.000000000E0
2.684854880E1,5.000000000E0
2.704848570E1,0.000000000E0
2.804851935E1,5.000000000E0
2.824849319E1,0.000000000E0
2.924871623E1,5.000000000E0
2.944850606E1,0.000000000E0
3.024849340E1,5.000000000E0
3.664864237E1,0.000000000E0
3.684851753E1,5.000000000E0
4.724849564E1,0.000000000E0
4.744850545E1,5.000000000E0
5.904863775E1,0.000000000E0
5.944850514E1,5.000000000E0
6.164849532E1,0.000000000E0
6.184850172E1,5.000000000E0
8.264867417E1,0.000000000E0
8.304848170E1,5.000000000E0
9.554848269E1,0.000000000E0
9.594850462E1,5.000000000E0
1.417485260E2,0.000000000E0
1.419485054E2,5.000000000E0
3.066484867E2,0.000000000E0
3.073484744E2,5.000000000E0
3.075485761E2,0.000000000E0
3.081484879E2,5.000000000E0
3.688485073E2,0.000000000E0
3.696484879E2,5.000000000E0
3.707484943E2,0.000000000E0
3.713485037E2,5.000000000E0
