"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.101175260E-1,5.233503230E1,4.946391200E0,NaN,NaN,NaN,6.000000000E2,0.000000000E0
2.101175260E-1,5.233503230E1,4.946391200E0,NaN,NaN,NaN,6.000000000E2,0.000000000E0
1.911117526E0,5.233331833E1,4.949711667E0,1.518213717E0,1.140624404E0,2.837300110E2,4.000000000E0,1.200000000E1
2.411117526E0,5.233334167E1,4.949676667E0,1.418226918E0,8.070844412E-1,2.837699890E2,3.200000048E0,1.200000000E1
2.911117526E0,5.233335667E1,4.949675000E0,1.318247320E0,7.118608356E-1,3.015799866E2,3.099999905E0,1.300000000E1
3.411117526E0,5.233337000E1,4.949670000E0,1.318263444E0,6.593591571E-1,3.082099915E2,3.000000000E0,1.360000038E1
4.411117526E0,5.233338667E1,4.949658333E0,1.218280499E0,7.916427851E-1,3.179899902E2,2.900000095E0,1.389999962E1
5.411117526E0,5.233342000E1,4.949641667E0,1.118318423E0,8.951019645E-1,3.056499939E2,2.500000000E0,1.310000038E1
6.411117526E0,5.233342333E1,4.949626667E0,1.018314588E0,7.525238991E-1,2.742300110E2,2.400000095E0,1.400000000E1
7.411117526E0,5.233342833E1,4.949620000E0,1.018317894E0,5.945041776E-1,2.784200134E2,2.400000095E0,1.480000019E1
8.411117526E0,5.233343833E1,4.949616667E0,1.018330224E0,7.134050131E-1,2.969500122E2,2.200000048E0,1.280000019E1
9.411117526E0,5.233344667E1,4.949603333E0,1.018334461E0,8.230408430E-1,3.057099915E2,2.200000048E0,1.300000000E1
1.041111753E1,5.233344833E1,4.949593333E0,1.118331114E0,9.244410992E-1,3.012600098E2,2.200000048E0,1.319999981E1
1.141111753E1,5.233344667E1,4.949585000E0,1.118323974E0,8.405413628E-1,2.890700073E2,2.200000048E0,1.339999962E1
1.241111753E1,5.233345500E1,4.949570000E0,1.018327258E0,8.848075271E-1,2.897999878E2,2.099999905E0,1.030000019E1
1.341111753E1,5.233345833E1,4.949560000E0,1.018326284E0,8.081138730E-1,2.910100098E2,2.000000000E0,1.060000038E1
1.441111753E1,5.233346167E1,4.949555000E0,9.183281693E-1,7.298761010E-1,2.929100037E2,2.000000000E0,1.100000000E1
1.541111753E1,5.233347167E1,4.949541667E0,9.183347794E-1,7.597299814E-1,2.931199951E2,1.899999976E0,1.050000000E1
1.591111753E1,5.233348000E1,4.949528333E0,7.183390166E-1,7.689949870E-1,2.961799927E2,1.899999976E0,1.039999962E1
1.641111753E1,5.233348333E1,4.949518333E0,6.183380419E-1,8.343647122E-1,3.050000000E2,1.899999976E0,1.039999962E1
1.691111753E1,5.233348833E1,4.949508333E0,5.183394401E-1,7.864955664E-1,3.050000000E2,1.799999952E0,1.050000000E1
1.741111753E1,5.233349333E1,4.949495000E0,5.183389315E-1,8.189230561E-1,3.050000000E2,1.799999952E0,1.069999981E1
1.841111753E1,5.233350000E1,4.949481667E0,4.183407957E-1,7.684803009E-1,3.050000000E2,1.799999952E0,1.100000000E1
1.941111753E1,5.233350500E1,4.949470000E0,4.183412404E-1,7.762011290E-1,3.050000000E2,1.700000048E0,1.150000000E1
2.041111753E1,5.233351167E1,4.949451667E0,2.183402444E-1,7.566416860E-1,3.050000000E2,1.799999952E0,1.219999981E1
2.141111753E1,5.233351833E1,4.949436667E0,1.183411551E-1,7.406852841E-1,3.060000000E2,1.799999952E0,1.289999962E1
2.241111753E1,5.233352500E1,4.949421667E0,1.183420657E-1,7.309055328E-1,3.060000000E2,1.799999952E0,1.350000000E1
2.341111753E1,5.233353333E1,4.949406667E0,1.183453491E-1,7.206110954E-1,3.060000000E2,1.799999952E0,1.380000019E1
2.441111753E1,5.233354167E1,4.949385000E0,1.183448189E-1,7.190669179E-1,3.060000000E2,1.799999952E0,1.430000019E1
2.541111753E1,5.233355000E1,4.949368333E0,2.183471487E-1,7.159786224E-1,3.060000000E2,1.799999952E0,1.489999962E1
2.641111753E1,5.233356167E1,4.949351667E0,3.183542241E-1,7.170080543E-1,3.095299988E2,1.799999952E0,1.530000019E1
