"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.728416666E-3,1.672905833E-1,-1.353737861E-1,-1.676276773E-1
1.869441667E-2,7.835659385E-2,-1.405425221E-1,-1.877140999E-1
2.866041666E-2,2.152819932E-2,-1.467538178E-1,-2.253128737E-1
3.862541667E-2,3.316165134E-2,-1.790913045E-1,-2.621549070E-1
4.859141667E-2,7.351253182E-2,-1.859524101E-1,-2.793077826E-1
5.855741667E-2,1.077236384E-1,-1.817445010E-1,-2.720762193E-1
6.852341667E-2,1.326335073E-1,-1.788014323E-1,-2.458216995E-1
7.848841666E-2,1.757616401E-1,-1.830592602E-1,-2.110366374E-1
8.845441667E-2,3.644271791E-1,-2.653322816E-1,-2.191254646E-1
9.842041667E-2,4.578552842E-1,-1.511300653E-1,-2.547867000E-1
1.083864167E-1,3.609122038E-1,9.128576145E-3,-2.023091167E-1
1.183514167E-1,2.722786963E-1,8.326584846E-2,-1.272778809E-1
1.283174167E-1,2.583889961E-1,6.106787175E-2,-1.013906077E-1
1.382834167E-1,2.376265973E-1,4.011785612E-3,-9.630629420E-2
1.482484167E-1,1.535625905E-1,7.651688159E-2,-3.341760486E-2
1.582144167E-1,2.040642053E-1,1.523974985E-1,-1.410726737E-2
1.681804167E-1,2.776015401E-1,1.859567910E-1,-2.967717312E-2
1.781464167E-1,3.342916965E-1,2.143846750E-1,-4.078926519E-2
1.881114167E-1,4.133297801E-1,2.355152518E-1,-4.900964350E-2
1.980774167E-1,5.583741665E-1,1.803440154E-1,-6.418943405E-2
2.080434167E-1,7.096177340E-1,1.260376275E-1,-1.848463416E-1
2.180084167E-1,8.556419611E-1,-7.105053961E-2,-5.420670509E-1
2.279744167E-1,8.537692428E-1,-1.666976959E-1,-8.571975231E-1
2.379404167E-1,7.573398352E-1,-9.092148393E-2,-8.516770601E-1
2.479064167E-1,5.939492583E-1,-2.002600580E-2,-7.111719251E-1
2.578714167E-1,3.065483868E-1,1.985403150E-2,-5.779603124E-1
2.678374167E-1,5.176935717E-2,4.215321317E-2,-4.996087849E-1
2.778034167E-1,-3.921651840E-2,1.321865618E-1,-3.687849939E-1
2.877694167E-1,-6.456173491E-3,1.811991036E-1,-1.457250416E-1
2.977344167E-1,6.931393594E-2,2.685324848E-1,1.274596304E-1
3.077004167E-1,1.970601827E-1,4.329967797E-1,3.600688875E-1
3.176664167E-1,3.892423809E-1,6.053160429E-1,5.310428739E-1
3.276314167E-1,6.339874268E-1,8.131397963E-1,6.378209591E-1
3.375974167E-1,8.349192142E-1,1.142627120E0,7.069141269E-1
3.475634167E-1,9.174798727E-1,1.626638889E0,7.557677031E-1
3.575294167E-1,9.025020599E-1,2.370184422E0,8.625649214E-1
3.674944167E-1,7.159210443E-1,3.268666029E0,1.021449924E0
3.774604167E-1,4.842988849E-1,4.411505699E0,8.429217339E-1
3.874264167E-1,4.187262654E-1,5.317007065E0,5.548310876E-1
3.973914167E-1,5.250202417E-1,5.803629398E0,4.156860709E-1
4.073574167E-1,-1.254033446E-1,5.127060890E0,-4.939605296E-1
4.173234167E-1,-9.318846464E-1,3.940609694E0,-1.002643347E0
4.272894167E-1,-1.541976571E0,3.098644733E0,-1.743775487E0
4.372544167E-1,-1.338161469E0,2.517030239E0,-2.022701025E0
4.472204167E-1,-7.603050470E-1,2.135966778E0,-2.079555988E0
4.571864167E-1,-4.439420402E-1,1.978675961E0,-1.743042111E0
4.671524167E-1,-3.442857563E-1,2.097578049E0,-1.109463573E0
4.771174167E-1,-3.854588866E-1,2.264612675E0,-5.783524513E-1
4.870834167E-1,-4.448322058E-1,2.433251143E0,-3.511371613E-1
4.970494167E-1,-3.932382762E-1,2.619833469E0,-3.169856369E-1
5.070144167E-1,-1.461432874E-1,2.729524136E0,-4.455145597E-1
5.169804167E-1,2.555509210E-1,2.484436989E0,-6.703430414E-1
5.269464167E-1,6.644744873E-1,2.010371447E0,-8.917329311E-1
5.369124167E-1,9.026175737E-1,1.550676942E0,-1.011883140E0
5.468774167E-1,9.871617556E-1,1.372088313E0,-1.023203731E0
5.568434167E-1,1.002554536E0,1.122010946E0,-8.219051361E-1
5.668094167E-1,1.461928487E0,6.186579466E-1,-4.337419271E-1
5.767754167E-1,1.436382413E0,8.948446512E-1,-4.058355391E-1
5.867404167E-1,1.106246829E0,9.101557136E-1,-6.072841883E-1
5.967064167E-1,7.127212286E-1,9.248128533E-1,-9.659034610E-1
6.066724167E-1,3.133065104E-1,9.186382890E-1,-1.312582850E0
6.166374167E-1,6.010093540E-2,8.151855469E-1,-1.463973880E0
6.266034167E-1,-9.374828637E-2,8.233491778E-1,-1.356652260E0
6.365694167E-1,-1.515492201E-1,8.654686213E-1,-1.173390150E0
6.465354167E-1,-2.353884578E-1,8.304533958E-1,-1.016475916E0
6.565004167E-1,-3.130066693E-1,7.714470029E-1,-9.298961759E-1
6.664664167E-1,-3.966149986E-1,6.730663776E-1,-8.628460169E-1
6.764324167E-1,-5.305590034E-1,6.371742487E-1,-9.495152235E-1
6.863984167E-1,-6.585830450E-1,6.419380903E-1,-8.589296937E-1
6.963634167E-1,-7.060378790E-1,7.556505799E-1,-7.721563578E-1
7.063294167E-1,-6.865150332E-1,7.974305153E-1,-6.942945719E-1
7.162954167E-1,-6.282258034E-1,6.023902893E-1,-6.231876612E-1
7.262604167E-1,-6.851985455E-1,3.651146889E-1,-5.417646766E-1
7.362264167E-1,-9.662417769E-1,1.296614558E-1,-4.594753087E-1
7.461924167E-1,-1.486739874E0,-1.536885053E-1,-3.984966576E-1
7.561584167E-1,-2.295430899E0,-5.054213405E-1,-3.090650737E-1
7.661238333E-1,-2.938007116E0,-2.479525208E-1,-3.782675862E-1
7.760898333E-1,-3.264109612E0,-2.145067556E-3,-7.076602578E-1
7.860558333E-1,-3.241703272E0,3.696158901E-2,-1.242033482E0
7.960208333E-1,-2.961956978E0,2.732231617E-1,-1.663336754E0
8.059868333E-1,-2.839881420E0,4.821606576E-1,-1.864705324E0
8.159528333E-1,-2.268560648E0,2.081921101E-1,-2.018217325E0
8.259188333E-1,-1.952006340E0,3.261056840E-1,-2.057856083E0
8.358838333E-1,-1.770909190E0,4.149868712E-2,-2.331311703E0
8.458498333E-1,-1.681168675E0,-2.319269925E-1,-2.740710497E0
