"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.728416666E-3,2.584925401E-1,3.640184104E-2,-1.838176906E0
1.869441667E-2,2.595834844E-1,-7.886782944E-2,-1.940183921E0
2.866041666E-2,3.575515361E-1,-1.755854541E-1,-1.981437782E0
3.862541667E-2,4.274842353E-1,-2.588074127E-1,-1.747836254E0
4.859141667E-2,3.844213924E-1,-2.039178452E-1,-1.527155319E0
5.855741667E-2,2.995388246E-1,4.950135827E-2,-1.413211212E0
6.852341667E-2,1.640282862E-1,4.021577516E-1,-1.330481881E0
7.848841666E-2,5.753689438E-2,7.473294166E-1,-1.152770965E0
8.845441667E-2,2.911167875E-2,9.812472787E-1,-4.520336241E-1
9.842041667E-2,1.159865391E-1,1.095427321E0,7.357843816E-2
1.083864167E-1,-2.527359563E-1,1.293367265E0,-1.097705396E0
1.183514167E-1,-6.410479398E-1,1.670817314E0,-1.205128103E0
1.283174167E-1,-6.516103502E-1,1.901603115E0,-5.614823914E-1
1.382834167E-1,-5.005965042E-1,1.792631773E0,-2.130509037E-1
1.482484167E-1,-8.333269022E-1,1.785537639E0,-2.669622320E-1
1.582144167E-1,-4.107138361E-1,1.744820553E0,4.281401467E-1
1.681804167E-1,6.740524024E-3,1.375190277E0,1.010007686E0
1.781464167E-1,-4.073300524E-1,8.806959271E-1,8.778682137E-1
1.881114167E-1,-1.924230963E-1,5.677432975E-1,1.499161189E0
1.980774167E-1,-8.450600713E-2,4.452526081E-1,2.156948977E0
2.080434167E-1,1.633590724E-1,4.564099726E-1,2.427491459E0
2.180084167E-1,1.699474811E0,-1.656791013E-1,2.758806392E0
2.279744167E-1,1.885626183E0,8.598038256E-2,2.422248260E0
2.379404167E-1,9.718126501E-1,1.908283852E0,1.672816477E0
2.479064167E-1,4.977943723E-1,2.870027450E0,1.356673899E0
2.578714167E-1,-5.201770753E-2,2.335405998E0,1.276833678E0
2.678374167E-1,-6.236438486E-1,1.383326093E0,1.772798603E0
2.778034167E-1,-8.062181872E-1,1.002132364E0,2.578628535E0
2.877694167E-1,-6.745095085E-1,8.118511024E-1,3.004780628E0
2.977344167E-1,-5.613983376E-1,4.420547658E-1,2.724062237E0
