"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.193478333E-1,-1.598570755E1,-3.649111633E0,3.681893463E0
9.293138333E-1,-1.359413086E1,-4.532424774E0,3.912114716E0
9.392788333E-1,-1.237671249E1,-5.506299591E0,4.364773407E0
9.492448333E-1,-1.230321533E1,-5.969735870E0,4.517455902E0
9.592108333E-1,-1.263971558E1,-6.143225098E0,4.309388580E0
9.691768333E-1,-1.274584488E1,-6.272556152E0,4.074227600E0
9.791418333E-1,-1.240964401E1,-6.337371368E0,3.821253662E0
9.891078333E-1,-1.193019104E1,-6.534960480E0,3.682791595E0
9.990738333E-1,-1.139894577E1,-6.813381500E0,2.931803284E0
1.009039833E0,-1.050799850E1,-6.803801422E0,1.932631073E0
1.019004833E0,-9.626331940E0,-6.939419403E0,2.774630127E0
1.028970833E0,-9.395212555E0,-6.720125427E0,3.792214050E0
1.038936833E0,-9.288185120E0,-6.243516541E0,3.939956818E0
1.048901833E0,-9.003926239E0,-5.651797028E0,3.821702728E0
1.058867833E0,-8.895850983E0,-5.083428955E0,3.966002655E0
1.068833833E0,-9.161997528E0,-4.988825684E0,4.337230682E0
1.078799833E0,-9.577383728E0,-4.700525208E0,4.674179993E0
1.088764833E0,-1.020607635E1,-4.243525543E0,4.681963806E0
1.098730833E0,-1.118653748E1,-3.473227386E0,4.535418549E0
1.108696833E0,-1.167242706E1,-2.379751282E0,4.233945465E0
1.118661833E0,-1.186357956E1,-2.142943726E0,4.070934448E0
1.128627833E0,-1.220965988E1,-1.971699829E0,4.469555511E0
1.138593833E0,-1.204335571E1,-1.143172760E0,4.916975098E0
1.148559833E0,-1.142948227E1,-3.748205566E-1,4.932842102E0
1.158524833E0,-1.085452789E1,-1.055305481E-1,5.214705963E0
1.168490833E0,-1.033166519E1,1.013392639E-1,5.395529938E0
1.178456833E0,-9.774074707E0,7.602690125E-1,5.157824249E0
1.188422833E0,-8.943302307E0,6.800358582E-1,4.775968323E0
1.198387833E0,-8.150401154E0,2.276765442E-1,3.595223694E0
1.208353833E0,-8.087531891E0,-2.125579834E-1,3.261118469E0
1.218319833E0,-7.659122772E0,-9.758207703E-1,3.575764160E0
1.228284833E0,-8.124055939E0,-1.460512848E0,3.979923706E0
1.238250833E0,-9.755962372E0,-1.163680115E0,4.346810760E0
1.248216833E0,-1.118593872E1,-7.583230591E-1,4.248465271E0
1.258182833E0,-1.175445648E1,-1.127754822E0,4.329147491E0
1.268147833E0,-1.121093674E1,-1.983674927E0,4.397106171E0
1.278113833E0,-9.444011078E0,-3.291954346E0,4.525239716E0
1.288079833E0,-7.158563690E0,-4.684358826E0,4.217928772E0
1.298044833E0,-5.347479858E0,-5.949527893E0,3.441343689E0
1.308010833E0,-5.010231171E0,-6.833739166E0,2.665057983E0
1.317976833E0,-6.151757355E0,-6.601571960E0,1.731748810E0
1.327942833E0,-7.329807587E0,-6.224506073E0,1.311722260E0
1.337907833E0,-8.157735901E0,-6.395899658E0,1.216220856E0
1.347873833E0,-8.756191406E0,-7.130422211E0,1.412313080E0
1.357839833E0,-8.574469299E0,-8.541687469E0,1.732646942E0
1.367805833E0,-7.879165192E0,-9.256750488E0,2.094294891E0
1.377770833E0,-6.301296387E0,-5.815406799E0,1.375339966E0
1.387736833E0,-6.184239807E0,-3.039728851E0,2.357297974E0
1.397702833E0,-7.338489532E0,-5.686973877E0,6.976242828E0
1.407667833E0,-7.884104919E0,-9.019344177E0,1.111124405E1
1.417633833E0,-8.741072845E0,-1.176598251E1,1.333007996E1
1.427599833E0,-1.009859985E1,-1.254645950E1,1.244976059E1
1.437565833E0,-1.161270126E1,-1.008692413E1,7.093000031E0
1.447530833E0,-1.248194366E1,-8.721463623E0,2.349065094E0
1.457496833E0,-1.231548981E1,-9.902956696E0,1.224603424E0
1.467462833E0,-1.184142563E1,-1.133757339E1,8.563691711E-1
1.477427833E0,-1.225351868E1,-1.100975510E1,2.576142883E-1
1.487393833E0,-1.332633774E1,-1.052386551E1,1.709445190E-1
1.497359833E0,-1.332049988E1,-1.063807800E1,6.487509155E-1
1.507325833E0,-1.206146805E1,-1.029693741E1,-9.699829102E-2
1.517290833E0,-9.932894440E0,-9.904154205E0,-1.044827271E0
1.527256833E0,-8.641529846E0,-8.573271790E0,-1.514849854E0
1.537222833E0,-9.296268311E0,-6.794371033E0,-1.221010895E0
1.547187833E0,-8.389454041E0,-7.989934845E0,-7.984396362E-1
1.557153833E0,-9.425449677E0,-5.851781158E0,-6.509962463E-1
1.567119833E0,-9.954898682E0,-3.851640472E0,8.023315430E-2
1.577085833E0,-8.511749725E0,-5.255271606E0,9.711804199E-1
1.587050833E0,-7.069349213E0,-5.395230560E0,3.489244080E-1
1.597016833E0,-6.939269714E0,-3.875141602E0,-1.132844238E0
1.606982833E0,-7.477550354E0,-2.801574097E0,-1.859882355E0
1.616948833E0,-7.555987244E0,-3.157683563E0,-1.980082397E0
1.626913833E0,-7.267686768E0,-2.814746704E0,-2.251318359E0
1.636879833E0,-7.210355988E0,-1.961221619E0,-1.860331421E0
1.646845833E0,-6.620133362E0,-2.532733154E0,-1.496587830E0
1.656810833E0,-6.757846985E0,-2.163451080E0,-5.078938293E-1
1.666776833E0,-6.563101959E0,-2.505639496E0,1.847158813E-1
1.676742833E0,-6.410419464E0,-1.899100800E0,8.777746582E-1
1.686708833E0,-5.974525909E0,-1.313069458E0,4.100872192E0
1.696673833E0,-5.304668884E0,-6.134243774E-1,7.168143768E0
1.706639833E0,-5.169200592E0,-2.302212524E-1,4.444856873E0
1.716605833E0,-3.783831482E0,-6.923103333E-1,3.606899414E0
1.726570833E0,-2.994672546E0,-2.248025208E0,3.477718048E0
1.736536833E0,-2.822231140E0,-2.903362427E0,2.715353394E0
1.746502833E0,-3.510649567E0,-2.213447113E0,2.541115723E0
1.756468833E0,1.432521057E0,-1.968107300E0,1.033615585E1
1.766433583E0,-5.259911957E0,3.468287659E-1,1.912872162E0
1.776399583E0,-7.713609467E0,8.681945801E-1,5.471122742E-1
1.786365583E0,-8.522826691E0,-2.349663849E0,1.730251923E0
1.796330583E0,-7.850724335E0,-4.152814178E0,3.806434479E0
1.806296583E0,-6.770720215E0,-2.160606995E0,4.143683167E0
1.816262583E0,-4.796475677E0,-2.853815460E0,5.959257660E0
1.826228583E0,-4.339925079E0,-2.666554871E0,3.795507202E0
1.836193583E0,-5.599555664E0,-2.450703735E0,3.754193115E-1
1.846159583E0,-6.169869690E0,-3.982618103E0,1.694176941E0
1.856125583E0,-6.298003235E0,-5.417683868E0,3.885619812E0
1.866090583E0,-6.206693115E0,-6.032156067E0,4.819078674E0
1.876056583E0,-6.277046814E0,-5.819149017E0,6.171665955E0
1.886022583E0,-6.650669861E0,-6.168073425E0,7.249275055E0
1.895988583E0,-8.873846741E0,-5.626349945E0,5.892047424E0
1.905953583E0,-1.020293289E1,-5.403762817E0,4.076173553E0
1.915919583E0,-1.157003998E1,-5.748196564E0,4.389322357E0
1.925885583E0,-1.553544388E1,-5.403463440E0,9.685458984E0
1.935850583E0,-1.805530380E1,-5.292993164E0,1.523172546E1
1.945816583E0,-1.096215408E1,-5.004243622E0,6.628515930E0
1.955782583E0,-2.864143982E0,-4.190236359E0,-3.378474426E0
1.965748583E0,-8.776399384E0,-7.125632172E0,-1.229393463E0
1.975713583E0,-2.744812134E1,-9.454938354E0,3.599714355E0
1.985679583E0,-1.843251938E1,-8.013136597E0,-9.635462952E-1
1.995645583E0,-4.694837036E0,-7.224576416E0,-3.206033020E0
