"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.622153282E-1,5.237215696E1,4.897764623E0,1.196883774E1,1.169999957E0,2.239453125E2,8.221749968E0,8.000000000E0
1.562212944E0,5.237215214E1,4.897758588E0,1.114864731E1,1.169999957E0,2.267578125E2,7.285256352E0,8.000000000E0
2.562210679E0,5.237214284E1,4.897751966E0,1.091549301E1,1.169999957E0,2.021484375E2,7.458362636E0,8.000000000E0
3.562207580E0,5.237213190E1,4.897749200E0,1.206624985E1,1.409999967E0,1.933593750E2,7.854576604E0,8.000000000E0
4.562318683E0,5.237211899E1,4.897747273E0,1.199825668E1,1.590000033E0,1.887890625E2,8.655748783E0,8.000000000E0
5.562321305E0,5.237210407E1,4.897746686E0,1.125344467E1,1.590000033E0,1.835156250E2,9.182917184E0,8.000000000E0
6.562319398E0,5.237208853E1,4.897741657E0,1.102669907E1,1.639999986E0,1.849218750E2,9.772433748E0,8.000000000E0
7.562318444E0,5.237206933E1,4.897735119E0,1.081142807E1,2.049999952E0,1.863281250E2,1.061916934E1,8.000000000E0
8.562315822E0,5.237206158E1,4.897737633E0,1.054330063E1,2.049999952E0,1.810546875E2,9.172564576E0,8.000000000E0
9.562312365E0,5.237205429E1,4.897745512E0,1.112960434E1,1.190000057E0,1.683984375E2,8.975811709E0,8.000000000E0
1.056231713E1,5.237204381E1,4.897749026E0,1.112960452E1,1.190000057E0,1.683984403E2,8.975811709E0,8.000000000E0
1.156232214E1,5.237203282E1,4.897760177E0,1.137191409E1,1.190000057E0,1.571484429E2,9.159826123E0,8.000000000E0
1.256232309E1,5.237201513E1,4.897761577E0,1.089651134E1,1.570000052E0,1.687500036E2,1.002815488E1,8.000000000E0
1.356232905E1,5.237199539E1,4.897731545E0,1.074691425E1,1.850000024E0,1.873828097E2,1.090237771E1,8.000000000E0
1.456232762E1,5.237198557E1,4.897706346E0,1.099221446E1,1.570000052E0,1.982812443E2,1.054701966E1,8.000000000E0
1.556232381E1,5.237197287E1,4.897674538E0,1.095687514E1,1.700000048E0,2.077734283E2,1.028387394E1,8.000000000E0
1.656233037E1,5.237195394E1,4.897708796E0,9.594448676E0,2.569999933E0,1.624218840E2,9.821952244E0,8.000000000E0
1.756233597E1,5.237195226E1,4.897730459E0,1.104763471E1,2.569999933E0,1.357031459E2,9.832142564E0,8.000000000E0
1.856233764E1,5.237197284E1,4.897720133E0,1.121676274E1,1.259999990E0,1.068750140E2,8.974880815E0,8.000000000E0
1.956233859E1,5.237197965E1,4.897709833E0,1.232204828E1,5.899999738E-1,1.079296940E2,9.537328449E0,8.000000000E0
2.056233943E1,5.237198510E1,4.897717107E0,1.144198237E1,6.800000072E-1,9.070313291E1,9.249105427E0,8.000000000E0
2.156234062E1,5.237199006E1,4.897724447E0,1.172750483E1,6.800000072E-1,9.492188288E1,9.335422116E0,8.000000000E0
2.256234109E1,5.237198634E1,4.897731213E0,1.181142817E1,6.800000072E-1,1.093359450E2,8.336867975E0,8.000000000E0
2.356234133E1,5.237197604E1,4.897739813E0,1.142666255E1,6.800000072E-1,1.286718812E2,8.632711770E0,8.000000000E0
2.456234145E1,5.237197298E1,4.897741321E0,1.143276603E1,6.299999952E-1,NaN,9.443290347E0,8.000000000E0
2.556234086E1,5.237195882E1,4.897771163E0,1.042660158E1,1.129999995E0,1.328906346E2,1.215415849E1,8.000000000E0
2.656234086E1,5.237195533E1,4.897800016E0,1.054757326E1,1.129999995E0,1.170703242E2,1.527952242E1,1.200000000E1
2.756234050E1,5.237195483E1,4.897837436E0,1.045400643E1,1.440000057E0,1.058203286E2,1.867557818E1,1.200000000E1
2.856233883E1,5.237195613E1,4.897855291E0,9.867702715E0,1.440000057E0,9.632814164E1,1.582306843E1,1.200000000E1
2.956233823E1,5.237196081E1,4.897867893E0,8.886989772E0,1.190000057E0,8.648438881E1,1.767233237E1,1.200000000E1
3.056233776E1,5.237187694E1,4.897801371E0,2.319369184E0,6.340358333E-1,NaN,1.698668474E1,1.108503408E0
3.156233597E1,5.237190630E1,4.897839477E0,2.735651694E0,8.291740333E-1,NaN,1.106915465E1,1.121847231E0
3.256233466E1,5.237188737E1,4.897889450E0,3.121979565E0,1.320746890E0,1.309868748E2,9.959522993E0,1.150735890E0
3.356233358E1,5.237187661E1,4.897929974E0,4.401783272E0,1.197748357E0,1.323330907E2,7.748036388E0,1.423591050E0
3.456233275E1,5.237188511E1,4.897928275E0,2.670692571E0,1.258401536E0,1.283901101E2,7.112177972E0,1.357301320E0
3.556233084E1,5.237187756E1,4.897949907E0,1.134800821E0,1.288704766E0,1.271006378E2,7.606549223E0,1.378196024E0
3.656232882E1,5.237187209E1,4.897952791E0,1.272199103E0,9.037585479E-1,1.327673692E2,8.403696715E0,1.453096367E0
3.756232750E1,5.237187387E1,4.897975638E0,1.928501717E0,9.777807860E-1,1.223095770E2,6.900439753E0,1.457136179E0
3.856232607E1,5.237188003E1,4.898009179E0,1.544363975E0,1.025524426E0,1.078869224E2,6.083407205E0,1.594468590E0
3.956232393E1,5.237188524E1,4.898023909E0,1.621377699E0,1.039583032E0,1.036602741E2,5.698528007E0,1.959127853E0
4.056232190E1,5.237187229E1,4.898045242E0,3.344630804E0,1.089299663E0,1.087641931E2,6.005220580E0,1.722675027E0
4.156231976E1,5.237186533E1,4.898064276E0,2.476211013E0,1.183518555E0,1.103523946E2,6.083310515E0,1.588594290E0
4.256231785E1,5.237185146E1,4.898075974E0,3.459351671E0,1.192005277E0,1.175883732E2,6.230548952E0,1.474039829E0
4.356231523E1,5.237181978E1,4.898098623E0,2.481622357E0,1.466283888E0,1.270920727E2,6.241500174E0,1.474975154E0
4.456231356E1,5.237180638E1,4.898115349E0,3.415613775E0,1.438730894E0,1.270275789E2,6.449981380E0,1.470065908E0
4.556231070E1,5.237180182E1,4.898129610E0,2.597554518E0,1.190243251E0,1.252352206E2,6.858945344E0,1.509205843E0
4.656230903E1,5.237179089E1,4.898155727E0,2.776829606E0,1.270623160E0,1.236208767E2,7.231026654E0,1.481235335E0
4.756230605E1,5.237178717E1,4.898161926E0,2.902124177E0,1.048018292E0,1.248792600E2,7.957866354E0,1.537439879E0
4.856230390E1,5.237179047E1,4.898191418E0,2.869224430E0,1.281276921E0,1.164801473E2,8.283065872E0,1.576993163E0
4.956230164E1,5.237176098E1,4.898196265E0,2.499146434E0,1.336456415E0,1.199033253E2,6.868745144E0,1.551303137E0
5.056229913E1,5.237176995E1,4.898208561E0,2.689821097E0,1.112357208E0,1.177597709E2,6.462290969E0,1.502494640E0
5.156229711E1,5.237178679E1,4.898231537E0,2.709318998E0,8.516788509E-1,1.003481010E2,6.138121358E0,1.611205178E0
5.256229377E1,5.237178042E1,4.898248533E0,2.472012761E0,8.482004657E-1,1.043251907E2,6.167540305E0,1.615002392E0
5.356229174E1,5.237177982E1,4.898259706E0,2.614231265E0,7.231351855E-1,1.032884421E2,6.372305880E0,1.485074420E0
5.456228936E1,5.237178256E1,4.898268980E0,3.710561774E0,6.115250398E-1,9.939675093E1,6.909781495E0,1.389711721E0
5.556228650E1,5.237178067E1,4.898282751E0,3.979660786E0,6.742025088E-1,1.008958958E2,7.316851490E0,1.382256012E0
5.656228328E1,5.237177294E1,4.898306794E0,3.627455136E0,9.709219461E-1,1.041783301E2,7.407453194E0,1.403448285E0
5.756228030E1,5.237177843E1,4.898331062E0,2.943291707E0,1.106647416E0,1.008219243E2,7.624080062E0,1.395312869E0
5.856227815E1,5.237177295E1,4.898348064E0,2.015112563E0,1.138181279E0,1.041724719E2,7.969477050E0,1.372144784E0
5.956227565E1,5.237176580E1,4.898359039E0,1.163468124E0,1.102357801E0,1.065958037E2,8.261436425E0,1.360190793E0
6.056227303E1,5.237174940E1,4.898370640E0,1.479378955E0,1.131866153E0,1.114515517E2,8.550778553E0,1.391848412E0
6.156226969E1,5.237175380E1,4.898408732E0,1.827017503E0,1.245943541E0,1.061726982E2,8.725157774E0,1.342957178E0
6.256226683E1,5.237175378E1,4.898432815E0,2.342079057E0,1.338805578E0,1.053826443E2,9.115430987E0,1.305102923E0
6.356226373E1,5.237174499E1,4.898457654E0,2.504525014E0,1.449818770E0,1.077014372E2,9.554732587E0,1.392391130E0
6.456226134E1,5.237173643E1,4.898477952E0,2.133231445E0,1.725852100E0,1.131093650E2,9.945664323E0,1.396771830E0
6.556225908E1,5.237172956E1,4.898506305E0,3.175651684E0,1.820076216E0,1.127068481E2,1.057794139E1,1.448434385E0
6.656225538E1,5.237171180E1,4.898506563E0,3.188789296E0,1.606921919E0,1.202623973E2,1.056129302E1,1.343742205E0
6.756225252E1,5.237171075E1,4.898548226E0,2.546944004E0,1.752698878E0,1.152404222E2,1.075579925E1,1.368006875E0
6.856225026E1,5.237169253E1,4.898547845E0,2.579781197E0,1.398607478E0,1.209140576E2,1.054062941E1,1.372655866E0
6.956224644E1,5.237168826E1,4.898560888E0,3.174796023E0,1.191068469E0,1.224614835E2,9.787961159E0,1.435174586E0
7.056224382E1,5.237168420E1,4.898582026E0,2.580360759E0,1.135970459E0,1.210610603E2,9.530376613E0,1.488302552E0
7.156224108E1,5.237166229E1,4.898620812E0,1.870639421E0,1.240163604E0,1.197031562E2,8.899633372E0,1.510520838E0
7.256223893E1,5.237165917E1,4.898638496E0,2.279201256E0,1.248357118E0,1.231888652E2,8.258198864E0,1.508821673E0
7.356223559E1,5.237164355E1,4.898652795E0,2.517786074E0,9.237077286E-1,1.208904997E2,8.041669304E0,1.498397179E0
7.456223333E1,5.237164792E1,4.898693824E0,2.251582983E0,1.149183078E0,1.136280897E2,8.166794823E0,1.481021435E0
7.556222951E1,5.237164381E1,4.898713030E0,2.275332616E0,1.226010028E0,1.127007246E2,8.504892864E0,1.458342044E0
7.656222606E1,5.237163898E1,4.898732639E0,2.262027122E0,1.328034701E0,1.142774952E2,8.482848015E0,1.486844663E0
7.756222355E1,5.237162961E1,4.898750404E0,2.666867817E0,1.400845704E0,1.161183773E2,8.783063346E0,1.507350054E0
7.856222034E1,5.237161770E1,4.898790815E0,2.423239861E0,1.526589969E0,1.147024520E2,9.199699370E0,1.442338607E0
7.956221795E1,5.237161943E1,4.898801353E0,2.386774025E0,1.402190269E0,1.226885546E2,9.394226175E0,1.432793481E0
8.056221437E1,5.237160911E1,4.898842963E0,2.564782350E0,1.520389783E0,1.205103097E2,9.543024899E0,1.464378794E0
8.156221187E1,5.237159717E1,4.898864235E0,3.100311189E0,1.483504215E0,1.233798046E2,9.727783297E0,1.460538640E0
8.256220853E1,5.237157970E1,4.898890401E0,4.800585101E0,1.539062932E0,1.251732872E2,9.822792977E0,1.384076074E0
8.356220579E1,5.237156439E1,4.898899655E0,5.044243063E0,1.387105265E0,1.333203934E2,9.749814878E0,1.362803393E0
8.456220305E1,5.237155155E1,4.898944962E0,4.212744344E0,1.580506085E0,1.307920911E2,9.647475840E0,1.360041924E0
8.556220031E1,5.237153103E1,4.899000621E0,2.018031603E0,1.357582129E0,1.318298530E2,8.590849286E0,1.355917503E0
8.656219673E1,5.237152828E1,4.899029071E0,7.748371419E-1,1.224012381E0,1.444723196E2,7.590195185E0,1.483719936E0
8.756219375E1,5.237149294E1,4.899035861E0,2.105984107E0,1.089183958E0,1.592427597E2,6.656240414E0,1.487757874E0
8.856219137E1,5.237149567E1,4.899018276E0,1.273007830E0,7.643294385E-1,1.719648848E2,6.209437000E0,1.470585396E0
8.956218779E1,5.237148381E1,4.899029554E0,1.794602213E0,7.193951860E-1,1.681511818E2,5.449169384E0,2.089860077E0
9.056218541E1,5.237147336E1,4.899030494E0,2.377817286E0,3.291091951E-1,1.671882031E2,5.330050802E0,2.327035772E0
9.156218219E1,5.237147371E1,4.899032860E0,1.987734600E0,1.580199901E-2,1.671882055E2,5.305642367E0,2.382162066E0
