Interval,LA_X,LA_Y,LA_Z,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Lat,Long,Height,V,Dir,Hor_Acc,Vert_Acc
79.75,1.1847833495070834,-0.3705517234416666,2.0087861599,5.42189311496,-8.32344730212,5.492234838964,-0.0743799743125,-0.7403623312666667,0.0022878457084583,52.36113585,4.93375841,-0.9857259225,0.9003850269,195.647746,4.751760503,3.353402624
80.0,-0.5479270603284,-0.9986112054112,-3.722103116288,3.7742094909,-9.42024649672,-1.1920371459392,-1.833536670156,-0.4398816897444,0.4082186604684,52.36113585,4.93375841,-0.9857259225,0.9003850269,195.647746,4.751760503,3.353402624
80.25,-0.274674276808,0.0376506893599999,2.798239008588,3.14627129516,-9.06328081088,0.514569946276,-1.1420902295472,0.2606801645376,-0.0236239877399999,52.36113585,4.93375841,-0.9857259225,0.9003850269,195.647746,4.751760503,3.353402624
83.75,-0.260212206234,0.563612321584,1.402557951412,3.45962966308,-8.45706544184,0.521000573736,-1.73231784348,-0.173015981534,0.1757803195832,52.36110115,4.933725123,-0.2254059631,0.909503477,223.2114975,4.757068813,3.3458681
84.25,-0.3269849063723999,1.645303152608,-5.825519968152,2.67847608026,-6.307930590800001,-1.4678296325280002,1.50582421624528,-0.9665092311736,0.2706658254587999,52.36110115,4.933725123,-0.2254059631,0.909503477,223.2114975,4.757068813,3.3458681
84.75,-0.596238252856,-0.494995409568,-3.0281632928348,3.3926230041600003,-8.92486664392,-1.077728851416,-1.539636454624,-0.5392746135624,0.1801275211476,52.36110308,4.933703941,-0.3722204491,0.9063166443,245.3675874,4.746391434,3.360997678
85.0,-0.330687094388,0.157724198346,2.2572405919908,3.22072047736,-8.81297731948,0.30364656386,-1.122633361541044,0.1305947655504,0.05200006301536,52.36110308,4.933703941,-0.3722204491,0.9063166443,245.3675874,4.746391434,3.360997678
85.25,1.2083055850852,-4.5243232932,-0.4026799196999999,4.723984423912,-13.34291726092,0.2226529909160001,2.300663766864,1.06874678249476,0.11753868046904,52.36110308,4.933703941,-0.3722204491,0.9063166443,245.3675874,4.746391434,3.360997678
85.75,1.38708312781488,-2.364155143764,-0.476663838892,5.66880765352,-10.2043639162,3.136134375236,-0.1872132846636,0.1547028641372,-0.18012275461386,52.36110166,4.933677959,-0.7973234318,1.037727042,254.0807949,4.74727733,3.359746268
86.0,-1.2621600668608002,-0.3502804006456,0.6672412089644,3.10784919436,-8.90245524912,1.46849425049264,-1.782495290048,-0.7143490320120001,0.303929232364,52.36110166,4.933677959,-0.7973234318,1.037727042,254.0807949,4.74727733,3.359746268
