"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.485533333E-2,-4.830807745E-1,2.644633353E-1,1.498562656E-2
2.486233333E-2,-4.919738472E-1,2.376045585E-1,4.520904273E-2
3.486833333E-2,-4.397475719E-1,2.135016024E-1,5.438644066E-2
4.487533333E-2,-3.315249681E-1,1.920503676E-1,7.151003182E-2
5.488233333E-2,-1.817871928E-1,2.006127387E-1,9.351167083E-2
6.488933333E-2,-9.471300244E-2,2.324542999E-1,7.994499803E-2
7.489533333E-2,-1.183362007E-1,2.860057652E-1,2.144189924E-2
8.490233333E-2,-1.685977727E-1,3.232364953E-1,-3.983566537E-3
9.490933333E-2,-1.465138495E-1,4.087564945E-1,1.522050239E-2
1.049163333E-1,-1.982742548E-1,3.193635046E-1,7.418635488E-2
1.149233333E-1,-2.865478992E-1,3.895512521E-1,1.408159584E-1
1.249293333E-1,-4.087417126E-1,3.896271288E-1,2.513310313E-1
1.349363333E-1,-4.327636957E-1,4.863991439E-1,3.190048635E-1
1.449433333E-1,-4.310272932E-1,4.697439969E-1,3.681731820E-1
1.549503333E-1,-5.059651136E-1,7.396525741E-1,2.930929959E-1
1.649563333E-1,-6.805694103E-1,9.626507759E-1,1.267514229E-1
1.749633333E-1,-8.458595872E-1,1.087485671E0,-1.544070803E-2
1.849702083E-1,-9.909278154E-1,1.183812141E0,-1.333657354E-1
1.949772083E-1,-1.137797475E0,1.226594329E0,-2.366926223E-1
2.049832083E-1,-1.273414731E0,1.253198147E0,-3.207515776E-1
2.149902083E-1,-1.375706792E0,1.273681521E0,-3.147812784E-1
2.249972083E-1,-1.477853894E0,1.416908145E0,-2.114903033E-1
2.350042083E-1,-1.695128083E0,1.714984179E0,-7.588724792E-2
2.450112083E-1,-2.171982288E0,2.181761026E0,-1.847643405E-3
2.550172083E-1,-2.829885244E0,2.256658077E0,-4.386360943E-2
2.650242083E-1,-3.378846884E0,2.279783487E0,-4.858352989E-2
2.750312083E-1,-3.742359877E0,2.170638084E0,3.489089012E-2
2.850382083E-1,-3.816200256E0,2.136566401E0,4.382020235E-2
2.950442083E-1,-3.563555241E0,2.144699097E0,-1.181082204E-1
3.050512083E-1,-3.107260942E0,2.100455761E0,-3.974895179E-1
3.150582083E-1,-2.813015938E0,1.993375659E0,-4.822761416E-1
3.250652083E-1,-2.761066198E0,1.895284772E0,-3.798094094E-1
3.350722083E-1,-2.914655209E0,1.985374928E0,-2.511881888E-1
3.450782083E-1,-3.180223465E0,1.831310034E0,-1.840350032E-1
3.550852083E-1,-3.503848314E0,1.682840347E0,-2.593388855E-1
3.650922083E-1,-3.847811460E0,1.479380965E0,-4.102650285E-1
3.750992083E-1,-3.997598886E0,1.458490849E0,-4.012162685E-1
3.851052083E-1,-3.856633902E0,1.571290612E0,-2.069391757E-1
3.951122083E-1,-3.539133072E0,1.643722773E0,-4.019455612E-2
4.051192083E-1,-3.231191158E0,1.714737296E0,-5.596153438E-2
4.151262083E-1,-3.099252224E0,1.897665262E0,-1.411105096E-1
4.251332083E-1,-3.147438049E0,2.191397429E0,-3.594324291E-1
4.351392083E-1,-3.229836464E0,2.382897139E0,-4.458253086E-1
4.451462083E-1,-3.192727089E0,2.221568346E0,-3.812548220E-1
4.551532083E-1,-2.978910208E0,2.061336994E0,-2.120540589E-1
4.651602083E-1,-2.806745052E0,1.969151258E0,-4.027084261E-2
4.751662083E-1,-2.768957615E0,1.958814979E0,5.954834819E-2
4.851732083E-1,-2.768263340E0,1.901649594E0,2.934939861E-1
4.951802083E-1,-2.745838404E0,1.587944031E0,4.524806142E-1
5.051872083E-1,-2.482166529E0,1.435022712E0,7.541251779E-1
5.151942083E-1,-2.080735207E0,1.494217038E0,7.475134134E-1
5.252002083E-1,-1.752234578E0,1.621845365E0,6.557011604E-1
5.352072083E-1,-1.527085781E0,1.790085912E0,6.405978799E-1
5.452142083E-1,-1.345227718E0,1.888574600E0,7.620662451E-1
5.552212083E-1,-1.112883329E0,1.890347123E0,9.793139100E-1
5.652272083E-1,-8.881972432E-1,1.891304970E0,1.251457572E0
5.752342083E-1,-7.250885367E-1,1.973783374E0,1.515321493E0
5.852412083E-1,-6.290794611E-1,2.091176987E0,1.700044155E0
5.952482083E-1,-5.640423894E-1,2.128793478E0,1.699444890E0
6.052552083E-1,-4.741953611E-1,2.038174391E0,1.659414411E0
6.152612083E-1,-2.940717638E-1,1.873706460E0,1.661344647E0
6.252682083E-1,-1.207830906E-1,1.497927427E0,1.664651275E0
6.352752083E-1,2.219325677E-2,1.058204889E0,1.713900208E0
6.452822083E-1,3.803170323E-1,1.128443956E0,1.679683328E0
6.552892083E-1,8.870497942E-1,1.523464084E0,1.385508418E0
6.652952083E-1,1.098042965E0,1.707501292E0,1.092468619E0
6.753022083E-1,7.950100899E-1,1.476704121E0,9.849125147E-1
6.853092083E-1,2.795430422E-1,1.272276163E0,1.083829284E0
6.953162083E-1,-1.053615939E-3,1.232865334E0,1.171948314E0
7.053232083E-1,6.791799515E-2,1.429033995E0,9.898158908E-1
7.153292083E-1,1.333480775E-1,1.454401374E0,6.887220740E-1
7.253362083E-1,7.048335671E-2,1.346940517E0,4.083817005E-1
7.353432083E-1,-3.244630098E-1,1.059037447E0,3.093571961E-1
7.453502083E-1,-6.757877469E-1,7.540018559E-1,3.543329239E-1
7.553562083E-1,-7.988194227E-1,1.803550571E-1,2.852937579E-1
7.653632083E-1,-6.878290176E-1,-4.775546491E-1,-4.841309786E-2
7.753702083E-1,-5.035886168E-1,-1.100371718E0,-4.108242095E-1
7.853772083E-1,-4.440046847E-1,-1.330833673E0,-7.242665887E-1
7.953842083E-1,-4.904028773E-1,-1.306460023E0,-9.653797150E-1
8.053902083E-1,-4.837489724E-1,-1.128251910E0,-1.156219721E0
8.153972083E-1,-4.153651595E-1,-9.497268796E-1,-1.392320752E0
8.254042083E-1,-2.923993170E-1,-7.835749388E-1,-1.362706661E0
8.354112083E-1,-1.579073668E-1,-4.661236107E-1,-9.940389395E-1
8.454182083E-1,-1.354936659E-1,-1.345763206E-1,-9.142554402E-1
8.554242083E-1,-2.083676010E-1,-5.412500501E-1,-1.054225564E0
8.654312083E-1,-3.424132764E-1,-1.027114987E0,-1.233879805E0
8.754382083E-1,-5.265213251E-1,-9.728158116E-1,-1.353316665E0
8.854452083E-1,-7.488015294E-1,-1.045969129E0,-1.380372763E0
8.954512083E-1,-9.603386521E-1,-1.299522758E0,-1.257897496E0
9.054582083E-1,-1.163754582E0,-1.392267108E0,-9.633438587E-1
9.154652083E-1,-1.345579624E0,-1.392699003E0,-4.898033440E-1
9.254722083E-1,-1.462123990E0,-1.195147276E0,-9.255532920E-2
9.354792083E-1,-1.534554243E0,-8.630289435E-1,5.997135490E-2
9.454852083E-1,-1.581958771E0,-4.462974370E-1,-6.741030514E-2
9.554922083E-1,-1.545357943E0,2.865186334E-2,-2.502600253E-1
9.654992083E-1,-1.432947516E0,2.736517787E-1,-3.359245956E-1
9.755062083E-1,-1.321282148E0,5.205090642E-1,-4.014819562E-1
