"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.863105297E-2,5.236143148E1,4.932332379E0,7.180650711E0,NaN,NaN,1.219188217E2,3.269080353E1
4.782669544E-1,5.236117551E1,4.932762492E0,5.411189318E0,NaN,NaN,3.500000000E1,2.222634888E1
2.296615481E0,5.236146710E1,4.932336453E0,-5.590061188E0,1.450000048E0,7.734375000E1,1.246406199E1,2.400000000E1
3.296617150E0,5.236146258E1,4.932362018E0,-8.386692047E0,1.639999986E0,1.079296875E2,1.035533058E1,1.200000000E1
4.296616793E0,5.236145596E1,4.932383560E0,-7.157138824E0,1.639999986E0,1.047656250E2,7.565683003E0,8.000000000E0
5.296616077E0,5.236144799E1,4.932405520E0,-5.271030426E0,6.899999976E-1,1.023046875E2,7.433691935E0,8.000000000E0
6.296627164E0,5.236144460E1,4.932418512E0,-5.105625153E0,6.899999976E-1,9.316406250E1,8.397620954E0,8.000000000E0
7.296628237E0,5.236144468E1,4.932431756E0,-5.016147614E0,6.899999976E-1,7.945312500E1,9.269888623E0,1.200000000E1
8.296628237E0,5.236144619E1,4.932447765E0,-5.802036285E0,1.029999971E0,8.121093750E1,1.036903509E1,1.200000000E1
9.296629548E0,5.236144632E1,4.932464864E0,-6.757541656E0,1.299999952E0,8.613281250E1,1.086746552E1,1.200000000E1
1.029662669E1,5.236144594E1,4.932483137E0,-4.261447906E0,1.340000033E0,8.613281250E1,1.180488828E1,1.200000000E1
1.129662371E1,5.236144736E1,4.932496380E0,-5.104831696E0,1.299999952E0,8.015625000E1,1.174797891E1,1.200000000E1
1.229662073E1,5.236144477E1,4.932513479E0,-4.512485504E0,1.080000043E0,7.593750000E1,9.527810699E0,1.200000000E1
1.329662454E1,5.236144712E1,4.932528858E0,-4.512485347E0,1.080000043E0,7.593751218E1,9.527810699E0,1.200000000E1
1.429662716E1,5.236144505E1,4.932547882E0,-5.757724605E0,1.080000043E0,8.507813751E1,8.782069088E0,8.000000000E0
1.529662633E1,5.236144346E1,4.932573068E0,-6.610934997E0,1.370000005E0,8.964845342E1,8.468811540E0,8.000000000E0
1.629662740E1,5.236144251E1,4.932595910E0,-5.615207436E0,1.470000029E0,9.035157959E1,8.293096319E0,8.000000000E0
1.729662514E1,5.236144453E1,4.932612020E0,-4.688876891E0,1.370000005E0,8.050782821E1,6.770021786E0,8.000000000E0
1.829662359E1,5.236144630E1,4.932616146E0,-5.348972207E0,7.599999905E-1,7.734375862E1,6.665565026E0,6.000000000E0
1.929662359E1,5.236145175E1,4.932627584E0,-5.633029824E0,7.599999905E-1,6.468750799E1,6.654403707E0,6.000000000E0
2.029662097E1,5.236145249E1,4.932648100E0,-5.607089830E0,1.129999995E0,7.875001288E1,6.636906440E0,6.000000000E0
2.129662061E1,5.236144644E1,4.932673925E0,-3.835422312E0,1.320000052E0,9.527345278E1,5.908921283E0,6.000000000E0
2.229661632E1,5.236143742E1,4.932695801E0,-3.430698191E0,1.320000052E0,1.107422018E2,6.402726036E0,6.000000000E0
2.329661775E1,5.236142966E1,4.932717794E0,-3.517978464E0,1.320000052E0,1.125000142E2,6.125585807E0,6.000000000E0
2.429661775E1,5.236141959E1,4.932747733E0,-2.283420326E0,1.470000029E0,1.107422035E2,5.762493326E0,6.000000000E0
2.529661393E1,5.236141042E1,4.932778246E0,-2.113986718E0,1.529999971E0,1.058203296E2,5.578822326E0,6.000000000E0
2.629661238E1,5.236140317E1,4.932801035E0,-2.521762596E0,1.529999971E0,1.051172047E2,5.757840140E0,6.000000000E0
2.729661214E1,5.236139463E1,4.932816244E0,-2.637729458E0,1.240000010E0,1.114453259E2,6.018071936E0,8.000000000E0
2.829661131E1,5.236138821E1,4.932834398E0,-2.276523421E0,1.139999986E0,1.107421999E2,6.166319651E0,8.000000000E0
2.929660940E1,5.236138275E1,4.932856250E0,-2.565219692E0,1.240000010E0,1.072265763E2,6.746459438E0,8.000000000E0
3.029660940E1,5.236138351E1,4.932875967E0,-2.905978980E0,1.179999948E0,9.035157622E1,8.061772746E0,8.000000000E0
3.129660964E1,5.236138471E1,4.932897487E0,-3.488132266E0,1.340000033E0,8.718751556E1,7.822181620E0,8.000000000E0
3.229660892E1,5.236138639E1,4.932909727E0,-4.977878393E0,1.179999948E0,8.156251357E1,6.706046264E0,8.000000000E0
3.329660809E1,5.236136111E1,4.933017201E0,-7.351012528E-2,1.175675749E0,8.528369494E1,4.886443071E0,3.153919965E0
3.429660761E1,5.236135915E1,4.933039765E0,1.380739268E-2,1.024664180E0,8.731643188E1,4.878840864E0,3.165667206E0
3.529660702E1,5.236135610E1,4.933058845E0,6.683168281E-2,9.534471210E-1,9.190309482E1,4.869898405E0,3.179406636E0
3.629660702E1,5.236134915E1,4.933076254E0,-7.894812962E-1,1.150951483E0,8.813050193E1,4.813234296E0,3.264553973E0
3.729660594E1,5.236134735E1,4.933101319E0,1.155289169E-1,1.379471864E0,9.039578507E1,4.811222127E0,3.267518734E0
3.829660547E1,5.236135103E1,4.933113834E0,1.776336133E-1,1.126870812E0,8.872039567E1,4.800319426E0,3.283514952E0
3.929660594E1,5.236135554E1,4.933126816E0,8.101585973E-2,9.887247803E-1,8.833926277E1,4.795618817E0,3.290376451E0
4.029660439E1,5.236135406E1,4.933140863E0,-4.782772996E-2,8.815195471E-1,9.678082192E1,4.794144377E0,3.292524370E0
4.129660487E1,5.236136218E1,4.933139954E0,-5.915875342E-1,4.310902192E-1,7.985769954E1,4.798856737E0,3.285652302E0
4.229660416E1,5.236136011E1,4.933158051E0,-8.468383802E-1,5.199551376E-1,7.821517919E1,4.808322916E0,3.271783576E0
4.329660499E1,5.236136273E1,4.933183161E0,-1.019266409E0,7.715656473E-1,7.873399381E1,4.805070320E0,3.276558600E0
4.429660380E1,5.236137026E1,4.933203544E0,-7.007353557E-1,1.012211932E0,7.595509759E1,4.811522429E0,3.267076513E0
4.529660320E1,5.236137641E1,4.933223168E0,-1.424048754E0,1.130604149E0,7.917908491E1,4.816470461E0,3.259777498E0
4.629660356E1,5.236137385E1,4.933256513E0,-1.583207035E-1,1.314185919E0,8.656760999E1,4.827788994E0,3.242990975E0
4.729660249E1,5.236138005E1,4.933278275E0,-4.013089817E-1,1.173931901E0,8.696588144E1,4.825834840E0,3.245898201E0
4.829660273E1,5.236138770E1,4.933290718E0,-1.495948652E0,1.013642879E0,8.739897175E1,4.813156632E0,3.264668478E0
4.929660273E1,5.236139087E1,4.933318504E0,-5.542756803E-1,1.175836627E0,9.158058614E1,4.814951907E0,3.262020105E0
5.029660249E1,5.236139103E1,4.933331565E0,-5.831301864E-1,8.914048373E-1,9.739738552E1,4.818055175E0,3.257434783E0
5.129660225E1,5.236138796E1,4.933349308E0,-4.947031401E-1,9.256102675E-1,1.044396874E2,4.826463615E0,3.244963175E0
5.229660201E1,5.236138997E1,4.933363909E0,-6.874838425E-1,8.135144517E-1,9.956507988E1,4.837246256E0,3.228867555E0
5.329660153E1,5.236138996E1,4.933388285E0,-8.946383744E-1,1.021949247E0,9.569756198E1,4.844912708E0,3.217352620E0
5.429660106E1,5.236139464E1,4.933404208E0,-9.619459221E-1,9.958517553E-1,8.804050973E1,4.844957886E0,3.217284587E0
5.529660153E1,5.236140025E1,4.933425722E0,-9.154322715E-1,1.154474662E0,8.821607786E1,4.848606891E0,3.211782721E0
5.629660106E1,5.236139941E1,4.933443442E0,-9.549939279E-1,1.083428168E0,8.982377194E1,4.838968515E0,3.226285905E0
5.729660106E1,5.236138675E1,4.933460977E0,-4.213387407E-1,1.138786844E0,1.048047746E2,4.833474755E0,3.234510600E0
5.829660094E1,5.236137069E1,4.933462736E0,-5.698140291E-1,7.905796403E-1,1.426595217E2,4.826795483E0,3.244469509E0
5.929660106E1,5.236135113E1,4.933483908E0,-5.950931180E-2,1.141134913E0,1.451737641E2,4.827572843E0,3.243312732E0
6.029660058E1,5.236133104E1,4.933496831E0,2.391064232E-1,9.298385727E-1,1.483612181E2,4.823824391E0,3.248885236E0
6.129660082E1,5.236131612E1,4.933505184E0,2.380385334E-1,8.317722744E-1,1.476659672E2,4.822558707E0,3.250763688E0
6.229659975E1,5.236128908E1,4.933516309E0,-3.162840381E-1,8.146312662E-1,1.523927313E2,4.809923597E0,3.269429923E0
6.329659963E1,5.236127768E1,4.933523983E0,-1.614030208E-1,6.145290608E-1,1.450999662E2,4.804569636E0,3.277292732E0
6.429660118E1,5.236125596E1,4.933537538E0,-6.523445174E-1,9.045416929E-1,1.393583053E2,4.783312503E0,3.308241002E0
6.529659998E1,5.236125210E1,4.933556706E0,2.488678349E-1,8.221924471E-1,1.196674210E2,4.774762993E0,3.320568535E0
6.629659986E1,5.236123990E1,4.933584309E0,1.009781873E-1,1.270996739E0,1.164376938E2,4.764844710E0,3.334785138E0
6.729659951E1,5.236123262E1,4.933608711E0,-3.488144586E-1,1.342383405E0,1.116550833E2,4.762382440E0,3.338300546E0
6.829659963E1,5.236123307E1,4.933628784E0,-5.261489339E-1,1.117612853E0,1.066126855E2,4.749569930E0,3.356504508E0
6.929659915E1,5.236122650E1,4.933652629E0,-8.284909651E-2,1.204760312E0,1.068457518E2,4.746593197E0,3.360712730E0
7.029659975E1,5.236122315E1,4.933678098E0,9.560482763E-2,1.297162154E0,1.015339675E2,4.750056655E0,3.355815670E0
7.129659927E1,5.236122141E1,4.933706495E0,8.644388234E-1,1.539447800E0,9.716777410E1,4.749031164E0,3.357266751E0
7.229659986E1,5.236122136E1,4.933706755E0,-5.208281754E-1,1.054777887E0,9.715733711E1,4.749215437E0,3.357006072E0
7.329659927E1,5.236121396E1,4.933721633E0,-7.813935140E-1,9.492654929E-1,1.057148341E2,4.747330564E0,3.359671047E0
7.429660010E1,5.236120872E1,4.933739283E0,-6.333154105E-1,1.106632026E0,1.058707692E2,4.749268548E0,3.356930934E0
7.529659867E1,5.236119706E1,4.933759405E0,-1.054844654E0,1.319057448E0,1.191293074E2,4.748673852E0,3.357772131E0
7.629659939E1,5.236118308E1,4.933786747E0,-2.671079254E-1,1.594931244E0,1.254171597E2,4.747860357E0,3.358922307E0
7.729659879E1,5.236117002E1,4.933786948E0,-6.458407929E-1,1.113027208E0,1.438385380E2,4.748375769E0,3.358193649E0
