"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.154652083E-1,1.190323257E1,3.087384796E1,-2.461213684E1
9.254722083E-1,1.162814713E1,3.097915649E1,-2.425041199E1
9.354792083E-1,1.132687378E1,3.137921906E1,-2.395057678E1
9.454852083E-1,1.121063995E1,3.176026154E1,-2.330355835E1
9.554922083E-1,1.105076981E1,3.237794495E1,-2.307995605E1
9.654992083E-1,1.097605896E1,3.261185455E1,-2.262542725E1
9.755062083E-1,1.094860458E1,3.313065338E1,-2.214358521E1
9.855132083E-1,1.098732758E1,3.315347290E1,-2.183961487E1
9.955192083E-1,1.098661423E1,3.368022156E1,-2.099758911E1
1.005526208E0,1.093818283E1,3.366547394E1,-2.061378479E1
1.015533208E0,1.068387604E1,3.414682770E1,-2.055998230E1
1.025540208E0,1.067093658E1,3.432062531E1,-2.003607941E1
1.035547208E0,1.020647812E1,3.482122803E1,-1.963711548E1
1.045553208E0,1.002963257E1,3.484018707E1,-1.942197418E1
1.055560208E0,9.787048340E0,3.518222046E1,-1.934558105E1
1.065567208E0,9.653949738E0,3.523844910E1,-1.865250397E1
1.075574208E0,9.399593353E0,3.565635681E1,-1.854262543E1
1.085581208E0,8.971153259E0,3.570453644E1,-1.862342834E1
1.095587208E0,8.482822418E0,3.601397705E1,-1.838205719E1
1.105594208E0,7.933494568E0,3.606204224E1,-1.864962769E1
1.115601208E0,7.622665405E0,3.634638214E1,-1.822488403E1
1.125608208E0,7.474021912E0,3.628783417E1,-1.809606171E1
1.135615208E0,7.161437988E0,3.656527710E1,-1.737007904E1
1.145621208E0,6.920871735E0,3.661349487E1,-1.756925964E1
1.155628208E0,6.982315063E0,3.677120972E1,-1.771428680E1
1.165635208E0,6.675586700E0,3.670494843E1,-1.727189636E1
1.175642208E0,6.255928040E0,3.706658173E1,-1.719036102E1
1.185649208E0,5.635612488E0,3.723997498E1,-1.679083252E1
1.195655333E0,5.156723022E0,3.784255981E1,-1.682418823E1
1.205662333E0,4.219642639E0,3.767265320E1,-1.665334320E1
1.215669333E0,3.295700073E0,3.768102264E1,-1.661064911E1
1.225676333E0,2.127265930E0,3.777390289E1,-1.680763245E1
1.235683333E0,8.546066284E-1,3.787576294E1,-1.638951874E1
1.245689333E0,-5.280303955E-1,3.816571045E1,-1.670346832E1
1.255696333E0,-2.310035706E0,3.803131104E1,-1.647579956E1
1.265703333E0,-3.824348450E0,3.796263123E1,-1.655380249E1
1.275710333E0,-5.144187927E0,3.763468933E1,-1.662436676E1
1.285717333E0,-6.510513306E0,3.762523651E1,-1.664297485E1
1.295723333E0,-8.093750000E0,3.695343781E1,-1.699770355E1
1.305730333E0,-9.069999695E0,3.673335266E1,-1.711937714E1
1.315737333E0,-1.049477386E1,3.639037323E1,-1.724942780E1
1.325744333E0,-1.207136536E1,3.602580261E1,-1.724165344E1
1.335751333E0,-1.354265594E1,3.585623169E1,-1.703118134E1
1.345757333E0,-1.554643250E1,3.516108704E1,-1.648767853E1
1.355764333E0,-1.747969818E1,3.437707520E1,-1.593962097E1
1.365771333E0,-2.025659180E1,3.316399384E1,-1.563125610E1
1.375778333E0,-2.309504700E1,3.129225922E1,-1.489670563E1
1.385785333E0,-2.551603699E1,2.985161591E1,-1.434321594E1
1.395791333E0,-2.785785675E1,2.864743805E1,-1.272541046E1
1.405798333E0,-2.906243134E1,2.787184906E1,-1.153173065E1
1.415805333E0,-2.937598419E1,2.772260284E1,-1.016584778E1
1.425812333E0,-2.948140717E1,2.829187775E1,-8.879821777E0
1.435819333E0,-2.961288452E1,2.872261810E1,-7.411697388E0
1.445825333E0,-2.950785828E1,2.904626465E1,-5.913513184E0
1.455832333E0,-2.974724579E1,2.933609772E1,-4.672561646E0
1.465839333E0,-2.972939301E1,2.921458435E1,-3.472999573E0
1.475846333E0,-2.965589142E1,2.932390594E1,-1.538124084E0
1.485853333E0,-2.970235443E1,2.923119354E1,-5.137481689E-1
1.495859333E0,-2.980396271E1,2.918995667E1,1.060485840E-1
1.505866333E0,-3.021350098E1,2.896466064E1,-2.485656738E-2
1.515873333E0,-3.048174286E1,2.881644440E1,-1.761856079E-1
1.525880333E0,-3.062271881E1,2.863859558E1,-3.860855103E-1
1.535887333E0,-3.049742126E1,2.859984589E1,-8.803024292E-1
1.545894333E0,-3.062152863E1,2.859636688E1,-1.100181580E0
