"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718907142349261E9,"2024-06-20 20:12:22.349 UTC+02:00"
"PAUSE",5.437166128333338E2,1.718907686091049E9,"2024-06-20 20:21:26.091 UTC+02:00"
