"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.619077083E-1,-3.288142204E0,2.194281101E0,-8.870481700E-2
8.718737083E-1,-2.616723776E0,2.340447903E0,-2.457263172E-1
8.818397083E-1,-2.099541426E0,2.370599270E0,-3.142537177E-1
8.918057083E-1,-1.772997618E0,2.046227932E0,-3.934845030E-1
9.017724583E-1,-1.471212983E0,1.638741016E0,-5.046358109E-1
9.117394583E-1,-1.199315548E0,8.669468760E-1,-4.839282930E-1
9.217054583E-1,-9.113569260E-1,-2.589252964E-2,-4.025532901E-1
9.316714583E-1,-6.393913627E-1,-6.534208655E-1,-2.621952295E-1
9.416374583E-1,-4.899094999E-1,-8.767392039E-1,-3.376895934E-2
9.516034583E-1,-5.176927447E-1,-8.403477073E-1,1.949816346E-1
9.615704583E-1,-5.441027880E-1,-4.538183510E-1,3.085920811E-1
9.715364583E-1,-3.054057956E-1,5.540125370E-1,4.396118820E-1
9.815024583E-1,-1.249979138E-1,1.114686489E0,7.561365366E-1
9.914684583E-1,-9.199900180E-2,1.655159831E0,9.413390160E-1
1.001434458E0,-1.786063313E-1,2.074065447E0,9.425784945E-1
1.011400458E0,-3.992647529E-1,2.013544559E0,7.092627287E-1
1.021367458E0,-4.971532226E-1,2.017444134E0,4.568858743E-1
1.031333458E0,-3.740431964E-1,2.125487328E0,3.484024704E-1
1.041299458E0,-7.101780176E-2,2.019788504E0,4.062308669E-1
1.051265458E0,2.828623354E-1,1.465627909E0,4.979018569E-1
1.061231458E0,6.243163347E-1,4.692925215E-1,5.197415948E-1
1.071198458E0,9.680916071E-1,-3.325358927E-1,5.454587936E-1
1.081164458E0,1.147008657E0,-5.415554047E-1,6.793279052E-1
1.091130458E0,1.127335787E0,-3.773782849E-1,8.194122314E-1
1.101096458E0,1.083330274E0,-8.772969991E-2,9.749251008E-1
1.111062458E0,1.118790984E0,8.846564591E-2,1.096656561E0
1.121029458E0,1.236861467E0,7.329414785E-2,1.146382332E0
1.130995458E0,1.302063584E0,-5.435355380E-2,1.066765189E0
