"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.982398987E-2,5.238584257E1,4.905285880E0,-1.614848733E0,NaN,NaN,2.270467256E2,2.370596886E1
1.147830009E0,5.238590199E1,4.905319232E0,1.180385971E1,2.700000107E-1,NaN,4.097610561E1,6.400000000E1
2.034209013E0,5.238590140E1,4.905313533E0,1.096548080E1,2.700000107E-1,NaN,4.296491129E1,6.400000000E1
3.030689001E0,5.238611962E1,4.905289477E0,1.127101898E0,2.700000107E-1,NaN,3.530416380E1,8.000000000E0
4.037643909E0,5.238618886E1,4.905207418E0,-5.588531494E-3,5.400000215E-1,2.925000000E2,3.595977183E1,6.000000000E0
5.035037994E0,5.238614833E1,4.905162826E0,1.084377289E0,9.700000286E-1,3.181640625E2,3.403865468E1,6.000000000E0
6.033925056E0,5.238612876E1,4.904959733E0,1.292385101E0,8.799999952E-1,3.009375000E2,2.472309062E1,4.000000000E0
7.040868044E0,5.238624636E1,4.905046904E0,8.332786560E-1,8.799999952E-1,3.009375000E2,2.522535502E1,4.000000000E0
8.033508062E0,5.238606330E1,4.905067272E0,9.508934021E-1,8.799999952E-1,3.237890625E2,2.916490598E1,4.000000000E0
9.042682886E0,5.238611325E1,4.905102812E0,1.448207855E0,9.200000167E-1,3.213281250E2,3.274951916E1,6.000000000E0
1.004290700E1,5.238601552E1,4.905159306E0,2.327846527E0,1.110000014E0,3.403125000E2,3.442874136E1,6.000000000E0
1.104492784E1,5.238601535E1,4.904993596E0,9.278831482E-1,1.139999986E0,3.385546875E2,3.112512707E1,4.000000000E0
1.204456186E1,5.238613186E1,4.905037936E0,1.173854828E0,1.139999986E0,3.336328125E2,3.337642205E1,4.000000000E0
1.304631090E1,5.238613236E1,4.905023938E0,1.530300140E0,1.200000048E0,3.318750000E2,3.252087331E1,4.000000000E0
1.404740882E1,5.238614187E1,4.905015630E0,1.530300321E0,1.200000048E0,3.318749934E2,3.252087331E1,4.000000000E0
1.504915881E1,5.238614093E1,4.904986897E0,1.706875034E0,1.230000019E0,3.258984295E2,3.296407730E1,4.000000000E0
1.604631829E1,5.238614901E1,4.904956162E0,2.996670033E0,1.590000033E0,3.283593653E2,2.357593849E1,3.000000000E0
1.705009711E1,5.238615702E1,4.904930818E0,9.287378527E-1,1.350000024E0,3.241406158E2,2.039600326E1,3.000000000E0
1.805067837E1,5.238609727E1,4.905130975E0,2.265224666E0,1.350000024E0,3.044531121E2,1.970452884E1,3.000000000E0
1.904991126E1,5.238608050E1,4.905156058E0,1.858242146E0,7.400000095E-1,3.044531179E2,1.974204481E1,4.000000000E0
2.004983938E1,5.238600102E1,4.905113413E0,2.035366257E0,1.289999962E0,3.420703079E2,2.118441075E1,4.000000000E0
2.105217516E1,5.238601464E1,4.905123601E0,2.247951704E0,1.279999971E0,3.374999943E2,2.103330054E1,4.000000000E0
2.204662073E1,5.238600819E1,4.905216464E0,1.693996623E0,1.279999971E0,3.364453066E2,1.961940312E1,4.000000000E0
2.305437088E1,5.238595353E1,4.905253250E0,1.719082006E0,8.700000048E-1,1.195312711E1,2.019292623E1,4.000000000E0
2.405185235E1,5.238599811E1,4.905398018E0,1.873195774E0,8.700000048E-1,5.273438303E1,2.019490857E1,3.000000000E0
2.506071854E1,5.238600135E1,4.905559367E0,7.630883595E-1,9.200000167E-1,6.082032192E1,1.828603233E1,3.000000000E0
2.605651665E1,5.238611950E1,4.905489603E0,9.956323048E-1,9.200000167E-1,5.835938407E1,1.427446283E1,3.000000000E0
2.705633914E1,5.238610111E1,4.905560896E0,8.657494942E-1,9.200000167E-1,7.312501024E1,1.344434965E1,3.000000000E0
2.805492842E1,5.238602961E1,4.905634049E0,9.615715127E-2,3.400000036E-1,7.312500378E1,1.549777278E1,3.000000000E0
2.906309974E1,5.238593872E1,4.905707130E0,1.246547771E0,2.000000030E-1,7.312500224E1,1.411181443E1,3.000000000E0
2.966534591E1,5.238611317E1,4.905533139E0,1.338405676E0,3.400000036E-1,NaN,2.483653874E1,8.000000000E0
3.066759932E1,5.238608934E1,4.905521736E0,1.004055121E0,6.200000048E-1,7.277344440E1,1.989451746E1,4.000000000E0
3.166615176E1,5.238607727E1,4.905531707E0,1.272548797E0,8.199999928E-1,5.976563323E1,1.741386440E1,4.000000000E0
3.266620708E1,5.238607233E1,4.905553160E0,1.589077138E0,9.800000191E-1,6.292969765E1,1.483127362E1,4.000000000E0
3.366819847E1,5.238607695E1,4.905768151E0,1.546382042E0,1.325073057E0,5.602250492E1,6.563598944E0,1.046683741E0
3.466652226E1,5.238607966E1,4.905771688E0,1.244702115E0,1.129791687E0,5.568336742E1,6.376445308E0,1.043048061E0
3.566992617E1,5.238602135E1,4.905795143E0,1.550845601E0,1.015485161E0,7.443218889E1,5.970002124E0,1.371672340E0
3.666625655E1,5.238601926E1,4.905814306E0,1.496722574E0,1.191307559E0,6.766487370E1,5.633308795E0,1.764334935E0
3.767752194E1,5.238602740E1,4.905818687E0,2.013384644E0,1.270357583E0,6.585262069E1,5.345509854E0,2.291301254E0
3.867542410E1,5.238603666E1,4.905834105E0,1.771739754E0,1.256021110E0,6.567654144E1,5.299042270E0,2.396807889E0
3.967614996E1,5.238604641E1,4.905846303E0,6.811276348E-1,1.112167848E0,6.963218416E1,5.198768562E0,2.607171354E0
4.070751917E1,5.238601237E1,4.905893795E0,1.146202854E0,1.285222514E0,7.652884909E1,5.083071375E0,2.826114369E0
4.167294645E1,5.238599584E1,4.905905112E0,1.589807113E0,1.131715150E0,7.783991368E1,5.014390409E0,2.946256244E0
4.267311144E1,5.238600129E1,4.905892675E0,1.647781507E0,8.935770117E-1,7.427227619E1,4.981970148E0,3.000751652E0
4.367360556E1,5.238603235E1,4.905839443E0,8.554392718E-1,9.050990769E-1,5.207372174E1,4.950113218E0,3.053017551E0
4.467553282E1,5.238604507E1,4.905820774E0,3.675650610E-1,8.055452278E-1,4.124342901E1,4.977787007E0,3.007685746E0
4.566914940E1,5.238606811E1,4.905796191E0,8.900237670E-1,8.379593368E-1,2.335057952E1,4.991104420E0,2.985534074E0
4.666663551E1,5.238608618E1,4.905799094E0,7.993947743E-1,1.022422838E0,2.393448794E1,5.066514134E0,2.855691083E0
4.767134964E1,5.238609577E1,4.905799296E0,7.032010863E-1,1.001616973E0,2.309967434E1,5.162038710E0,2.679159082E0
4.866629291E1,5.238611089E1,4.905809320E0,1.198659381E-1,1.151625876E0,2.912113451E1,5.153381305E0,2.695774130E0
4.966765308E1,5.238613057E1,4.905801771E0,-4.889092408E-3,1.272821575E0,2.432342806E1,5.201189183E0,2.602338970E0
5.067096066E1,5.238613794E1,4.905805844E0,6.613383722E-2,1.053260386E0,3.222753307E1,5.220389443E0,2.563605098E0
5.166858160E1,5.238615658E1,4.905818767E0,3.817792172E-1,1.267798179E0,3.529152273E1,5.257731870E0,2.486119993E0
5.267132854E1,5.238619380E1,4.905808038E0,5.568926753E-1,1.461204829E0,2.870251761E1,5.272885226E0,2.453817112E0
5.367272103E1,5.238621311E1,4.905805623E0,6.557600312E-1,1.348159755E0,3.014321815E1,5.244839946E0,2.513203329E0
5.467101169E1,5.238620694E1,4.905821866E0,1.222572443E0,1.065335852E0,4.517616814E1,5.209919170E0,2.584817069E0
5.567295575E1,5.238624341E1,4.905829165E0,2.278730566E0,1.293353777E0,4.616580230E1,5.156957279E0,2.688927045E0
5.667217648E1,5.238625539E1,4.905836661E0,2.752327461E0,1.521168658E0,4.953226195E1,5.105467118E0,2.785451945E0
5.767057419E1,5.238628488E1,4.905823017E0,1.971752699E0,1.139040076E0,4.528107037E1,5.045760574E0,2.892202839E0
5.867423737E1,5.238629588E1,4.905839699E0,1.488949738E0,1.163832024E0,5.098599664E1,5.020463852E0,2.935895049E0
5.966801286E1,5.238629513E1,4.905832616E0,-2.688175151E-1,6.389260481E-1,5.243552317E1,5.032571045E0,2.915092744E0
6.067039824E1,5.238629542E1,4.905843626E0,-4.831746509E-1,4.539857021E-1,7.223103530E1,5.051701931E0,2.881812734E0
6.166787994E1,5.238629804E1,4.905855467E0,3.910092358E-2,5.135021647E-1,6.562967644E1,5.095574433E0,2.803508201E0
6.267158222E1,5.238630329E1,4.905870196E0,-4.113917407E-1,7.165633799E-1,6.318902701E1,5.098199219E0,2.798732169E0
6.367236125E1,5.238631859E1,4.905878343E0,4.269004120E-1,9.336846520E-1,5.198957939E1,5.112658021E0,2.772231050E0
6.467227149E1,5.238630235E1,4.905913889E0,8.487401782E-1,1.014085223E0,6.628382726E1,5.070538988E0,2.848538467E0
6.567219520E1,5.238628779E1,4.905942660E0,8.180900626E-1,1.211762848E0,7.475704453E1,5.033405760E0,2.913651230E0
6.667181897E1,5.238629374E1,4.905962730E0,1.078806901E0,1.277221449E0,7.336147859E1,5.040412909E0,2.901512492E0
6.767253220E1,5.238629256E1,4.905988713E0,8.195827482E-1,1.287644536E0,7.391562704E1,4.996892215E0,2.975836895E0
6.867338145E1,5.238629360E1,4.906009222E0,1.006340911E0,1.322563096E0,7.253788769E1,4.992701406E0,2.982862668E0
6.967221928E1,5.238628858E1,4.906044142E0,1.205293914E0,1.635978196E0,7.395288539E1,4.967512151E0,3.024625606E0
