"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.324708334E-3,-3.576811981E0,6.465355225E0,5.981860657E0
1.229070834E-2,-3.602708130E0,5.830525360E0,5.495372314E0
2.225670833E-2,-4.164489899E0,5.412744141E0,6.257587280E0
3.222270833E-2,-4.107308807E0,5.082530823E0,7.059170380E0
4.218870834E-2,-3.400478668E0,4.476590881E0,7.842790833E0
5.215570833E-2,-2.445464630E0,3.885470123E0,8.375832367E0
6.212170834E-2,-1.514101410E0,3.543281708E0,8.368048553E0
7.208770833E-2,-3.855981445E-1,3.519481201E0,8.205187225E0
8.205370833E-2,3.570075989E-1,3.698508911E0,7.777227173E0
9.201970834E-2,6.270460510E-1,3.992946625E0,6.362369385E0
1.019857083E-1,6.911128235E-1,4.337380371E0,5.208568726E0
1.119527083E-1,-1.965412903E-1,4.262985077E0,4.316274261E0
1.219187083E-1,-2.670446777E0,3.150648193E0,4.056115265E0
1.318847083E-1,-2.858455811E0,2.867137756E0,4.301155701E0
1.418507083E-1,-1.675615540E0,3.157533875E0,4.501888275E0
1.518167083E-1,-1.000369720E0,3.005450134E0,4.337230682E0
1.617827083E-1,-1.167572021E-1,2.244881744E0,4.320465546E0
1.717497083E-1,-4.903802490E-1,3.609593811E0,5.628445587E0
1.817157083E-1,-1.129251709E0,4.592899017E0,6.587351532E0
1.916817083E-1,-1.509311371E0,4.590354309E0,6.722221069E0
2.016477083E-1,-1.479523315E0,4.227508850E0,6.349645844E0
2.116137083E-1,-1.308429108E0,4.012256470E0,5.801186371E0
2.215807083E-1,-1.048569489E0,3.931873627E0,5.200036469E0
2.315467083E-1,-9.677375793E-1,4.052971802E0,4.505929871E0
2.415127083E-1,-1.040037231E0,3.892954559E0,3.715274048E0
2.514787083E-1,-9.461824036E-1,3.769760742E0,3.557053070E0
2.614447083E-1,-8.566685486E-1,3.783981171E0,4.156406708E0
2.714107083E-1,-1.137185211E0,4.103416901E0,5.155878296E0
2.813777083E-1,-1.192869415E0,3.877835999E0,6.283483429E0
2.913437083E-1,-1.208137665E0,3.545377350E0,7.387437744E0
3.013097083E-1,-1.472188568E0,3.541635132E0,8.147706757E0
3.112757083E-1,-1.622775421E0,3.521576843E0,8.448281708E0
3.212417083E-1,-1.262923737E0,3.096161499E0,8.223149872E0
3.312077083E-1,-9.041198730E-1,2.773133240E0,7.555987244E0
3.411747083E-1,-9.719288635E-1,2.872825928E0,6.975793762E0
3.511407083E-1,-1.277144165E0,2.987637177E0,6.888076172E0
3.611067083E-1,-1.524579620E0,2.793490906E0,6.896159363E0
3.710727083E-1,-1.308578796E0,2.396067352E0,6.904392242E0
3.810387083E-1,-7.946974182E-1,2.003882904E0,7.315287781E0
3.910057083E-1,-2.417472839E-1,1.937870178E0,8.738827515E0
4.009717083E-1,-1.187031555E-1,2.254461823E0,1.174487640E1
4.109377083E-1,-2.179467773E-1,1.618284760E0,1.456995163E1
4.209037083E-1,-9.912387085E-1,1.163979492E0,1.497441055E1
4.308697083E-1,-2.178120575E0,1.697320404E0,1.328412552E1
4.408357083E-1,-3.255130920E0,1.350042572E0,1.079929276E1
4.508027083E-1,-2.646496582E0,7.435038757E-1,7.679181061E0
4.607687083E-1,-1.573677521E0,1.993853760E-1,8.073610840E0
4.707347083E-1,-9.228309631E-1,-8.885522461E-1,1.052446426E1
4.807007083E-1,-1.777852936E0,-1.547931061E0,1.631307678E1
4.906667083E-1,-5.793103180E0,-1.431323547E0,1.947360443E1
5.006337083E-1,-8.447084198E0,-3.164419556E-1,1.684551956E1
5.105997083E-1,-7.085814972E0,3.736230469E-1,1.456546097E1
5.205657083E-1,-5.828878784E0,1.169517975E0,1.433628754E1
5.305317083E-1,-5.470673676E0,1.884730682E0,1.387120468E1
5.404977083E-1,-5.115462341E0,1.668430481E0,1.219304443E1
5.504637083E-1,-5.758824463E0,8.869056702E-1,1.042147842E1
5.604307083E-1,-6.454128571E0,-1.011895752E-1,7.061864777E0
5.703967083E-1,-6.399492188E0,-7.822732544E-1,4.375401306E0
5.803627083E-1,-5.192701721E0,-9.671388245E-1,6.760840759E0
5.903287083E-1,-3.050656128E0,-1.169368286E0,9.135352936E0
6.002947083E-1,-8.226892090E-1,-4.932243347E-1,8.464148712E0
6.102617083E-1,9.178912354E-1,2.291734314E-1,8.102800140E0
6.202277083E-1,1.603615265E0,5.611830139E-1,9.287736053E0
6.301937083E-1,1.363364868E0,4.852908325E-1,1.064930466E1
6.401597083E-1,1.183439026E0,5.544470215E-1,1.133907028E1
6.501257083E-1,1.468745728E0,6.583309937E-1,1.148127457E1
6.600917083E-1,1.982028351E0,8.659492493E-1,1.111214218E1
6.700587083E-1,1.678759003E0,1.961520996E0,1.051817734E1
6.800247083E-1,1.266815643E0,1.641636200E0,8.786428528E0
6.899907083E-1,1.731898499E-1,4.869374084E-1,6.573729858E0
