"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.478170833E-2,-4.094962996E-1,4.859620929E-3,-1.495959839E0
2.474870834E-2,-9.251713112E-1,-4.122380590E-1,-1.352679666E0
3.471470833E-2,-1.292324122E0,-6.061276370E-1,-6.109299552E-1
4.468070834E-2,-9.597286481E-1,-9.565343142E-1,5.259804368E-2
5.464670833E-2,-1.249093902E-1,-1.482712387E0,6.375482351E-1
6.461270833E-2,7.706133217E-1,-1.873143840E0,8.362489021E-1
7.457870834E-2,1.666193336E0,-1.975534433E0,5.281737274E-1
8.454570833E-2,2.848417895E0,-1.800795071E0,4.612184304E-1
9.451170834E-2,3.088523866E0,-1.531343679E0,-7.390892279E-1
1.044777083E-1,3.357897490E0,-1.099944879E0,-2.062519952E0
1.144437083E-1,2.984709183E0,-8.398174578E-1,-3.216995380E0
1.244097083E-1,1.225958516E0,-1.339876018E0,-3.782479021E0
1.343757083E-1,-6.687776291E-1,-2.270347538E0,-3.925119508E0
1.443427083E-1,4.050664490E-1,-1.928397689E0,-3.542125713E0
1.543087083E-1,1.262558286E0,-1.679693680E0,-3.665065761E0
1.642747083E-1,2.201552707E0,-2.382034035E0,-3.957683821E0
1.742407083E-1,2.459089812E0,-1.894794618E0,-3.275654063E0
1.842067083E-1,1.823379065E0,-4.059651661E-1,-2.023433070E0
1.941737083E-1,1.225959686E0,8.966062009E-2,-1.508710277E0
2.041397083E-1,1.069857154E0,-1.730729055E-1,-1.719203024E0
2.141057083E-1,1.145549946E0,-4.430645800E-1,-2.207211642E0
2.240717083E-1,1.374896455E0,-5.906906953E-1,-2.835262830E0
2.340377083E-1,1.539849332E0,-4.608433315E-1,-3.462850918E0
2.440037083E-1,1.488975047E0,-4.228343832E-1,-4.330597016E0
2.539707083E-1,1.435068689E0,-4.614710301E-1,-4.919287671E0
2.639367083E-1,1.604812775E0,-4.679886290E-1,-4.770437441E0
2.739027083E-1,1.426690652E0,-6.100750923E-2,-3.963925724E0
2.838687083E-1,1.170841200E0,1.463675022E-1,-2.977808592E0
2.938347083E-1,1.161570001E0,-1.177842656E-1,-1.878876450E0
3.038007083E-1,9.481593472E-1,-1.973353422E-1,-9.687070477E-1
3.137677083E-1,6.269190203E-1,-6.890563577E-2,-4.806943363E-1
3.237337083E-1,6.808591461E-1,-2.304440314E-1,-4.663990635E-1
3.336997083E-1,1.100767729E0,-6.276053372E-1,-9.836665642E-1
3.436657083E-1,1.236464940E0,-6.367799109E-1,-1.736921842E0
3.536317083E-1,9.839846528E-1,-3.535858083E-1,-2.102323703E0
3.635987083E-1,6.455435716E-1,-2.720335221E-1,-2.134663484E0
3.735647083E-1,5.668092048E-1,-4.607453907E-1,-2.209555206E0
3.835307083E-1,9.476241808E-1,-6.971491966E-1,-2.115474676E0
3.934967083E-1,1.552002039E0,-8.511686575E-1,-1.381835053E0
4.034627083E-1,1.881367218E0,-3.569529274E-1,8.352630615E-1
4.134287083E-1,1.927413895E0,-3.726313591E-1,4.068409036E0
4.233957083E-1,1.578301353E0,-1.071756037E0,5.839757529E0
4.333617083E-1,5.428629564E-1,-8.601340471E-1,4.945293748E0
4.433277083E-1,-5.618263538E-1,-5.552716251E-1,2.919645753E0
4.532937083E-1,-9.471833007E-1,-1.130928837E0,-3.300683069E-1
4.632597083E-1,3.748727430E-1,-1.449074086E0,-1.785595234E0
4.732267083E-1,1.157718878E0,-2.116861197E0,-3.616192979E-1
4.831927083E-1,1.538850920E0,-2.957953786E0,3.776789680E0
4.931587083E-1,-9.544705394E-1,-3.213891093E0,9.416289428E0
5.031247083E-1,-4.851972478E0,-2.367411610E0,9.277311637E0
5.130907083E-1,-4.881773105E0,-1.322450877E0,6.188780170E0
