Interval,LA_X,LA_Y,LA_Z,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Lat,Long,Height,V,Dir,Hor_Acc,Vert_Acc
13.25,-3.765966356518,-0.41621234703099996,-1.8208406008594,2.252163985966238,0.8659173306853465,-1.7469639498227725,0.04522524525277227,0.014641708084257403,-0.049159657224653465,52.37480167,4.837095,38.61190583,0.8039960861,349.9100037,2.099999905,10.39999962
13.5,-7.894015224792001,14.794129104747999,-11.011622322602,-1.743295540306,10.4365444892298,-6.7453517604553,0.401927627776,0.4777918606789,0.0785262551156,52.374805,4.837101667,38.01191437,1.670273662,22.34000015,2.099999905,10.69999981
13.75,-4.733915070062745,11.118713790302353,-8.17907899230196,0.6115010205881187,12.20498672128416,-8.161914758140593,-0.565885999499901,-1.069396030049901,0.2080361306055644,52.374805,4.837101667,38.01191437,1.670273662,22.34000015,2.099999905,10.69999981
14.0,-4.132171597844,1.315581538886,-0.3793509145382001,0.9403095813350001,0.810543026806,-0.6541575433779999,0.47093199915409995,0.0005665036483500096,0.01039087575824,52.374805,4.837101667,38.01191437,1.670273662,22.34000015,2.099999905,10.69999981
14.25,8.800129574392,9.16967984407,-7.97863680649,0.46679547126800003,8.6120298361979,-8.028927359852,-0.02675613604139997,0.7339172540091,-0.08630324974470004,52.374805,4.837101667,38.01191437,1.670273662,22.34000015,2.099999905,10.69999981
14.5,7.394472808734,12.110941960035,-9.4734054711,0.15798415746940597,13.99780766028812,-9.372444567353465,-0.4893366500970297,-0.8148876200077723,0.05349839087953466,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
14.75,-4.773367785268,2.149875938738,-6.999890106893999,0.7123844903169999,5.939262296713,-3.414256675907,1.6053124920378,0.9964322343250881,0.09351787428607,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
15.0,1.9890265109,-3.5411882808268627,-3.9685838782031375,1.3505703387052477,2.2954887378439603,-4.536555701483168,-0.8965476476517822,0.22520458086569306,-0.3529978976370297,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
15.25,3.495522885408,5.880020048534,-9.5063693969642,2.3748901072659,14.786888216805,-9.4321939563127,-1.297045746185,-1.4901149833996998,0.22144788165590001,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
15.5,-5.6332429154520005,11.4021268965276,-4.93221076549104,-3.33851603858099,7.884447469726732,-3.196470442397762,2.397342439905149,1.4160267061445546,0.11048873630360395,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
15.75,7.800402307522001,-2.2304544320388,-4.720740455536,1.388298104708,-0.212258982076,-3.802099607633,-1.54534874342844,0.37717487171579994,-0.33227974912929,52.374815,4.837105,37.31193031,1.434530854,2.089999914,2.099999905,11.10000038
16.0,3.9385973480259997,5.1462820553899995,-10.5761043424894,3.5981596551815,12.699782067512,-8.693280385711,-0.7134049885534001,-1.18449372820663,-0.13570974804629998,52.374815,4.8371,36.61192741,1.880280256,356.4500122,2.0,11.39999962
16.25,-8.811984602196079,13.406698078766667,-7.2499233830711765,-0.6597787458019801,10.687594086867326,-6.451387446715337,2.530189207462782,1.0139576704381188,0.2772489988841584,52.374815,4.8371,36.61192741,1.880280256,356.4500122,2.0,11.39999962
16.5,-0.5100974269439998,-4.315788208064,1.9232627302660001,-0.622284060403,2.404504622217,-0.42375601967200005,-1.0565266204822001,0.2033872481049,0.14681562738659998,52.374815,4.837096667,36.21192547,2.21484971,9.0,2.0,11.89999962
16.75,1.4870403709558002,0.5820047971600001,-7.478730599704001,1.6762752670524752,8.837164318804952,-9.819796534186139,-1.506667830029017,-1.2679964129924386,-0.6593764851463366,52.374815,4.837096667,36.21192547,2.21484971,9.0,2.0,11.89999962
17.0,0.6442221449399997,9.818252418326,-12.978215386862,3.0555705915009996,10.962786503547,-9.6165664714144,2.713215984991,0.9204236233634,0.14595899875707,52.37481333,4.837096667,35.81192314,1.860206127,9.0,2.0,11.80000019
17.25,2.1077209183999996,-2.370178237348,-1.8063780735519999,-3.6559486722837,1.8549330815401002,-0.73573348954075,-0.8746663580759,-0.1376512470388,0.5993721309915,52.37481333,4.837096667,35.81192314,1.860206127,9.0,2.0,11.80000019
17.5,4.414444970127451,-0.7266239753629411,-8.280560897588236,4.1135942557247525,7.4130538025287125,-9.176306835053268,-1.6718611305635642,-0.5392477736349505,-1.3685279683631832,52.37480833,4.837095,35.31191517,2.507726669,9.0,1.899999976,11.89999962
17.75,-6.99057099098,11.128158265774,-11.213185790648,1.1470409388989,11.775818082707001,-8.534554917773,2.2277873695842003,0.840164859538,0.3405118815766,52.37480833,4.837095,35.31191517,2.507726669,9.0,1.899999976,11.89999962
18.0,-2.6066975305340003,-1.7886936568152,-6.009132002452,-2.26056398399901,4.0358081016534655,-2.2444545853554456,-0.27424169080237626,-0.6036154687044555,0.5494445557855842,52.374845,4.837105,34.71197233,2.99465394,9.0,1.799999952,12.10000038
18.25,-0.40612315571400004,-2.548245359172,-6.232376620184,1.596991581067,4.744752195773,-6.000360277992001,-1.8512697367784,-0.4853694986758,-0.9024207434893999,52.374845,4.837105,34.71197233,2.99465394,9.0,1.799999952,12.10000038
18.5,-3.89924819702,14.8625441364836,-15.588745817660001,-0.732181550213,13.158977107452499,-10.534370023153398,1.7486713736676,0.45162836179099997,0.1860938769313,52.374845,4.837105,34.71197233,2.99465394,9.0,1.799999952,12.10000038
18.75,-1.5752392995396078,3.0853381053960787,-9.005675198722079,-1.261930772118525,5.928796363763366,-2.7608229044196038,-0.41813204694415845,-0.5249477705059405,0.27701349369029704,52.374845,4.837105,34.71197233,2.99465394,9.0,1.799999952,12.10000038
19.0,-0.8908862772980001,-3.320121694614,-4.3698832374,2.1259036128384,2.0269920961350003,-4.546674234748,-1.355595991672,-0.3081058739588,-0.11178612837833,52.37485833,4.837108333,34.31199295,2.227717876,9.0,1.700000048,12.5
19.25,-0.8749569487199998,11.060864324604,-13.876287552415398,-2.3662159352834653,12.011550616294851,-9.340338591134653,0.996662620379604,0.2784007364977228,-0.03800989986118811,52.37485833,4.837108333,34.31199295,2.227717876,9.0,1.700000048,12.5
19.5,2.7689473693460003,6.904124876426,-9.378443377636,-0.24906599302030002,8.791017369183,-4.3545407013210005,-0.6172058791546,-0.52794912264019,-0.032877630289700026,52.37485833,4.837108333,34.31199295,2.227717876,9.0,1.700000048,12.5
19.75,-2.0032108063568628,-2.9279784165490197,-4.774143558050981,1.8181634566126732,0.6336564431039603,-3.1077046150056438,-0.17038292108643563,-0.2341856369079208,0.11298687698069307,52.37485833,4.837108333,34.31199295,2.227717876,9.0,1.700000048,12.5
20.0,-8.02042322110044,10.314186200958,-7.114707399566,-1.421980557434,10.417338436162,-8.22519791007,0.44076036451699996,0.2693143704594,-0.014310992846739987,52.37487333,4.837111667,34.51201589,1.955944419,9.0,1.700000048,12.69999981
20.25,-3.982413424038,5.318475762094,-9.2349793234424,-0.9878010601654,12.999866149109,-9.5317594652305,-0.52993185915135,-0.80639074979181,0.0749993766464,52.37487333,4.837111667,34.51201589,1.955944419,9.0,1.700000048,12.69999981
20.5,-2.543234065758,0.7559219690296,-2.165884333972,2.2311386649148512,0.40253168147955437,-1.4326277726118812,0.621555809012204,0.43388601098133667,-0.0031039602476930664,52.37487333,4.837111667,34.51201589,1.955944419,9.0,1.700000048,12.69999981
20.75,7.460983992561999,8.955511694682,-8.544810418252,-0.2507714594669999,7.329897329128,-5.705505265332,-0.14255173430449997,0.72627774537449,-0.27645062186793,52.37487333,4.837111667,34.51201589,1.955944419,9.0,1.700000048,12.69999981
21.0,5.8327936245235295,10.97793455467647,-13.62195376920196,2.3105555677564356,14.868643848256824,-9.87357078840594,-1.0015037154168318,-0.7560457887891286,0.04796435613475246,52.374885,4.837115,34.71203417,2.068153858,9.0,1.799999952,13.30000019
21.25,-4.714714563694,7.899220223244,-8.167423472614,-2.2181580882009997,7.505094403333,-2.9584261582749,2.2916368606886,0.4462837558752,0.22790624784980001,52.374885,4.837115,34.71203417,2.068153858,9.0,1.799999952,13.30000019
21.5,4.4612751097022,-4.2991275077337,-4.29437976212,0.5433585316059999,0.9269340533908,-3.56162263765864,-1.5343377354941001,0.15915212012760002,0.15324787234568,52.374885,4.837115,34.71203417,2.068153858,9.0,1.799999952,13.30000019
21.75,6.990206561095,3.6949578015074,-6.836306135126,5.160834930939505,11.862462467373268,-7.810137993248713,-0.9753922999245545,-0.016340730736039595,-0.2815673281779505,52.374885,4.837115,34.71203417,2.068153858,9.0,1.799999952,13.30000019
22.0,-0.856798302846,5.972721974894,-8.55210998241,-1.7292945870946,11.956430043782,-4.8737762623368095,2.446309222881,0.5974223809170001,0.3580926165233,52.374895,4.837116667,34.81204914,2.116023064,9.0,1.799999952,13.5
22.25,2.529845714024706,-6.831041108939216,-0.9137555489156861,-1.0181554967732673,-1.640986723710198,-2.77037985629604,-1.140301111448614,0.4865389786506931,-0.24385829077875742,52.374895,4.837116667,34.81204914,2.116023064,9.0,1.799999952,13.5
22.5,8.167944511750399,4.2058891354301595,-6.990864288232,6.286444740303,12.338138084507,-9.812776984525,-1.21103123117914,-0.4675137481246,-0.574312736026,52.374895,4.837116667,34.81204914,2.116023064,9.0,1.799999952,13.5
22.75,-6.12578221687,8.902181108864001,-10.695734185557999,-1.897962097919,11.501369073354999,-5.5651622920232,2.495780353544,1.2022491199002001,0.011258497088249997,52.374895,4.837116667,34.81204914,2.116023064,9.0,1.799999952,13.5
23.0,-2.0743451347199997,-1.7935950098578,-1.393273781364,1.2369223343524753,6.617566702662673,-4.385872488643961,-0.4603486358055446,-0.004380943601039597,0.4330446749772277,52.37490167,4.83712,35.11206042,2.169039488,9.0,1.799999952,13.89999962
23.25,-1.4952172638434,-4.470134277664,-4.3311156704792,1.3835625433710999,1.694568080123,-3.6168616541514003,-1.3671349942299,-0.9247768631632001,-1.0067406192705,52.37490167,4.83712,35.11206042,2.169039488,9.0,1.799999952,13.89999962
23.5,-0.6354311916372549,9.642320229966666,-12.762254602341176,0.567494484480693,13.641921466844554,-9.3755320951901,0.9794084084447128,-0.14106001800950496,0.7984965246163762,52.37490167,4.83712,35.11206042,2.169039488,9.0,1.799999952,13.89999962
23.75,4.1073231062860005,4.3268960272,-8.5228785911572,0.7297605742331001,8.733972421917,-4.2165632160071,-0.8342234874225,-0.92382674949508,0.3917044974217,52.37490167,4.83712,35.11206042,2.169039488,9.0,1.799999952,13.89999962
24.0,-2.4871346856759997,-3.3091971334493997,-6.651532982384,2.3271030827255443,-0.05681138581138619,-5.173319046839604,-0.004382298794653473,0.8201167059763367,-0.5211086613605941,52.37491,4.837121667,35.21207306,2.156686068,9.0,1.799999952,15.30000019
24.25,2.1428841596200003,9.7101034910544,-13.9440370694542,1.4031600739778,12.6742160880303,-10.909404489332001,0.404758752707,0.38579200530609997,-0.15936524274029001,52.37491,4.837121667,35.21207306,2.156686068,9.0,1.799999952,15.30000019
24.5,6.401559761264,7.6113087015694,-9.694901939736,0.5440155503097001,8.234871469019,-5.767588811009,-0.5284358843914,-1.01191337165251,0.6023201254253,52.37491,4.837121667,35.21207306,2.156686068,9.0,1.799999952,15.30000019
24.75,-0.6892483503862747,-1.8818052534509804,-6.488406684403921,1.364881237610495,-0.00828417273762372,-3.2071590500564358,-0.4711580423273268,1.1031665737837624,-0.22623242503445545,52.37491,4.837121667,35.21207306,2.156686068,9.0,1.799999952,15.30000019
25.0,4.809424639758,6.9484763604494,-6.399364683848001,-0.9774990323638001,11.34349099531,-7.6201518095578,0.8667326095129999,1.0449436109623,-0.72315099634314,52.37493833,4.837128333,35.11211662,2.070727587,9.0,1.799999952,16.20000076
25.25,6.7626236551828,13.545919840547999,-11.788801177248,0.05807076450297028,13.051069894829507,-8.551883583017426,-0.8154539483317891,-0.4428303211497129,0.15041546923237625,52.37493833,4.837128333,35.11211662,2.070727587,9.0,1.799999952,16.20000076
25.5,-4.078519702624,0.8175917568439999,-6.746733750262,-0.6387645415382999,5.689749361965,-2.2621066138892,1.762824245111,-0.051671123750299995,0.05111562283180002,52.37493833,4.837128333,35.11211662,2.070727587,9.0,1.799999952,16.20000076
25.75,4.680491493386,-3.009335202364,-2.9134765110278,3.1866796617568,2.892004613346,-4.060447685311001,-1.2855919876367,-0.42419025391230003,0.19033299881215998,52.37493833,4.837128333,35.11211662,2.070727587,9.0,1.799999952,16.20000076
26.0,3.2642150073019605,5.539809346007844,-12.037366099329804,2.7549892388262376,13.038832278808911,-10.410844049863861,-0.9352627578306931,-1.2987964076945544,0.6921436966825742,52.37492833,4.83713,35.21210358,2.044476748,4.0,1.700000048,16.79999924
26.25,-5.295182051527999,10.597981495167998,-9.258005438098001,1.650706562771,8.7963693856649,-5.4809957390011,3.0464678638215004,1.9409953678547,-0.36777948970413,52.37492833,4.83713,35.21210358,2.044476748,4.0,1.700000048,16.79999924
26.5,-4.42918225733738,-4.0883836314398,-8.691825079566,-3.7905996863356437,0.6367738144336633,-3.559014533336634,-1.6713969047477226,0.12794442817386137,0.04701819652767327,52.37492833,4.83713,35.21210358,2.044476748,4.0,1.700000048,16.79999924
26.75,1.6597809828838002,1.7861066139439998,-8.1891715789,4.473831248922,9.500866971083,-9.18497894528,-1.1505394891509,-0.9052106188287,-0.284754255761,52.37492833,4.83713,35.21210358,2.044476748,4.0,1.700000048,16.79999924
27.0,-1.0607631748647062,11.342877472746668,-12.942989763611765,-0.02394062133465363,10.845997061000388,-9.000555855944555,2.2264258602024953,1.4815366255540594,-0.2398231386121188,52.37495167,4.837131667,35.21213723,1.981680512,4.0,1.700000048,16.5
