Interval,LA_X,LA_Y,LA_Z,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Lat,Long,Height,V,Dir,Hor_Acc,Vert_Acc
10.25,0.29269542463680004,-1.4182326373759997,1.673507746876,-1.21694534918,-9.9661432980756,4.9113767396712005,-0.3112497897904,-0.44504620108599996,0.10858140752760001,52.37223131,4.900278943,2.831386566,1.029999971,9.84375,4.345090951,4.0
10.5,1.323096614206,0.9524281189199999,-4.2854012346040005,-0.14654525743599986,-8.985837853972,-3.33571734026,-1.574668852148,1.919889875736,-0.591870351772,52.37224351,4.900280787,3.318264008,1.029999971,9.4921875,4.921264291,4.0
10.75,-2.6910231291944,-0.9647111307808,3.526033146808,-3.02020944202,-10.46164290176,1.425545562752,-0.2525302208852,0.4341872609878,-0.2072381345844,52.37224351,4.900280787,3.318264008,1.029999971,9.4921875,4.921264291,4.0
11.0,-0.018688249404000032,-1.971602016916,-3.768520103284,-1.3939193297584,-11.61586867652,-2.27866349484,2.036193211,-1.472044541144,1.1210258210124,52.37224351,4.900280787,3.318264008,1.029999971,9.4921875,4.921264291,4.0
11.25,0.2959946693320001,-0.8696330185200002,1.45498077392,-1.628809027923077,-10.372035088426923,4.2387067181373075,-0.23645203418519997,-0.39473635814319996,0.1459975294016,52.37224351,4.900280787,3.318264008,1.029999971,9.4921875,4.921264291,4.0
11.5,1.556581297036,0.7152084040719999,-4.391939386524,-0.048133905164000054,-8.15463435078,-3.2328512510719998,-1.5506837949452,1.783647421012,-0.764299593496,52.37226203,4.900279948,3.447414398,1.350000024,357.1875,4.74195303,4.0
11.75,-2.767357734384,-0.829876653284,3.62875637628,-3.104538079884,-10.47144451828,1.5229270568712,-0.22778225220476,0.14140704370224,-0.22633867447,52.37226203,4.900279948,3.447414398,1.350000024,357.1875,4.74195303,4.0
12.0,-0.24453688526399997,-2.510547227704,-4.0073895295519995,-1.39525455323272,-11.690886676,-2.552396264636,2.001397971488,-1.5899290776839998,1.271605078228,52.37226203,4.900279948,3.447414398,1.350000024,357.1875,4.74195303,4.0
12.25,1.5319533685839999,0.837654432912,0.8449244746360002,-0.657343048048,-9.188091265872,4.471633191268,-0.412797889772,-0.5056655657488,-0.0028275297788000063,52.37226203,4.900279948,3.447414398,1.350000024,357.1875,4.74195303,4.0
12.5,0.48368455735615384,-0.8735506520807691,-3.7834170352038465,-0.9373986695800001,-9.687123522576,-3.33172364486,-1.37727657415,1.9069542603392309,-0.6355440203461539,52.37228026,4.90027668,3.397426605,1.519999981,349.453125,4.801981211,4.0
12.75,-3.0385814828892,-0.803202801556,3.9667723472,-3.310210382016,-10.32546209132,1.982519329824,0.068964865596,-0.012167682802399998,-0.18290626586240002,52.37228026,4.90027668,3.397426605,1.519999981,349.453125,4.801981211,4.0
13.0,1.0332433954320002,-2.4507745100440004,-4.763316947804,-0.8302634582161601,-11.8494549316,-2.42948386231076,1.814333375812,-1.801284522066,1.441659691372,52.37228026,4.90027668,3.397426605,1.519999981,349.453125,4.801981211,4.0
13.25,1.5671950226568,-0.42954504547199995,1.576844910656,-0.33314721685559995,-8.7741660273,4.790440228744,-0.3148536027208,-0.319907747322,-0.15243676399015998,52.37228026,4.90027668,3.397426605,1.519999981,349.453125,4.801981211,4.0
13.5,0.32856561351484315,-0.11137523772400001,-4.0828396829232,-1.2603311278959999,-9.990686260931561,-2.4912873409170397,-1.5605318465328,2.25389816794,-0.813063534756,52.37229369,4.900272595,3.397426855,1.519999981,349.4531218,4.801981211,4.0
13.75,-2.9300822734142002,-0.9447303060600001,4.20267600004,-3.255735662864,-10.48221013112,2.1990410706388004,-0.0950756007388,0.1307501155096,-0.1812524443836,52.37229369,4.900272595,3.397426855,1.519999981,349.4531218,4.801981211,4.0
14.0,0.09148426429199993,-1.964608466376,-4.835705103392001,-1.534010009728,-11.454707812879999,-2.653939105284,1.856622479534,-1.8072804337400001,1.33034977306,52.37229369,4.900272595,3.397426855,1.519999981,349.4531218,4.801981211,4.0
14.25,1.261879306872,-0.963977071192,1.7860462884872,-0.49220529994615386,-10.344354189107692,4.148127770333462,-0.44279395520799997,-0.4490387201852,-0.001186391404000009,52.37229369,4.900272595,3.397426855,1.519999981,349.4531218,4.801981211,4.0
14.5,0.6247937210151998,0.652253257232,-4.23237156961,-0.939458386048,-8.394345867912,-2.6297015074915997,-1.4042342233560001,1.820292713632,-0.68564391912,52.37230776,4.90026263,3.28182627,1.519999981,341.0156192,4.872343723,4.0
14.75,-2.8371224576359997,-1.259017586044,3.61802232684,-3.19359688108,-11.09583808588,1.872839410384,0.09435992454376001,0.20521276786399997,-0.11667412866759999,52.37230776,4.90026263,3.28182627,1.519999981,341.0156192,4.872343723,4.0
15.0,1.295897659104,-0.7395750146040001,-3.77417199426,-0.21440813593320002,-9.705110119636,-1.8356208069767999,1.553571355976,-1.321214269396,1.051821357024,52.37230776,4.90026263,3.28182627,1.519999981,341.0156192,4.872343723,4.0
15.25,0.8809485267,-2.1768644804923074,0.7010271595880772,-1.156818384044,-11.793046234052,4.179021679451999,-0.3636258760055154,0.11381170122384615,0.014325148484615384,52.37230776,4.90026263,3.28182627,1.519999981,341.0156192,4.872343723,4.0
15.5,0.650726224848,1.332502421788,-2.4524470931016,-1.099990557908,-8.054289019524,-2.512429376248,-1.36475240704,1.7840379405,-0.7095685005196001,52.37231967,4.900250918,3.121486905,1.49000001,333.2812422,4.912040193,4.0
15.75,-2.4683740181644,-0.837120558276,3.9453724385999998,-2.763361560028,-10.24396556408,1.5549125426856,-0.040156367685999984,0.44150946483,-0.21374471056904,52.37231967,4.900250918,3.121486905,1.49000001,333.2812422,4.912040193,4.0
16.0,0.21919672202599996,-2.76152770954,-4.203814602132,-1.5124548339719999,-12.3256147532,-2.5594256469223997,1.9830551894711999,-1.6036938339400002,1.452916042684,52.37231967,4.900250918,3.121486905,1.49000001,333.2812422,4.912040193,4.0
16.25,1.0376195715599998,-0.2646099436,1.691279984356,-0.8553872131200001,-8.783512591628,4.6725453920472,-0.40732607424080003,-0.569447284336,0.0009945519495200062,52.37231967,4.900250918,3.121486905,1.49000001,333.2812422,4.912040193,4.0
16.5,1.6871927868992,0.15928287898039994,-4.5228154482596,-0.13996494104520005,-9.679675011728,-3.1643836304616,-1.390608433584,1.8639066532775999,-0.7169996893280001,52.37233342,4.90024698,3.123317958,1.480000019,341.7187446,4.906759841,4.0
16.75,-2.3717613984140002,-0.21708260567199997,2.8338407897280002,-2.782000799576,-9.76914695452,0.7835785400888,-0.644893362536,0.2993462893308,-0.31500385010216,52.37233342,4.90024698,3.123317958,1.480000019,341.7187446,4.906759841,4.0
17.0,-0.9127493956160001,-3.626322741776,-1.4949943274956,-1.984141955524,-13.22189692336,-0.6265191466919999,2.178839299716,-0.7813040107972,1.1262740254199999,52.37233342,4.90024698,3.123317958,1.480000019,341.7187446,4.906759841,4.0
17.25,1.497132298972,1.9728746983559997,0.721493903276,-0.6813888138730768,-7.120059145265385,3.665871012655769,-0.28089335114520003,-0.9543094732584,0.23315034192564,52.37233342,4.90024698,3.123317958,1.480000019,341.7187446,4.906759841,4.0
17.5,2.3800401516439997,-1.6297560608752002,-4.392928522172,0.35572626314719996,-10.989960259932,-2.76992391364,-1.161645664576,1.6473619444385599,-0.654898217632,52.37234313,4.900246961,3.175319841,1.129999995,346.9921845,4.680649554,4.000207534
17.75,-2.651752243784,0.21375956279999997,1.972849602108,-2.875244897408,-9.5020424008,0.33617092899559997,-0.9024105766148,0.45105663212080005,-0.46552279285647996,52.37234313,4.900246961,3.175319841,1.129999995,346.9921845,4.680649554,4.000207534
18.0,-2.144516623648,-4.54321836004,-0.17070487680439983,-2.5447142394799998,-14.093917547599998,-0.238286480716,2.224990006668,-0.629156536936,0.9499203181039999,52.37234313,4.900246961,3.175319841,1.129999995,346.9921845,4.680649554,4.000207534
18.25,2.2480477304999997,1.9907852085115383,-0.5444676124230768,0.21863534552399994,-7.0045639342,2.5732628723279998,-0.34901970641384616,-1.4458088732588463,0.4984703322153846,52.37234313,4.900246961,3.175319841,1.129999995,346.9921845,4.680649554,4.000207534
18.5,2.250723334884,-1.6782700345360002,-4.22619886024,0.21664149155999987,-10.9867688968,-2.1980710876120004,-0.8905951961456,2.06877212344,-0.4635470031504,52.37236565,4.900246563,3.631069527,1.879999995,353.32031,4.602479102,4.000452224
18.75,-2.7975966554204,0.53611787148,1.6866326031436,-3.4385295410439998,-9.02971461204,0.04582869871119995,-0.962813833944,0.23314462672756,-0.594897410282,52.37236565,4.900246563,3.631069527,1.879999995,353.32031,4.602479102,4.000452224
19.0,-1.5676742546240001,-4.08392890272,0.12569631436800002,-2.385074212592,-13.6974639768,-0.19264339596400004,1.97705706596,-0.2506755568548,0.976608419418,52.37236565,4.900246563,3.631069527,1.879999995,353.32031,4.602479102,4.000452224
19.25,3.304507025456,2.1254872141436,-1.71982125012,0.8359276794319999,-6.762421471520001,0.9476313904611999,-0.3135212844636,-1.4564669343227998,0.4833085157952,52.37236565,4.900246563,3.631069527,1.879999995,353.32031,4.602479102,4.000452224
19.5,1.7717039104408,-1.0695292769207998,-1.9935778885159998,-0.6949149173368001,-10.409551226451999,0.2783611448720001,-0.5736650039192,1.7044534420759998,-0.143719551155,52.3723784,4.900241572,3.536342868,1.50999999,345.5859331,4.605755091,4.000442052
19.75,-1.4135965787076001,0.3939318769156,0.633446626692,-2.845498754848,-9.18622913816,-1.0183742798228,-0.9835855960559999,0.8460450375028,-0.651711730932,52.3723784,4.900241572,3.536342868,1.50999999,345.5859331,4.605755091,4.000442052
20.0,-2.1602839009096,-3.1577104136460004,2.978793198512,-2.6402326848346154,-12.7488213815,0.7137849074556346,1.3714281096994803,0.3544667984644,0.4733068686368,52.3723784,4.900241572,3.536342868,1.50999999,345.5859331,4.605755091,4.000442052
20.25,2.703728982612,1.5884491779896002,-4.5613391094708,0.05962999883199993,-7.05451206708,-1.91132138674,0.5725210396116001,-1.2892129853168002,1.0083404909872,52.3723784,4.900241572,3.536342868,1.50999999,345.5859331,4.605755091,4.000442052
20.5,1.657380032556,-1.36881297638,0.5063628412319999,-0.9407397217158799,-10.783761052800001,2.710365765808,-0.392344583884,0.72881585786964,-0.2345683527372,52.37238988,4.900240495,3.607692965,1.50999999,346.2890583,4.575017292,4.000537202
20.75,-1.1336518410160001,-0.4762536800248,-0.31623914480400006,-2.861683099292,-9.85157753876,-0.8206235046752001,-1.255028119076,1.4810291770532,-0.7675786495360001,52.37238988,4.900240495,3.607692965,1.50999999,346.2890583,4.575017292,4.000537202
21.0,-2.498721511808,-1.916952419096,3.189152400724,-2.9622499694836,-11.618856464,0.7729506408788,0.71953220722,0.30195163604520003,0.16360405998300004,52.37238988,4.900240495,3.607692965,1.50999999,346.2890583,4.575017292,4.000537202
21.25,2.374666194419231,-0.10564065553461538,-3.8336445840007696,0.2580753295876,-9.32208662152,-1.955425671452,1.2552027123615386,-0.9999593032076923,0.9525923170307693,52.37238988,4.900240495,3.607692965,1.50999999,346.2890583,4.575017292,4.000537202
21.5,2.1904346355308,-0.5222927380280001,1.184030320016,-0.16431630223600002,-9.640354778936,3.9733194400999996,-0.334863668032,0.243962968602,-0.08706910878199998,52.37238984,4.900243974,3.563686471,0.6399999857,349.1015611,4.420645265,4.010819024
21.75,-0.9237235054919999,-0.5234337639087999,-2.044072477688,-2.464433184844,-10.01821102348,-2.418808062956,-1.441783978872,1.783320821004,-0.846002483336,52.37238984,4.900243974,3.563686471,0.6399999857,349.1015611,4.420645265,4.010819024
