"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.281536070E-1,-2.792625129E-1,-2.543750033E-2,-1.854874939E-1
2.306433040E-1,-2.750000060E-1,-3.024999984E-3,-2.036374956E-1
2.331329900E-1,-2.653749883E-1,3.299999982E-3,-2.173874974E-1
2.356225490E-1,-2.622124851E-1,9.624999948E-3,-2.227499932E-1
2.381121460E-1,-2.653749883E-1,1.608750038E-2,-2.301750034E-1
2.406018040E-1,-2.674374878E-1,1.718750037E-2,-2.375999987E-1
2.430914470E-1,-2.716999948E-1,2.351249941E-2,-2.461249977E-1
2.455811470E-1,-2.802250087E-1,2.144999988E-2,-2.557500005E-1
2.480708310E-1,-2.898499966E-1,1.182499994E-2,-2.663374841E-1
2.505603910E-1,-3.037374914E-1,4.399999976E-3,-2.748624980E-1
2.530499870E-1,-3.239499927E-1,-7.287499961E-3,-2.919124961E-1
2.555396690E-1,-3.473249972E-1,-1.154999994E-2,-3.089624941E-1
2.580293120E-1,-3.771624863E-1,-9.487500414E-3,-3.174875081E-1
2.605188790E-1,-4.101625085E-1,2.199999988E-3,-3.260124922E-1
2.630084680E-1,-4.472874999E-1,2.461249940E-2,-3.356375098E-1
2.654981770E-1,-4.878500104E-1,7.246249914E-2,-3.482874930E-1
2.679878500E-1,-5.325375199E-1,1.533125043E-1,-3.579125106E-1
2.704774980E-1,-5.963374972E-1,2.916375101E-1,-3.610749841E-1
2.729671560E-1,-6.729249954E-1,4.683249891E-1,-3.738625050E-1
2.754568530E-1,-7.570750117E-1,6.429499984E-1,-3.887124956E-1
2.779465390E-1,-8.507124782E-1,8.216999769E-1,-3.962749839E-1
2.804360980E-1,-9.506750107E-1,1.022862554E0,-4.025999904E-1
2.829256940E-1,-1.066725016E0,1.236675024E0,-4.111250043E-1
2.854153620E-1,-1.187999964E0,1.477162480E0,-4.217124879E-1
2.879050050E-1,-1.306112528E0,1.714487433E0,-4.355999827E-1
2.903947060E-1,-1.370049953E0,1.832737446E0,-4.313375056E-1
2.928843900E-1,-1.301849961E0,1.666637540E0,-3.877499998E-1
2.953739500E-1,-1.159262538E0,1.302675009E0,-3.356375098E-1
2.978635460E-1,-1.064525008E0,9.972875118E-1,-3.238124847E-1
3.003532570E-1,-1.042250037E0,8.567624688E-1,-3.504875004E-1
3.028429320E-1,-1.046512485E0,8.216999769E-1,-3.738625050E-1
3.053325830E-1,-1.034824967E0,8.430125117E-1,-3.684999943E-1
3.078222420E-1,-9.944000244E-1,8.780750036E-1,-3.356375098E-1
3.103118050E-1,-9.187750220E-1,8.717499971E-1,-2.898499966E-1
3.128013960E-1,-8.219749928E-1,7.972249985E-1,-2.546499968E-1
3.152911040E-1,-7.048249841E-1,6.641250253E-1,-2.418625057E-1
3.177807780E-1,-5.781875253E-1,5.087500215E-1,-2.494249940E-1
3.202704300E-1,-4.558124840E-1,3.843125105E-1,-2.557500005E-1
3.227600880E-1,-3.462249935E-1,3.151499927E-1,-2.536875010E-1
3.252497900E-1,-2.547875047E-1,3.097875118E-1,-2.440624982E-1
3.277394760E-1,-1.737999916E-1,3.448500037E-1,-2.355374992E-1
3.302289900E-1,-1.025749967E-1,3.937999904E-1,-2.292124927E-1
3.327185550E-1,-4.083750024E-2,4.417875111E-1,-2.206874937E-1
3.352082680E-1,1.553750038E-2,4.842749834E-1,-2.131250054E-1
3.376979370E-1,6.668750197E-2,5.311625004E-1,-2.036374956E-1
3.401874740E-1,1.091749966E-1,5.812125206E-1,-1.940124929E-1
3.426770680E-1,1.401125044E-1,6.461125016E-1,-1.854874939E-1
3.451667760E-1,1.614249945E-1,7.258625031E-1,-1.791625023E-1
3.476564510E-1,1.762750000E-1,8.078125119E-1,-1.706375033E-1
3.501461020E-1,1.836999953E-1,8.897625208E-1,-1.652749926E-1
3.526357610E-1,1.836999953E-1,9.642875195E-1,-1.589500010E-1
3.551254530E-1,1.805374920E-1,1.024924994E0,-1.556500047E-1
3.576151380E-1,1.677500010E-1,1.073874950E0,-1.515250057E-1
3.601046980E-1,1.538625062E-1,1.097249985E0,-1.450625062E-1
3.625942940E-1,1.336500049E-1,1.107975006E0,-1.387374997E-1
3.650839570E-1,1.049124971E-1,1.098350048E0,-1.280124933E-1
3.675736000E-1,6.984999776E-2,1.066450000E0,-1.194875017E-1
