"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.270979670E-1,-6.358039975E-1,-1.674100041E0,1.343300045E-1
4.320776590E-1,-7.985159755E-1,-1.350384951E0,-1.125555038E0
4.370573600E-1,-6.221979856E-1,-1.058707952E0,-1.876906037E0
4.420369780E-1,-5.365409851E-1,-7.907379866E-1,-2.154371977E0
4.470166680E-1,-4.317370057E-1,-3.639700115E-1,-2.571995020E0
4.519964270E-1,1.326760054E-1,-2.615400031E-2,-3.047415018E0
4.569760450E-1,9.081699848E-1,1.827629954E-1,-2.168956041E0
4.619557350E-1,1.304196954E0,2.436739951E-1,-7.784500122E-1
4.669354080E-1,1.443601966E0,5.052419901E-1,-7.284999639E-2
4.719151010E-1,1.098409057E0,5.723209977E-1,-6.687480211E-1
4.768947930E-1,5.544800162E-1,6.647769809E-1,-1.720548034E0
4.818744990E-1,8.568199724E-2,4.591270089E-1,-1.976845026E0
4.868541920E-1,-1.770300046E-2,1.273809969E-1,-1.908077002E0
4.918336550E-1,-1.732529998E-1,-2.825899981E-2,-2.110364914E0
4.968135760E-1,-1.612299979E-1,-1.523900032E-1,-2.178311110E0
5.017930400E-1,-3.402079940E-1,-2.921060026E-1,-2.159715891E0
5.067727300E-1,-4.032010138E-1,-3.910880089E-1,-2.302784920E0
5.117524190E-1,-4.693650007E-1,-5.850780010E-1,-2.409189939E0
5.167321110E-1,-4.506959915E-1,-6.976959705E-1,-2.442265034E0
5.217117980E-1,-2.096469998E-1,-9.438139796E-1,-2.438046932E0
5.266914910E-1,2.080119997E-1,-1.254191995E0,-1.895913959E0
5.316711080E-1,1.924889982E-1,-1.297780991E0,-1.444391966E0
5.366507870E-1,7.323499769E-2,-1.211452961E0,-1.229848027E0
5.416304800E-1,1.888299920E-2,-1.269204021E0,-1.551193953E0
5.466101720E-1,-2.974019945E-1,-1.148460031E0,-2.169045925E0
5.515898740E-1,-2.825829983E-1,-1.005743027E0,-2.047542095E0
5.565695670E-1,-2.868919969E-1,-9.160749912E-1,-1.480944991E0
5.615492590E-1,-6.591539979E-1,-5.336760283E-1,-1.178761005E0
5.665289270E-1,-4.620609879E-1,6.759399921E-2,3.545770049E-1
5.715086190E-1,-1.095214009E0,2.644799948E-1,5.171075821E0
5.764883210E-1,-1.201046944E0,9.073960185E-1,1.183753967E0
5.814677840E-1,-1.539798975E0,9.156939983E-1,-1.288189054E0
5.864474750E-1,-1.511569023E0,9.148880243E-1,-2.846281052E0
5.914271440E-1,-1.454841971E0,9.384109974E-1,-2.838690996E0
5.964068360E-1,-1.512673974E0,1.070942998E0,-2.209137917E0
6.013865290E-1,-1.881893039E0,9.192820191E-1,-1.707854033E0
6.063662260E-1,-2.413683891E0,4.897580147E-1,-8.042880297E-1
6.113459180E-1,-2.282759905E0,2.067009956E-1,8.097180128E-1
6.163256110E-1,-3.212697029E0,1.794680059E-1,5.280060172E-1
