"event","experiment time","system time","system time text"
"START",0.000000000E0,1718732082.091,"2024-06-18 19:34:42.091 UTC+02:00"
"PAUSE",5.586324761E2,1718732640.723,"2024-06-18 19:44:00.723 UTC+02:00"
